year,origin,dest,export,import
1998,abw,nld,0,270166
1998,abw,usa,0,2931055
1998,abw,ven,0,116718365
1998,afg,bgr,0,8352697
1998,afg,deu,0,108e3
1998,afg,idn,0,85259
1998,afg,ind,0,1029714
1998,afg,jpn,0,3365614
1998,afg,kor,0,898773
1998,afg,mys,42403,593299
1998,afg,rou,11e3,0
1998,ago,blx,0,3481
1998,ago,bra,0,308394
1998,ago,deu,33e3,0
1998,ago,dnk,0,2658
1998,ago,grc,0,29434
1998,ago,ita,0,2700
1998,ago,kor,0,1100
1998,ago,nld,0,10604
1998,ago,prt,0,537511
1998,ago,zmb,19102,0
1998,alb,bgr,0,58509
1998,alb,che,0,379662
1998,alb,cyp,0,334182
1998,alb,deu,682377.98,1485945.89
1998,alb,dnk,0,148088
1998,alb,fra,55536.78,0
1998,alb,grc,7149254.6,4549366.75
1998,alb,hrv,0,1332820
1998,alb,ita,1263524.23,1310
1998,alb,jpn,501725.3,0
1998,alb,kor,0,9156
1998,alb,mex,948805.21,0
1998,alb,mkd,1929971.7,740779.98
1998,alb,mlt,0,5740
1998,alb,nld,1876392.15,0
1998,alb,pol,301232.84,0
1998,alb,prt,56362.31,0
1998,alb,rus,415575.67,0
1998,alb,sen,61371.07,0
1998,alb,svk,438003.29,0
1998,alb,usa,4043215.37,0
1998,and,bhs,0,4464
1998,and,blx,0,84527.78
1998,and,che,0,2677861.73
1998,and,civ,3266,0
1998,and,cub,0,2009068
1998,and,deu,0,5607909.06
1998,and,dnk,0,66410.4
1998,and,dom,0,362252.63
1998,and,esp,468817,7079763.32
1998,and,fra,592910.88,5662014.38
1998,and,gbr,15750,3188032.15
1998,and,grc,0,1853.95
1998,and,hnd,0,7349
1998,and,idn,0,18701.08
1998,and,irl,0,259901
1998,and,ita,69663.15,311486.15
1998,and,nld,1249104,4342573.54
1998,and,phl,0,31527
1998,and,prt,0,17275.33
1998,and,swe,0,7288.46
1998,and,tur,497084,0
1998,and,usa,0,9450991.11
1998,ant,bra,0,102850
1998,ant,can,0,2445806
1998,ant,che,0,7268
1998,ant,deu,0,142454.21
1998,ant,dnk,0,68731
1998,ant,dom,0,1117
1998,ant,esp,0,23539
1998,ant,fra,0,3906
1998,ant,gbr,0,1847
1998,ant,hnd,35224.05,0
1998,ant,ner,0,1676
1998,ant,nld,0,789760.72
1998,ant,nzl,1885,0
1998,ant,usa,50720,2365913.51
1998,ant,vct,2763,0
1998,ant,ven,0,2872e3
1998,ant,xxa,0,117885
1998,ant,xxf,0,3910
1998,are,aus,0,402982
1998,are,blx,0,205309
1998,are,can,0,8375
1998,are,che,0,515105
1998,are,chn,0,18e3
1998,are,cyp,77605,31848582
1998,are,deu,0,1807e3
1998,are,esp,0,12055
1998,are,fin,0,1164642
1998,are,fra,0,1209006
1998,are,gbr,67306,44241627
1998,are,grc,0,2097354
1998,are,hun,8992.41,0
1998,are,idn,0,331239
1998,are,ind,174348.81,14352007
1998,are,irl,0,17382
1998,are,irn,0,30449
1998,are,jor,0,9873
1998,are,jpn,0,2409479
1998,are,kaz,2399,0
1998,are,ken,4548,0
1998,are,kor,0,1947883
1998,are,mdv,52686.31,0
1998,are,mex,0,47162140
1998,are,mys,0,879723
1998,are,nld,0,639311
1998,are,nor,0,10655
1998,are,pol,0,298e3
1998,are,sgp,1309,11878583
1998,are,svn,0,92479
1998,are,swe,0,201020
1998,are,tur,0,27574151
1998,are,uga,2279.59,0
1998,are,usa,181708,43407326
1998,are,zaf,4098,0
1998,arg,aut,271964,0
