"ego","alter","value"
"Afghanistan","People's Republic of China",76
"Afghanistan","Iran",936
"Afghanistan","Pakistan",2430
"Afghanistan","Tajikistan",1206
"Afghanistan","Turkmenistan",744
"Afghanistan","Uzbekistan",137
"Albania","Greece",282
"Albania","Kosovo",112
"Albania","Macedonia",151
"Albania","Montenegro",172
"Algeria","Libya",982
"Algeria","Mali",1376
"Algeria","Mauritania",463
"Algeria","Morocco",1559
"Algeria","Niger",956
"Algeria","Tunisia",965
"Algeria","Western Sahara",42
"Andorra","France",56.6
"Andorra","Spain",63.7
"Angola","Democratic Republic of the Congo",2511
"Angola","Republic of the Congo",201
"Angola","Namibia",1376
"Angola","Zambia",1110
"Antártica Chilena Province (Chile)","Argentina",0
"Antártica Chilena Province (Chile)","United Kingdom",0
"Argentina","Bolivia",832
"Argentina","Brazil",1224
"Argentina","Chile",5300
"Argentina","Paraguay",1880
"Argentina","Uruguay",579
"Armenia","Azerbaijan",787
"Armenia","Georgia",164
"Armenia","Iran",35
"Armenia","Turkey",268
"Australian Antarctic Territory (Australia)","France",0
"Australian Antarctic Territory (Australia)","Norway",0
"Austria","Czech Republic",362
"Austria","Germany",784
"Austria","Hungary",366
"Austria","Italy",430
"Austria","Liechtenstein",35
"Austria","Slovakia",91
"Austria","Slovenia",330
"Austria","Switzerland",164
"Azerbaijan","Armenia",787
"Azerbaijan","Georgia",322
"Azerbaijan","Iran",432
"Azerbaijan","Russia",284
"Azerbaijan","Turkey",9
"Bangladesh","India",4053
"Bangladesh","Myanmar",193
"Belarus","Latvia",141
"Belarus","Lithuania",502
"Belarus","Poland",407
"Belarus","Russia",959
"Belarus","Ukraine",891
"Belgium","France",620
"Belgium","Germany",167
"Belgium","Luxembourg",148
"Belgium","Netherlands",450
"Belize","Guatemala",266
"Belize","Mexico",250
"Benin","Burkina Faso",306
"Benin","Niger",266
"Benin","Nigeria",773
"Benin","Togo",644
"Bhutan","People's Republic of China",470
"Bhutan","India",605
"Bolivia","Argentina",832
"Bolivia","Brazil",3400
"Bolivia","Chile",861
"Bolivia","Paraguay",750
"Bolivia","Peru",900
"Bosnia and Herzegovina","Croatia",932
"Bosnia and Herzegovina","Montenegro",225
"Bosnia and Herzegovina","Serbia",302
"Botswana","Namibia",1360
"Botswana","South Africa",1840
"Botswana","Zambia",0.15
"Botswana","Zimbabwe",813
"Brazil","Argentina",1224
"Brazil","Bolivia",3400
"Brazil","Colombia",1643
"Brazil","France",0
"Brazil","Guyana",1119
"Brazil","Paraguay",1290
"Brazil","Peru",1560
"Brazil","Suriname",597
"Brazil","Uruguay",985
"Brazil","Venezuela",2200
"British Antarctic Territory (United Kingdom)","Chile",0
"British Antarctic Territory (United Kingdom)","Argentina",0
"British Antarctic Territory (United Kingdom)","Norway",0
"Brunei","Malaysia",381
"Bulgaria","Greece",494
"Bulgaria","Macedonia",148
"Bulgaria","Romania",608
"Bulgaria","Serbia",318
"Bulgaria","Turkey",240
"Burkina Faso","Benin",306
"Burkina Faso","Ghana",549
"Burkina Faso","Mali",1000
"Burkina Faso","Niger",628
"Burkina Faso","Togo",126
"Burundi","Democratic Republic of the Congo",233
"Burundi","Rwanda",290
"Burundi","Tanzania",451
"Cambodia","Laos",541
"Cambodia","Thailand",803
"Cambodia","Vietnam",1228
"Cameroon","Central African Republic",797
"Cameroon","Chad",1094
"Cameroon","Republic of the Congo",523
"Cameroon","Equatorial Guinea",189
"Cameroon","Gabon",298
"Cameroon","Nigeria",1690
"Canada","United States",8893
"Central African Republic","Cameroon",797
"Central African Republic","Chad",1197
"Central African Republic","Democratic Republic of the Congo",1577
"Central African Republic","Republic of the Congo",467
"Central African Republic","South Sudan",682
"Central African Republic","Sudan",483
"Chad","Cameroon",1094
"Chad","Central African Republic",1197
"Chad","Libya",1055
"Chad","Niger",1175
"Chad","Nigeria",87
"Chad","Sudan",1360
