"","Party","2018","2016","2014","Region"
"1","Afghanistan","No","Yes","No","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Yes","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","No","WHO African Region"
"4","Angola","No","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Yes","WHO European Region"
"7","Australia","Yes","Yes","Yes","WHO Western Pacific Region"
"8","Austria","No","No","No","WHO European Region"
"9","Azerbaijan","No","No","No","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","No","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","No","No","No","WHO Eastern Mediterranean Region"
"12","Bangladesh","No","No","No","WHO South-East Asia Region"
"13","Barbados","Yes","Yes","No","WHO Region of the Americas"
"14","Belarus","Yes","Yes","Yes","WHO European Region"
"15","Belgium","No","No","No","WHO European Region"
"16","Belize","Report not provided","No","No","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","No","WHO African Region"
"18","Bhutan","No","Yes","No","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","No","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Answer not provided","No","WHO European Region"
"21","Botswana","No","Report not provided","Report not provided","WHO African Region"
"22","Brazil","No","No","No","WHO Region of the Americas"
"23","Brunei Darussalam","Yes","Report not provided","Yes","WHO Western Pacific Region"
"24","Bulgaria","Answer not provided","Answer not provided","No","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","No","WHO African Region"
"26","Burundi","Report not provided","Yes","Report not provided","WHO African Region"
"27","Cambodia","No","Report not provided","No","WHO Western Pacific Region"
"28","Cameroon","Yes","No","No","WHO African Region"
"29","Canada","No","No","No","WHO Region of the Americas"
"30","Cape Verde","No","No","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Yes","Report not provided","Report not provided","WHO African Region"
"33","Chile","No","No","No","WHO Region of the Americas"
"34","China","Answer not provided","Answer not provided","No","WHO Western Pacific Region"
"35","Colombia","No","No","No","WHO Region of the Americas"
"36","Comoros","Answer not provided","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","No","No","WHO African Region"
"38","Cook Islands","Yes","Yes","Yes","WHO Western Pacific Region"
"39","Costa Rica","No","No","No","WHO Region of the Americas"
"40","Côte d'Ivoire","No","Answer not provided","No","WHO African Region"
"41","Croatia","Yes","Yes","No","WHO European Region"
"42","Cyprus","Report not provided","No","No","WHO European Region"
"43","Czech Republic","No","No","No","WHO European Region"
"44","Democratic People's Republic of Korea","Answer not provided","Report not provided","Answer not provided","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","No","No","Report not provided","WHO African Region"
"46","Denmark","No","No","No","WHO European Region"
"47","Djibouti","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","No","Report not provided","WHO Region of the Americas"
"49","Ecuador","Yes","Yes","No","WHO Region of the Americas"
"50","Egypt","No","No","No","WHO Eastern Mediterranean Region"
"51","El Salvador","No","No","No","WHO Region of the Americas"
"52","Equatorial Guinea","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"53","Estonia","No","No","No","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","No","No","No","WHO European Region"
"56","Fiji","Report not provided","Report not provided","No","WHO Western Pacific Region"
"57","Finland","Answer not provided","Answer not provided","No","WHO European Region"
"58","France","No","No","No","WHO European Region"
"59","Gabon","No","No","No","WHO African Region"
"60","Gambia","Yes","Yes","No","WHO African Region"
"61","Georgia","Answer not provided","Answer not provided","Yes","WHO European Region"
"62","Germany","No","No","No","WHO European Region"
"63","Ghana","No","No","No","WHO African Region"
"64","Greece","Report not provided","Yes","No","WHO European Region"
"65","Grenada","Answer not provided","Answer not provided","No","WHO Region of the Americas"
"66","Guatemala","No","No","Answer not provided","WHO Region of the Americas"
"67","Guinea","Report not provided","Answer not provided","Report not provided","WHO African Region"
"68","Guinea-Bissau","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"69","Guyana","No","Report not provided","Report not provided","WHO Region of the Americas"
"70","Honduras","Answer not provided","Answer not provided","No","WHO Region of the Americas"
"71","Hungary","Report not provided","Yes","No","WHO European Region"
"72","Iceland","Yes","Yes","Yes","WHO European Region"
"73","India","Report not provided","Yes","Yes","WHO South-East Asia Region"
"74","Iran (Islamic Republic of)","Answer not provided","Answer not provided","No","WHO Eastern Mediterranean Region"
"75","Iraq","Yes","Yes","Yes","WHO Eastern Mediterranean Region"
"76","Ireland","Answer not provided","Answer not provided","No","WHO European Region"
"77","Israel","Report not provided","Report not provided","Report not provided","WHO European Region"
"78","Italy","Yes","Yes","No","WHO European Region"
"79","Jamaica","Yes","Yes","No","WHO Region of the Americas"
"80","Japan","Yes","Yes","Yes","WHO Western Pacific Region"
"81","Jordan","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"82","Kazakhstan","No","Report not provided","Yes","WHO European Region"
"83","Kenya","Answer not provided","Answer not provided","No","WHO African Region"
"84","Kiribati","No","No","No","WHO Western Pacific Region"
"85","Kuwait","No","No","Yes","WHO Eastern Mediterranean Region"
"86","Kyrgyzstan","Report not provided","Yes","No","WHO European Region"
"87","Lao People's Democratic Republic","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"88","Latvia","Yes","No","No","WHO European Region"
"89","Lebanon","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"90","Lesotho","Report not provided","Report not provided","Answer not provided","WHO African Region"
"91","Liberia","No","No","Report not provided","WHO African Region"
"92","Libya","No","No","No","WHO Eastern Mediterranean Region"
"93","Lithuania","Yes","Yes","Answer not provided","WHO European Region"
"94","Luxembourg","No","Answer not provided","No","WHO European Region"
"95","Madagascar","Yes","Answer not provided","No","WHO African Region"
"96","Malaysia","Yes","No","No","WHO Western Pacific Region"
"97","Maldives","Yes","Yes","No","WHO South-East Asia Region"
"98","Mali","No","No","No","WHO African Region"
"99","Malta","Yes","Yes","No","WHO European Region"
"100","Marshall Islands","Answer not provided","Answer not provided","Yes","WHO Western Pacific Region"
"101","Mauritania","No","No","Answer not provided","WHO African Region"
"102","Mauritius","Yes","No","Yes","WHO African Region"
"103","Mexico","No","No","No","WHO Region of the Americas"
"104","Micronesia (Federated States of)","Answer not provided","Answer not provided","No","WHO Western Pacific Region"
"105","Mongolia","Yes","Report not provided","Yes","WHO Western Pacific Region"
"106","Montenegro","Answer not provided","Answer not provided","No","WHO European Region"
"107","Myanmar","Yes","Yes","Yes","WHO South-East Asia Region"
"108","Namibia","Report not provided","Report not provided","Report not provided","WHO African Region"
"109","Nauru","Report not provided","Yes","Report not provided","WHO Western Pacific Region"
"110","Nepal","Yes","Report not provided","Yes","WHO South-East Asia Region"
"111","Netherlands","No","Answer not provided","No","WHO European Region"
"112","New Zealand","No","No","No","WHO Western Pacific Region"
"113","Nicaragua","Answer not provided","Answer not provided","Report not provided","WHO Region of the Americas"
"114","Niger","Report not provided","Answer not provided","Report not provided","WHO African Region"
"115","Nigeria","No","No","No","WHO African Region"
"116","Niue","Report not provided","Report not provided","No","WHO Western Pacific Region"
"117","Norway","Yes","Yes","No","WHO European Region"
"118","Oman","No","No","No","WHO Eastern Mediterranean Region"
"119","Pakistan","Yes","Yes","No","WHO Eastern Mediterranean Region"
"120","Palau","Yes","Yes","Yes","WHO Western Pacific Region"
"121","Panama","No","No","No","WHO Region of the Americas"
"122","Papua New Guinea","No","No","No","WHO Western Pacific Region"
"123","Paraguay","No","Yes","No","WHO Region of the Americas"
"124","Peru","Yes","Yes","No","WHO Region of the Americas"
"125","Philippines","Yes","No","No","WHO Western Pacific Region"
"126","Poland","No","No","No","WHO European Region"
"127","Portugal","No","No","No","WHO European Region"
"128","Qatar","Answer not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"129","Republic of Korea","Yes","Yes","No","WHO Western Pacific Region"
"130","Republic of Moldova","Answer not provided","Answer not provided","No","WHO European Region"
"131","Romania","Report not provided","Report not provided","No","WHO European Region"
"132","Russian Federation","Report not provided","Answer not provided","No","WHO European Region"
"133","Rwanda","Report not provided","Report not provided","Report not provided","WHO African Region"
"134","Saint Kitts and Nevis","Report not provided","Answer not provided","Report not provided","WHO Region of the Americas"
"135","Saint Lucia","Answer not provided","Answer not provided","Report not provided","WHO Region of the Americas"
"136","Saint Vincent and the Grenadines","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"137","Samoa","No","No","Report not provided","WHO Western Pacific Region"
"138","San Marino","No","No","No","WHO European Region"
"139","Sao Tome and Principe","No","Report not provided","No","WHO African Region"
"140","Saudi Arabia","Yes","No","No","WHO Eastern Mediterranean Region"
"141","Senegal","Answer not provided","Answer not provided","No","WHO African Region"
"142","Serbia","No","No","No","WHO European Region"
"143","Seychelles","No","No","No","WHO African Region"
"144","Sierra Leone","No","No","No","WHO African Region"
"145","Singapore","Yes","Yes","Yes","WHO Western Pacific Region"
"146","Slovakia","Report not provided","No","No","WHO European Region"
"147","Slovenia","No","No","No","WHO European Region"
"148","Solomon Islands","Yes","Report not provided","Yes","WHO Western Pacific Region"
"149","South Africa","Yes","Yes","Yes","WHO African Region"
"150","Spain","Answer not provided","Answer not provided","No","WHO European Region"
"151","Sri Lanka","Yes","Answer not provided","Report not provided","WHO South-East Asia Region"
"152","Sudan","Yes","Report not provided","Report not provided","WHO Eastern Mediterranean Region"
"153","Suriname","Yes","Yes","Yes","WHO Region of the Americas"
"154","Swaziland","Report not provided","Yes","Report not provided","WHO African Region"
"155","Sweden","No","No","No","WHO European Region"
"156","Syrian Arab Republic","No","No","Report not provided","WHO Eastern Mediterranean Region"
"157","Tajikistan","Report not provided","Report not provided","Yes","WHO European Region"
"158","Thailand","No","No","No","WHO South-East Asia Region"
"159","The former Yugoslav Republic of Macedonia","Answer not provided","Answer not provided","No","WHO European Region"
"160","Timor-Leste","No","Report not provided","Report not provided","WHO South-East Asia Region"
"161","Togo","Answer not provided","Answer not provided","No","WHO African Region"
"162","Tonga","Report not provided","Yes","Yes","WHO Western Pacific Region"
"163","Trinidad and Tobago","Yes","Yes","No","WHO Region of the Americas"
