"","Party","2018","2016","2014","Region"
"1","Afghanistan","No","No","import tax GST","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","No","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","More complex structure (please explain:  )","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","No","No","More complex structure (please explain:  )","WHO Western Pacific Region"
"8","Austria","Yes","Yes","Austria currently applies a regime of combined taxation consisting of a specific base value plus an ad valorem tax for cigarettes. The percentage of the ad valorem tax for cigarettes is 42% of the retail price and € 35 per 1000 pieces.
For cigars and cigarillos an ad valorem tax of 13% of the retail selling price applies; if the calculated tax however falls und der minimum base of € 40 per 1000 pieces the specific tax rate of € 40 per 1000 pieces applies.
For fine cut tobacco the same principle as for cigars and cigarillos applies but the ad valorem tax rate is of 54% and the respective minimum specific tax rate of € 60 per kg. 
For all other smoking tobacco an ad valorem tax of 34% applies.Furthermore a value added tax of 20% applies on all tobacco products","WHO European Region"
"9","Azerbaijan","No","No","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Import Duties and Excise Stamp Tax","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","More complex structure (please explain:  )","WHO South-East Asia Region"
"13","Barbados","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"14","Belarus","Yes","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Yes","Answer not provided","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Prélèvement Communautaire de Solidarité (PCS) Prélèvement communautaire (PC) Redevance statistique Droit de Douane (DD) Taxe sur la Valeur Ajoutée (TVA) Droit dAccises (DA) Ecotaxe (ECT) Acompte dImpôt sur le Bénéfice (AIB) )","WHO African Region"
"18","Bhutan","No","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Yes","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"21","Botswana","Answer not provided","Report not provided","Report not provided","WHO African Region"
"22","Brazil","No","No","More complex structure (please explain:  )","WHO Region of the Americas"
"23","Brunei Darussalam","Yes","Report not provided","kilogram","WHO Western Pacific Region"
"24","Bulgaria","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","Association des taxe ad valorem TVA le droit de douanes les prélèvements communautaires CEDEAO et UEMOA des frais de statistiques  )","WHO African Region"
"26","Burundi","Report not provided","No","Report not provided","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","More complex structure (please explain: )","WHO Western Pacific Region"
"28","Cameroon","No","No","Answer not provided","WHO African Region"
"29","Canada","Yes","Yes","More complex structure (please explain: Please see information provided under section 2.8.7. including information on Canada''s Goods and Services Tax (GST) and Harmonized Sales Tax (HST)  )","WHO Region of the Americas"
"30","Cape Verde","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","No","Report not provided","Report not provided","WHO African Region"
"33","Chile","No","No","Answer not provided","WHO Region of the Americas"
"34","China","No","Yes","More complex structure (please explain: Pursuant to the Circular of the Ministry of Finance and the State Administration of Taxation on Adjusting the Consumption Tax on Tobacco Goods the consumption tax rate for ad valorem tax of cigarettes and cigars at production (including import) stage was adjusted. 1. Cigarettes of category A whose ex factory price (excluding VAT) is equal or more than RMB70 for each standard carton (200 sticks of cigarettes the same below) is adjusted as 56%. 2. Cigarettes of category B whose ex factory price (excluding VAT) is below RMB70 for each standard carton is adjusted at 36%. The specific tax rate for cigarettes remains unchanged i.e. RMB0.003 per cigarette. 3. The tax rate for cigars at production stage is adjusted as 36%. Ad valorem tax with the rate of 5% is surcharged for cigarettes at wholesale stage. )","WHO Western Pacific Region"
"35","Colombia","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"36","Comoros","Answer not provided","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","No","Answer not provided","WHO African Region"
"38","Cook Islands","No","No","Answer not provided","WHO Western Pacific Region"
"39","Costa Rica","Answer not provided","Answer not provided","More complex structure (please explain: es una combinación de: Impuesto General sobre las Ventas. Impuesto Selectivo de Consumo. Impuesto Instituto de Desarrollo Rural (INDER). a nivel de importación. INDER. a nivel de producción nacional )","WHO Region of the Americas"
"40","Côte d'Ivoire","No","Answer not provided","Answer not provided","WHO African Region"
"41","Croatia","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"42","Cyprus","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"43","Czech Republic","Yes","Yes","The Czech Republic follows the EU legislation and for cigarettes applies a combination of specific and ad valorem tax and for other tobacco products applies specific tax only.","WHO European Region"
"44","Democratic People's Republic of Korea","Answer not provided","Report not provided","More complex structure (please explain:  )","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"46","Denmark","Yes","Yes","Answer not provided","WHO European Region"
"47","Djibouti","No","No","More complex structure (please explain:  )","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","No","Report not provided","WHO Region of the Americas"
"49","Ecuador","No","No","El cálculo de la proporción de impuestos se ha hecho sobre la base de $3.00 precio de venta de Líder 20 unidades (marca de mayor venta al público. con un impuesto al valor agregado - IVA de 12% sobre el precio final de venta y un impuesto a consumos especiales – ICE específico promedio de 0.0836 US$ por unidad de cigarrillo","WHO Region of the Americas"
"50","Egypt","No","No","More complex structure (please explain:            )","WHO Eastern Mediterranean Region"
"51","El Salvador","No","No","More complex structure (please explain:   en toda importación se cobra el DAI e IVA   )","WHO Region of the Americas"
"52","Equatorial Guinea","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"53","Estonia","No","No","Answer not provided","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","Yes","Yes","More complex structure (please explain: 
For cigarettes: obligatory combination of specific and ad valorem with an EU wide applicable minimum rate of 60% of the weighted average retail selling price (WAP) and 90 Euro per 1000 cigarettes. The WAP is calculated by reference to the total value of all cigarettes released for consumption based on the retail selling price including all taxes divided by the total quantity of cigarettes released for consumption. Since 2011 the WAP has been determined by 1 March at the latest of each year on the basis of data relating to all such releases for consumption made in the preceding calendar year.
Minimum levels of excise duty for fine-cut tobacco: Since 1 January 2013: 43% of the WAP or at least EUR 47 / kg. As from 1 January 2015: 46% of the WAP or at least EUR 54 / kg. As from 1 January 2018: 48% of the WAP or at least EUR 60 / kg. As from 1 January 2020: 50% of the WAP or at least EUR 60 / kg.
Minimum levels of excise duty for other smoking tobacco the current minimum rate is 20% of the TIRSP (tax included retail selling price) or 22 00 Euro per kg.
Minimum levels of excise duty for cigars and cigarillos the current minimum rate is 5% of the TIRSP or 12 00 Euro per 1000 items or per kg. )","WHO European Region"
"56","Fiji","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"57","Finland","Yes","Yes","combination of specific and ad valorem taxes and minimum rates","WHO European Region"
"58","France","Yes","Answer not provided","Structures plus complexes","WHO European Region"
"59","Gabon","No","No","autres impôts","WHO African Region"
"60","Gambia","No","No","Answer not provided","WHO African Region"
"61","Georgia","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"62","Germany","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"63","Ghana","Answer not provided","Answer not provided","see additional types of taxes applied in table 2.8.3","WHO African Region"
"64","Greece","Report not provided","Yes","More complex structure (please explain:   On all tobacco products apart from cigars a minimum excise tax is levied additionally.    )","WHO European Region"
"65","Grenada","Answer not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"66","Guatemala","Answer not provided","Answer not provided","More complex structure (please explain:  )","WHO Region of the Americas"
"67","Guinea","Report not provided","Answer not provided","Report not provided","WHO African Region"
"68","Guinea-Bissau","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"69","Guyana","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
"70","Honduras","Answer not provided","Answer not provided","More complex structure (please explain:            )","WHO Region of the Americas"
"71","Hungary","Report not provided","Yes","More complex structure (please explain: 
for cigarettes: quantitative tax. plus tax in proportion of price. or tax minimum and VAT;
for cigars/cigarillos: in proportion of price and VAT
for tobacco products: tax in proportion of price or tax minimum and VAT  )","WHO European Region"
"72","Iceland","No","No","Answer not provided","WHO European Region"
"73","India","Report not provided","Answer not provided","More complex structure (please explain:   the specific duty is based on the length of cigarette and also varies depending whether it is filter or non filter.         )","WHO South-East Asia Region"
"74","Iran (Islamic Republic of)","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"75","Iraq","Yes","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"76","Ireland","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"77","Israel","Report not provided","Report not provided","Report not provided","WHO European Region"
"78","Italy","Yes","Yes","combination of specific and ad valorem taxes is only for cigarettes","WHO European Region"
"79","Jamaica","Yes","Yes","The taxes and fees levied on cigarette are Import Duty (ID General Consumption Tax (GCT Special Consumption Tax (SCT Standard Compliance Fee (SCF Environmental Levy (ENVL and Customs Administration Fee (CAF. The ad Valorem taxes are levied on the Cost Insurance and Freight (CIF value of the commodity. The SCT is a specific tax and is therefore levied on the quantity or volume of imports in this case the number of sticks imported. GCT has a cascading effect. It is the last tax type computed. GCT is levied on the sum of the CIF value and the amount of all the aforementioned taxes.","WHO Region of the Americas"
"80","Japan","Yes","Yes","see file?TAX?","WHO Western Pacific Region"
"81","Jordan","Yes","Yes","Answer not provided","WHO Eastern Mediterranean Region"
"82","Kazakhstan","Answer not provided","Report not provided","Answer not provided","WHO European Region"
"83","Kenya","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"84","Kiribati","Yes","Yes","VAT is also applied","WHO Western Pacific Region"
"85","Kuwait","No","No","More complex structure (please explain:  )","WHO Eastern Mediterranean Region"
"86","Kyrgyzstan","Report not provided","No","More complex structure (please explain:  )","WHO European Region"
"87","Lao People's Democratic Republic","Yes","Yes","Answer not provided","WHO Western Pacific Region"
"88","Latvia","No","Answer not provided","Specific tax Ad valorem tax and Minimum tax rate","WHO European Region"
"89","Lebanon","Yes","Yes","More complex structure (please explain: Excise & VAT. (5% Customs tax + 108% Excise tax) * 10% VAT. This results in total tax component of 55% of retail price. )","WHO Eastern Mediterranean Region"
"90","Lesotho","Report not provided","Report not provided","More complex structure (please explain:  )","WHO African Region"
"91","Liberia","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"92","Libya","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"93","Lithuania","Answer not provided","Answer not provided","For cigars and cigarillos and for other smoking tobacco - only specific tax for cigarettes - combination of specific and ad valorem taxes. Explanation","WHO European Region"
"94","Luxembourg","No","Answer not provided","Answer not provided","WHO European Region"
"95","Madagascar","Answer not provided","Answer not provided","Les impôts indirects sont composés du Droit d’accises (DA) de la Taxe spéciale sur la jeunesse et les sports (TSJS) et de la Taxe sur la valeur ajoutée (TVA)","WHO African Region"
"96","Malaysia","No","Answer not provided","Answer not provided","WHO Western Pacific Region"
"97","Maldives","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"98","Mali","No","No","Le Droit de douane
La Redevance Statistique
La Taxe degressive de protection
Le Prelevement Communautaire de Solidarite de I’UEMOA
Le Prelevement Communautaire de la CEDEAO  )","WHO African Region"
"99","Malta","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"100","Marshall Islands","Answer not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"101","Mauritania","No","No","Answer not provided","WHO African Region"
"102","Mauritius","Answer not provided","Answer not provided","Answer not provided","WHO African Region"
"103","Mexico","No","No","Answer not provided","WHO Region of the Americas"
"104","Micronesia (Federated States of)","Answer not provided","Answer not provided","This is a combination of ad valorem and sales tax applied on all cigarettes. In the Federated States of Micronesia. The National Government levy ad valorem tax on all cigarettes imports only once upon their arrival to one of the four island docks. If there is purchase and order to another island within the FSM import tax is no longer imposed on these cigarettes. In the states the special tax levied on cigarettes or tobacco are sales taxes.","WHO Western Pacific Region"
"105","Mongolia","Answer not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"106","Montenegro","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"107","Myanmar","Yes","Yes","see under 2.8.4","WHO South-East Asia Region"
"108","Namibia","Report not provided","Report not provided","Report not provided","WHO African Region"
"109","Nauru","Report not provided","Answer not provided","Report not provided","WHO Western Pacific Region"
"110","Nepal","Yes","Report not provided","see rates in Annex 1.","WHO South-East Asia Region"
