"","Party","2018","2016","2014","Region"
"1","Afghanistan","increased from 10 % from 2013 to 20 % in 2015 (100%) tariff base","increased from 10 % from 2013 to 20 % in 2015 (100%) tariff base","For the control of the tobacco production and taxation we have draft law and the needs final ratification and afterward it will be practices and applicable.","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","No CHANGE IN TAXATION DURING THE PAST TWO YEARS","WHO European Region"
"3","Algeria","La TIC taxe a augmentée  de  plus de 40 %  par  kg en 2017   pour chaque type de produit par rapport à 2016
La TVA a augmentée  de 2% en 2017 par rapport à 2016

Loi de finance 2017","La taxe a augmentée  de 10 % en 2016  par rapport à 2015

Loi de finance 2015","Answer not provided","WHO African Region"
"4","Angola","El aumento se dio del 65% al 80%","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","There has been a slight increase in the excise tax applied to cigarettes (both domestic and imported) since the last report was submitted.","WHO European Region"
"7","Australia","The Australian Government began implementing staged annual 12.5% tobacco excise increases and excise-equivalent customs duty on tobacco and tobacco-related products on 1 December 2013, followed by additional 12.5% increases on 1 September 2014, 2015, 2016 and 2017. These annual excise increases will continue between 2018 and 2020 inclusive.
In addition, Australia is the only country in the world to index tobacco excise to wage inflation average weekly ordinary time earnings (AWOTE) to ensure that tobacco products do not become relatively more affordable over time.
These increases are expected to bring the percentage of excise tax in the retail price of cigarettes in Australia much closer to the WHO recommended benchmark of 70%. Whilst the Government has been active in raising the excise on tobacco products, the tobacco industry routinely increases its prices, which affects the Government’s ability to maintain this ratio.
As part of the 2017-18 Federal Budget, ‘roll-your-own’ and other tobacco products such as cigars were subject to the same tax treatment as manufactured cigarettes. It is intended that this measure will ensure fairness and efficiency in tobacco taxes by bringing the taxation of
 roll-your-own tobacco products in line with manufactured cigarettes.
Australia also applies a goods and service tax to tobacco products, as such, as outlined above in B83, the amount of 60.31% tobacco tax to tobacco retail prices relates to total taxes (excise plus goods and service tax).

*Not exceeding weight 0.8 grams actual tobacco content.
**Regarding snuff and chewing tobacco, this excise rate is applied when imported for personal use.","In 2013, Australia introduced four annual 12.5% stages increases in excise and excise-equivalent customs duty on tobacco and tobacco-related products. The first commenced on 1 December 2013, the second and third commenced on 1 September 2014 and 1 September 2015, respectively and the final increase will occur on 1 September 2016. These increases are in addition to the change to bi-annual indexation of tobacco products (from Consumer Price Index to Average Weekly Ordinary Time Earnings), which took effect from 1 March 2014.
In May 2016, Australia announced a further four annual 12.5% increases in tobacco excise and excise equivalent customs duties, to take effect from 1 September 2017.
Australia also applies a goods and service tax to tobacco products, as such, as outlined above in B83, the amount of 60.31% tobacco tax to tobacco retail prices relates to total taxes (excise plus goods and service tax).
*not exceeding weight 0.8 grams actual tobacco content.
**Regarding snuff and chewing tobacco, this excise rate is applied when imported for personal use.","The first of a four staged. 12.5 per cent increase in excise and excise-equivalent customs duty on tobacco and tobacco-related products commenced on 1 December 2013. and further 12.5 per cent increases will occur on 1 September 2014. 
1 September 2015 and 1 September 2016. These increases are in addition to the change to bi-annual indexation of tobacco products (from Consumer Price Index to Average Weekly Ordinary Time Earnings). which took effect from 1 March 2014.
Stick: not exceeding weight 0.8 grams actual tobacco content.
Snuff: when imported for personal use.","WHO Western Pacific Region"
"8","Austria","In 2016 and 2017 for cigarettes the specific excise duty rate was increased twice, the ad valorem element was lowered slightly. For fine cut tobacco the minimum excise duty was increased twice.","In 2014 and 2015 for cigarettes the specific excise duty rate was increased, the ad valorem element was lowered slightly. For fine cut tobacco both the ad valorem tax and the minimum taxation were increased.","Between 2008 and 2010: rates of tobacco products excise remained unchanged; since 2011: increase in specific tax for cigarettes and fine cut tobacco as well as ad valorem tax for fine cut tobacco.","WHO European Region"
"9","Azerbaijan","Since last report up to December 2017, there were no changes in tobacco taxation. 
However, on 21 December, 2017 the Decree of the Cabinet of Ministers of Azerbaijan Republic ""On Approval of excise rates of goods involved in Excise Tax on the territory of the Republic of Azerbaijan"" was amended. This decision comes into force after 30 days, on 23 January, 2018 (the tax rates for imported tobacco products were raised up to 2-3 time from previous rates).
Information about these changes will be reflected in the next reporting period.","In 2014  Excise Tax rate for tobacco products produced in the Azerbaijan Republic was changed. In past all tobacco products produced in the Azerbaijan Republic had 12.5% of retail price rate. Recently Excise Tax rate have changed as follow:
190.3.7. cigars, cut-end cigars, and cigarillos (slim cigars) - 10.0 manats for 1000 pcs.;
190.3.8. cigarettes made of tobacco and their substitutes - 4,0 manats for 1000 pcs.                                                                                                                          In 2015  Import duty rate for imported tobacco products in the Azerbaijan Republic was changed. In past all imported cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes had 1.8 US$  per 1000 sticks rate. Recently Import duty rate have changed as follow: 
Cigars, cut-end cigars, and cigarillos consisting of tobacco - 10.0 manats for 1000 pcs.;
Cigarettes consisting of tobacco - 4,0 manats for 1000 pcs.","No change in taxation of tobacco products in the recent years.","WHO European Region"
"10","Bahamas","Report not provided","The taxation as a percentage or purchase price has risen since the last report as the Tobacco Excise Stamp Tax Act was brought into force in 2014.","Increased taxation on tobacco products with the addition of the 2013 Tobacco Excise Stamp Tax Act","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Gulf Counsel Countries agreed to start implementing special taxes on harmful goods.
In Bahrain, special fee (ad volerm) was added on tobacco products starting February 2016,however, on December 30 2017 , this special fee was cancelled and substituted with 100% tax on retail price.
NOTE: THE INFO PROVIDED ABOVE IS FOR 2017, HENCE ONLY AD VOLERM TAXATION.","Negotiation is still going on  between Gulf Counsel Countries to add other types of taxes such as sales tax and special taxes on harmful goods.
In Bahrain, special fees were added on tobacco products starting February 2016, however, reports on such data are not available","In Bahrain taxes on tobacco and tobacco products are levied based on ad valorem only however currently negotiation is underway between Gulf Counsel Countries to add other types of taxes such as sales tax and special taxes on harmful goods. For more details see Annex 3.","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","In case of Cigarette (Low) total tax incidence (VAT + SD) increased by 11%. In case of Cigarette (High) and Cigarette (Premium) total tax incidence was increased by 4.0% and 4.0% respectively in comparison to last report. The price slab for Cigarette (medium) has been abolished. So, in a short, the tax incidence has increased.","In case of Cigarette (Low) total tax incidence (VAT + SD) increased by 13.1%. In case of Cigarette (Medium) Cigarette (High) and Cigarette (Premium) total tax incidence was increased by 16.0% 16.47% and 21.21% respectively in comparison to last year. SD has not increased over the last year but the price slab has increased. So the tax incidence has increased as well.","WHO South-East Asia Region"
"13","Barbados","A combination of excise tax and value added tax are applied to tobacco products","A combination of excise tax and value added tax are applied to tobacco products","Answer not provided","WHO Region of the Americas"
"14","Belarus","Налогообложение табачных изделий.
1. Ставка налога на добавленную стоимость - 20 %;
2. Ставки налогов таможенных пошлин на табачные изделия:
- для табака трубочного, курительного - 15% от таможенной стоимости;
- для сигар, сигарилл - 17% от таможенной стоимости, но не менее 1,7 евро за 1000 штук;
- для сигарет - 20% от таможенной стоимости, но не менее 2 евро за 1000 штук. 
Ставки акцизов на табачные изделия повышаются ежегодно. При этом их увеличение, как правило, осуществляется с превышением уровня инфляции. Так, в 2017 году ставки акцизов на табачные изделия были увеличены в среднем на 10% при росте потребительских цен на 4,6%, в 2018 -- на 15% при прогнозируемом росте потребительских цен на 7%.","Повышение ставок акцизов","growth rates of excise duties - annual as well as throughout the year. Taxation of tobacco products in the Republic of Belarus includes value-added tax rate - 20 percent excise rates the rate of import (import) duty on cigarettes (installed Common Customs Tariff of the Customs Union) 23.3 per cent of the customs value but not less than 2.67 euros per 1000 pieces.","WHO European Region"
"15","Belgium","Cigars: same taxation since 1st January 2007

Cigarettes:
Taxation since 1st January 2016: 45,84 % of the retail price and 39,52200 euro per 1.000 cigarettes
Taxation since 1st January 2017: 45,84 % of the retail price and 42,6694 euro per  1.000 cigarettes
Taxation since 1st January  2018: 40,04 % of the retail price and 64,5991 euro per 1.000 cigarettes

Smoking tobacco:
Taxation since 1st January 2016: 31,50 % of the retail price and 23,7000 euro per kilogram
Taxation since 1st January 2017: 31,50 % of the retail price and 32,3061 euro per kilogram
Taxation since 1st January 2018: 31,50 % of the retail price and 42,3465 euro per kilogram","Cigars: same taxation since 1st January 2007

Cigarettes:
Taxation since 1st January 2014: 50,41 % of the retail price and 23,5914 euro per 1.000 cigarettes
Taxation since 1st January 2015: 45,84 % of the retail price and 36,8914 euro per 1.000 cigarettes
Taxation since 1st January 2016: 45,84 % of the retail price and 39,2200 euro per 1.000 cigarettes

Smoking tobacco:
Taxation since 1st January 2014: 31,50 % of the retail price and 14,5000 euro per kilogram
Taxation since 1st January 2015: 31,50 % of the retail price and 16,5000 euro per kilogram
Taxation since 1st January 2016: 31,50 % of the retail price and 23,7000 euro per kilogram","Stable. Pas d’augmentation significative. Seules des augmentations mineures ont été décidée","WHO European Region"
"16","Belize","Report not provided","Specific Tax 0.00%
Advalorem excise 0.00%
Sales Tax 11.11%
Import Duty 0.00%
Other taxes 26.00%","Answer not provided","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Depuis la loi des finances 2010 la somme des taxes appliquées sur les cigarettes et autres produits du tabac en République du Bénin est de 45 %.
En 2010 détails sur la composition des taxes appliquées sont les suivants :
Taxe d’importation (DD-TEC) = 20%
Droit d’Accises 40%
TVA= 18 %
Ecotaxe sur activités polluantes 5%","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","According to Article 21a (2) of the Law on Excise Duties in Bosnia and Herzegovina („Official Gazette of BiH“, No. 49/09, 49/14, 60/14 and 91/17) annual increase in specific excise is at least 7,50 BAM for 1,000 cigarettes, i.e. 0,15 BAM for the package of 20 cigarettes. In accordance with the above provision of the Law and the Decision of the ITA Governing Board on the determination of specific and minimal excise tax on cigarettes and excise duty on smoking tobacco in 2017 („ Official Gazette of BiH“, No. 84/16) specific excise was increased from 60,00 BAM/1,000 cigarettes in 2016 to 67.50 BAM/ 1,000 cigarettes in 2017. Pursuant to Provision of Article 21b of the Law on Excise in BiH minimum excise duties on cigarettes was increased from 111,50 BAM/1,000 cigarettes in 2016 to 121, 00 BAM/1,000 cigarettes in 2017. Pursuant to Provision of Article 21d, excise tax on smoking tobacco was increased from 89,20 BAM/kg in 2016 to 96,80 BAM/kg in 2017.","As of 1 January 2015, enforced specific tax for cigarettes 42% and VAT 17 %","Answer not provided","WHO European Region"
"21","Botswana","The trend of  taxation has been affected by the smuggling of tobacco products.","Report not provided","Report not provided","WHO African Region"
"22","Brazil","We expect to maintain the taxation policy at high levels.","We expect to maintain the taxation policy at high levels.","Year 2013 - specific US$ 0.46 / ad valorem federal level 18% / ad valorem state level 26% 
 Year 2012 - specific US$ 0.39 / ad valorem federal level 17% / ad valorem state level 26%","WHO Region of the Americas"
"23","Brunei Darussalam","Tax amendment on tobacco and tobacco products into excise duty rate shows a reduction in the licit importation of tobacco related products","Report not provided","Tax amendment on tobacco and tobacco products into excise duty rate shows a reduction in the licit importation of tobacco related products","WHO Western Pacific Region"
"24","Bulgaria","Increase of tax and duties. Cigarettes excise duty to 31.12.2015 year: 23% per retail price + 101BGN per 1000 pieces. From 01.01.2016 year: 38% per retail price + 70BGN per 1000 pieces.","Increase of tax and duties. Cigarettes excise duty to 31.12.2015 year: 23% per retail price + 101BGN per 1000 pieces. From 01.01.2016 year: 38% per retail price + 70BGN per 1000 pieces.","Between 2012 and 2014 rates of tobacco excise remained unchanged.","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","Depuis la réforme de 2009 qui a relevé les droits d’accise sur le tabac haut de gamme il n’y a pas eu d’évolution.","WHO African Region"
"26","Burundi","Report not provided","Etant donné que la taxation des produits du tabac a passé de la taxation ad valorem à la taxation spécifique, respectivement de 83 % à 200%  entre 2011 et 2014 à 22 Fbu par tige en Avril 2014,une étude comparative est nécessaire .","Report not provided","WHO African Region"
