"","Party","2018","2016","2014","Region"
"1","Afghanistan","Answer not provided","Answer not provided","Indicator not used","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Indicator not used","WHO European Region"
"3","Algeria","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"4","Angola","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Indicator not used","WHO European Region"
"7","Australia","The Australian Governments regulation impact statement mentioned above will consider the guidelines for implementation of Articles 9 and 10 of the WHO FCTC.","The Australian Governments regulation impact statement mentioned above will consider the guidelines for implementation of Articles 9 and 10 of the WHO FCTC.","Indicator not used","WHO Western Pacific Region"
"8","Austria","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"9","Azerbaijan","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Bahrain is following the GCC specifications for tobacco products. and we are regularly following up issues concerned with these specifications.","Bahrain is following the GCC specifications for tobacco products. and we are regularly following up issues concerned with these specifications.","Indicator not used","WHO Eastern Mediterranean Region"
"12","Bangladesh","Answer not provided","Answer not provided","Indicator not used","WHO South-East Asia Region"
"13","Barbados","Answer not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"14","Belarus","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"15","Belgium","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"17","Benin","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"18","Bhutan","Answer not provided","Answer not provided","Indicator not used","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Answer not provided","Report not provided","Indicator not used","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"21","Botswana","none","Report not provided","Indicator not used","WHO African Region"
"22","Brazil","xxx","xxx","Indicator not used","WHO Region of the Americas"
"23","Brunei Darussalam","As reference.","Report not provided","Indicator not used","WHO Western Pacific Region"
"24","Bulgaria","Answer not provided","Answer not provided","Indicator not used","WHO European Region"
"25","Burkina Faso","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","Indicator not used","WHO Western Pacific Region"
"28","Cameroon","Answer not provided","Answer not provided","Indicator not used","WHO African Region"
"29","Canada","Answer not provided","Answer not provided","Indicator not used","WHO Region of the Americas"
"30","Cape Verde","Answer not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Indicator not used","WHO African Region"
"32","Chad","Answer not provided","Report not provided","Indicator not used","WHO African Region"
"33","Chile","Las directrices del CMTC, se han utilizado en la  redacción de proyectos de regulación de contenidos de productos de tabaco. No se han aprobado a la fecha reglamentos asociados a la prohibición o control de productos.","Las directrices del convenio marco se han utilizado en los antecedentes y redacción de proyectos de regulación de contenidos de productos de tabaco. No se han aprobado a la fecha reglamentos asociados a la prohibición o control de productos.","Indicator not used","WHO Region of the Americas"
"34","China","Answer not provided","Answer not provided","Indicator not used","WHO Western Pacific Region"
"35","Colombia","The guidelines are reference for the regulation process of the article 22 of the Law 1335/2009, regarding to the providing information of contents","The guidelines are reference for the regulation process of the article 22 of the Law 1335/2009, regarding to the providing information of contents","Indicator not used","WHO Region of the Americas"
"36","Comoros","Answer not provided","Report not provided","Indicator not used","WHO African Region"
"37","Congo","Report not provided","Answer not provided","Indicator not used","WHO African Region"
"38","Cook Islands","Answer not provided","Answer not provided","Indicator not used","WHO Western Pacific Region"
