"","Party","2018","2016","2014","Region"
"1","Afghanistan","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","No","No","Answer not provided","WHO African Region"
"4","Angola","Yes","Yes","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","No","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Yes","WHO European Region"
"7","Australia","No","No","Answer not provided","WHO Western Pacific Region"
"8","Austria","No","No","Answer not provided","WHO European Region"
"9","Azerbaijan","No","Yes","Yes","WHO European Region"
"10","Bahamas","Report not provided","Yes","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","No","No","Answer not provided","WHO South-East Asia Region"
"13","Barbados","No","Yes","No","WHO Region of the Americas"
"14","Belarus","No","No","Answer not provided","WHO European Region"
"15","Belgium","No","No","Answer not provided","WHO European Region"
"16","Belize","Report not provided","No","No","WHO Region of the Americas"
"17","Benin","No","No","No","WHO African Region"
"18","Bhutan","No","No","Answer not provided","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Yes","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","No","No","Answer not provided","WHO European Region"
"21","Botswana","No","Report not provided","Report not provided","WHO African Region"
"22","Brazil","No","No","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","No","Report not provided","Answer not provided","WHO Western Pacific Region"
"24","Bulgaria","Yes","Yes","Yes","WHO European Region"
"25","Burkina Faso","No","No","Answer not provided","WHO African Region"
"26","Burundi","Report not provided","No","Report not provided","WHO African Region"
"27","Cambodia","No","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","No","No","No","WHO African Region"
"29","Canada","Yes","Yes","Yes","WHO Region of the Americas"
"30","Cape Verde","No","No","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","No","Report not provided","Report not provided","WHO African Region"
"33","Chile","No","No","Answer not provided","WHO Region of the Americas"
"34","China","No","No","Yes","WHO Western Pacific Region"
"35","Colombia","No","No","Answer not provided","WHO Region of the Americas"
"36","Comoros","No","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","No","No","WHO African Region"
"38","Cook Islands","No","No","Answer not provided","WHO Western Pacific Region"
"39","Costa Rica","No","No","Answer not provided","WHO Region of the Americas"
"40","Côte d'Ivoire","Yes","Yes","Yes","WHO African Region"
"41","Croatia","No","No","Answer not provided","WHO European Region"
"42","Cyprus","Report not provided","No","Answer not provided","WHO European Region"
"43","Czech Republic","Yes","Yes","Yes","WHO European Region"
"44","Democratic People's Republic of Korea","No","Report not provided","Answer not provided","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","No","No","Report not provided","WHO African Region"
"46","Denmark","No","No","Answer not provided","WHO European Region"
"47","Djibouti","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","Yes","Report not provided","WHO Region of the Americas"
"49","Ecuador","Yes","Yes","Yes","WHO Region of the Americas"
"50","Egypt","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"51","El Salvador","No","No","Yes","WHO Region of the Americas"
"52","Equatorial Guinea","No","No","Report not provided","WHO African Region"
"53","Estonia","No","No","Answer not provided","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","No","No","Answer not provided","WHO European Region"
"56","Fiji","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"57","Finland","No","No","Answer not provided","WHO European Region"
"58","France","No","No","Answer not provided","WHO European Region"
"59","Gabon","No","No","Answer not provided","WHO African Region"
"60","Gambia","No","No","Yes","WHO African Region"
"61","Georgia","No","Yes","Yes","WHO European Region"
"62","Germany","Yes","Yes","Answer not provided","WHO European Region"
"63","Ghana","No","No","Answer not provided","WHO African Region"
"64","Greece","Report not provided","Yes","Answer not provided","WHO European Region"
"65","Grenada","Yes","No","No","WHO Region of the Americas"
"66","Guatemala","No","No","No","WHO Region of the Americas"
"67","Guinea","Report not provided","No","Report not provided","WHO African Region"
"68","Guinea-Bissau","No","No","Report not provided","WHO African Region"
"69","Guyana","No","Report not provided","Report not provided","WHO Region of the Americas"
"70","Honduras","No","No","Answer not provided","WHO Region of the Americas"
"71","Hungary","Report not provided","No","Answer not provided","WHO European Region"
"72","Iceland","No","No","Answer not provided","WHO European Region"
"73","India","Report not provided","No","Answer not provided","WHO South-East Asia Region"
"74","Iran (Islamic Republic of)","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"75","Iraq","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"76","Ireland","No","No","Answer not provided","WHO European Region"
"77","Israel","Report not provided","Report not provided","Report not provided","WHO European Region"
"78","Italy","No","No","Answer not provided","WHO European Region"
"79","Jamaica","Yes","No","No","WHO Region of the Americas"
"80","Japan","Yes","Yes","Yes","WHO Western Pacific Region"
"81","Jordan","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"82","Kazakhstan","Yes","Report not provided","Yes","WHO European Region"
"83","Kenya","No","No","Answer not provided","WHO African Region"
"84","Kiribati","No","No","Answer not provided","WHO Western Pacific Region"
"85","Kuwait","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"86","Kyrgyzstan","Report not provided","No","Answer not provided","WHO European Region"
"87","Lao People's Democratic Republic","No","No","Answer not provided","WHO Western Pacific Region"
"88","Latvia","No","No","Answer not provided","WHO European Region"
"89","Lebanon","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"90","Lesotho","Report not provided","Report not provided","No","WHO African Region"
"91","Liberia","No","No","Report not provided","WHO African Region"
"92","Libya","No","No","Yes","WHO Eastern Mediterranean Region"
"93","Lithuania","No","Yes","Yes","WHO European Region"
"94","Luxembourg","No","No","Answer not provided","WHO European Region"
"95","Madagascar","No","No","Answer not provided","WHO African Region"
"96","Malaysia","No","No","Answer not provided","WHO Western Pacific Region"
"97","Maldives","No","No","Answer not provided","WHO South-East Asia Region"
"98","Mali","No","No","Answer not provided","WHO African Region"
"99","Malta","No","No","Answer not provided","WHO European Region"
"100","Marshall Islands","No","No","Answer not provided","WHO Western Pacific Region"
"101","Mauritania","No","No","No","WHO African Region"
"102","Mauritius","No","No","Answer not provided","WHO African Region"
"103","Mexico","Yes","Yes","Yes","WHO Region of the Americas"
"104","Micronesia (Federated States of)","No","No","Answer not provided","WHO Western Pacific Region"
"105","Mongolia","No","Report not provided","Yes","WHO Western Pacific Region"
"106","Montenegro","No","No","Answer not provided","WHO European Region"
"107","Myanmar","No","No","Answer not provided","WHO South-East Asia Region"
"108","Namibia","Report not provided","Report not provided","Report not provided","WHO African Region"
"109","Nauru","Report not provided","No","Report not provided","WHO Western Pacific Region"
"110","Nepal","No","Report not provided","Answer not provided","WHO South-East Asia Region"
"111","Netherlands","No","No","Yes","WHO European Region"
"112","New Zealand","No","No","Answer not provided","WHO Western Pacific Region"
"113","Nicaragua","Yes","Yes","Report not provided","WHO Region of the Americas"
"114","Niger","Report not provided","No","Report not provided","WHO African Region"
"115","Nigeria","No","No","Answer not provided","WHO African Region"
"116","Niue","Report not provided","Report not provided","No","WHO Western Pacific Region"
"117","Norway","No","No","Answer not provided","WHO European Region"
"118","Oman","Yes","Yes","No","WHO Eastern Mediterranean Region"
"119","Pakistan","Yes","Yes","Yes","WHO Eastern Mediterranean Region"
"120","Palau","No","No","No","WHO Western Pacific Region"
"121","Panama","No","No","Answer not provided","WHO Region of the Americas"
"122","Papua New Guinea","No","No","Answer not provided","WHO Western Pacific Region"
"123","Paraguay","No","No","No","WHO Region of the Americas"
"124","Peru","Yes","No","No","WHO Region of the Americas"
"125","Philippines","Yes","Yes","Yes","WHO Western Pacific Region"
"126","Poland","Yes","Yes","Yes","WHO European Region"
"127","Portugal","No","No","Answer not provided","WHO European Region"
"128","Qatar","No","No","Answer not provided","WHO Eastern Mediterranean Region"
"129","Republic of Korea","Yes","Yes","Yes","WHO Western Pacific Region"
"130","Republic of Moldova","No","No","Answer not provided","WHO European Region"
"131","Romania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"132","Russian Federation","Report not provided","No","Answer not provided","WHO European Region"
