"","Party","2018","2016","2014","Region"
"1","Afghanistan","No","No","Indicator not used","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Indicator not used","WHO European Region"
"3","Algeria","No","No","Indicator not used","WHO African Region"
"4","Angola","No","No","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","No","Indicator not used","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Indicator not used","WHO European Region"
"7","Australia","Yes","Yes","Indicator not used","WHO Western Pacific Region"
"8","Austria","No","No","Indicator not used","WHO European Region"
"9","Azerbaijan","Yes","No","Indicator not used","WHO European Region"
"10","Bahamas","Report not provided","No","Indicator not used","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","No","No","Indicator not used","WHO Eastern Mediterranean Region"
"12","Bangladesh","No","No","Indicator not used","WHO South-East Asia Region"
"13","Barbados","No","No","Indicator not used","WHO Region of the Americas"
"14","Belarus","No","No","Indicator not used","WHO European Region"
"15","Belgium","Yes","No","Indicator not used","WHO European Region"
"16","Belize","Report not provided","No","Indicator not used","WHO Region of the Americas"
"17","Benin","No","No","Indicator not used","WHO African Region"
"18","Bhutan","No","No","Indicator not used","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","No","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","No","No","Indicator not used","WHO European Region"
"21","Botswana","No","Report not provided","Report not provided","WHO African Region"
"22","Brazil","No","No","Indicator not used","WHO Region of the Americas"
"23","Brunei Darussalam","No","Report not provided","Indicator not used","WHO Western Pacific Region"
"24","Bulgaria","No","No","Indicator not used","WHO European Region"
"25","Burkina Faso","No","No","Indicator not used","WHO African Region"
"26","Burundi","Report not provided","No","Report not provided","WHO African Region"
"27","Cambodia","No","Report not provided","Indicator not used","WHO Western Pacific Region"
"28","Cameroon","No","No","Indicator not used","WHO African Region"
"29","Canada","Yes","No","Indicator not used","WHO Region of the Americas"
"30","Cape Verde","No","No","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","No","Report not provided","Report not provided","WHO African Region"
"33","Chile","No","No","Indicator not used","WHO Region of the Americas"
"34","China","No","No","Indicator not used","WHO Western Pacific Region"
"35","Colombia","No","No","Indicator not used","WHO Region of the Americas"
"36","Comoros","No","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","No","Indicator not used","WHO African Region"
"38","Cook Islands","No","No","Indicator not used","WHO Western Pacific Region"
"39","Costa Rica","No","No","Indicator not used","WHO Region of the Americas"
"40","Côte d'Ivoire","No","No","Indicator not used","WHO African Region"
"41","Croatia","No","No","Indicator not used","WHO European Region"
"42","Cyprus","Report not provided","Yes","Indicator not used","WHO European Region"
"43","Czech Republic","No","No","Indicator not used","WHO European Region"
"44","Democratic People's Republic of Korea","No","Report not provided","Indicator not used","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","No","No","Report not provided","WHO African Region"
"46","Denmark","No","No","Indicator not used","WHO European Region"
"47","Djibouti","No","No","Indicator not used","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","No","Report not provided","WHO Region of the Americas"
"49","Ecuador","No","No","Indicator not used","WHO Region of the Americas"
"50","Egypt","No","No","Indicator not used","WHO Eastern Mediterranean Region"
"51","El Salvador","Yes","Yes","Indicator not used","WHO Region of the Americas"
"52","Equatorial Guinea","No","No","Report not provided","WHO African Region"
"53","Estonia","No","No","Indicator not used","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","No","No","Indicator not used","WHO European Region"
"56","Fiji","Report not provided","Report not provided","Indicator not used","WHO Western Pacific Region"
"57","Finland","No","No","Indicator not used","WHO European Region"
"58","France","No","No","Indicator not used","WHO European Region"
"59","Gabon","No","No","Indicator not used","WHO African Region"
"60","Gambia","No","No","Indicator not used","WHO African Region"
"61","Georgia","No","No","Indicator not used","WHO European Region"
"62","Germany","No","No","Indicator not used","WHO European Region"
"63","Ghana","No","No","Indicator not used","WHO African Region"
"64","Greece","Report not provided","No","Indicator not used","WHO European Region"
"65","Grenada","No","No","Indicator not used","WHO Region of the Americas"
"66","Guatemala","No","No","Indicator not used","WHO Region of the Americas"
"67","Guinea","Report not provided","No","Report not provided","WHO African Region"
"68","Guinea-Bissau","No","No","Report not provided","WHO African Region"
