"","Party","2018","2016","2014","Region"
"1","Afghanistan","Yes","No","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","No","WHO European Region"
"3","Algeria","Yes","Yes","No","WHO African Region"
"4","Angola","No","No","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","No","No","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Yes","WHO European Region"
"7","Australia","Yes","Yes","Yes","WHO Western Pacific Region"
"8","Austria","Yes","Yes","Yes","WHO European Region"
"9","Azerbaijan","No","No","No","WHO European Region"
"10","Bahamas","Report not provided","Yes","Yes","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Yes","Yes","Yes","WHO Eastern Mediterranean Region"
"12","Bangladesh","No","No","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Yes","Yes","Yes","WHO Region of the Americas"
"14","Belarus","Yes","Yes","Yes","WHO European Region"
"15","Belgium","Yes","Yes","Yes","WHO European Region"
"16","Belize","Report not provided","No","Answer not provided","WHO Region of the Americas"
"17","Benin","No","No","No","WHO African Region"
"18","Bhutan","No","No","No","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","No","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Yes","Yes","Yes","WHO European Region"
"21","Botswana","Yes","Report not provided","Report not provided","WHO African Region"
"22","Brazil","No","No","No","WHO Region of the Americas"
"23","Brunei Darussalam","Yes","Report not provided","Yes","WHO Western Pacific Region"
"24","Bulgaria","Yes","Yes","Yes","WHO European Region"
"25","Burkina Faso","No","No","Yes","WHO African Region"
"26","Burundi","Report not provided","No","Report not provided","WHO African Region"
"27","Cambodia","No","Report not provided","No","WHO Western Pacific Region"
"28","Cameroon","Yes","Yes","Yes","WHO African Region"
"29","Canada","Yes","Yes","Answer not provided","WHO Region of the Americas"
"30","Cape Verde","Yes","Yes","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Yes","Report not provided","Report not provided","WHO African Region"
"33","Chile","No","No","No","WHO Region of the Americas"
"34","China","Yes","Yes","No","WHO Western Pacific Region"
"35","Colombia","No","No","Yes","WHO Region of the Americas"
"36","Comoros","Yes","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","Yes","No","WHO African Region"
"38","Cook Islands","Yes","Yes","Yes","WHO Western Pacific Region"
"39","Costa Rica","No","No","Yes","WHO Region of the Americas"
"40","Côte d'Ivoire","Yes","Yes","No","WHO African Region"
"41","Croatia","Yes","Yes","No","WHO European Region"
"42","Cyprus","Report not provided","No","No","WHO European Region"
"43","Czech Republic","Yes","Yes","Yes","WHO European Region"
"44","Democratic People's Republic of Korea","Yes","Report not provided","Yes","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","No","No","Report not provided","WHO African Region"
"46","Denmark","No","No","No","WHO European Region"
"47","Djibouti","No","No","No","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","No","Report not provided","WHO Region of the Americas"
"49","Ecuador","No","Yes","No","WHO Region of the Americas"
"50","Egypt","Yes","Yes","No","WHO Eastern Mediterranean Region"
"51","El Salvador","No","No","No","WHO Region of the Americas"
"52","Equatorial Guinea","No","No","Report not provided","WHO African Region"
"53","Estonia","Yes","No","No","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","No","No","No","WHO European Region"
"56","Fiji","Report not provided","Report not provided","No","WHO Western Pacific Region"
"57","Finland","Yes","Yes","Yes","WHO European Region"
"58","France","Yes","No","Yes","WHO European Region"
"59","Gabon","No","No","No","WHO African Region"
"60","Gambia","No","No","No","WHO African Region"
"61","Georgia","No","No","Yes","WHO European Region"
"62","Germany","No","No","No","WHO European Region"
"63","Ghana","No","No","No","WHO African Region"
"64","Greece","Report not provided","Yes","Yes","WHO European Region"
"65","Grenada","No","No","No","WHO Region of the Americas"
"66","Guatemala","No","No","Answer not provided","WHO Region of the Americas"
