"","Party","2018","2016","2014","Region"
"1","Afghanistan","No","No","Not applicable","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","No","WHO European Region"
"3","Algeria","No","No","No","WHO African Region"
"4","Angola","Not applicable","Not applicable","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","No","No","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","No","WHO European Region"
"7","Australia","No","No","No","WHO Western Pacific Region"
"8","Austria","Yes","Yes","Yes","WHO European Region"
"9","Azerbaijan","No","No","No","WHO European Region"
"10","Bahamas","Report not provided","No","Not applicable","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","No","No","No","WHO Eastern Mediterranean Region"
"12","Bangladesh","No","No","No","WHO South-East Asia Region"
"13","Barbados","No","No","Not applicable","WHO Region of the Americas"
"14","Belarus","No","No","No","WHO European Region"
"15","Belgium","No","No","No","WHO European Region"
"16","Belize","Report not provided","Not applicable","Not applicable","WHO Region of the Americas"
"17","Benin","Not applicable","Not applicable","No","WHO African Region"
"18","Bhutan","Not applicable","Not applicable","Not applicable","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","No","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","No","No","No","WHO European Region"
"21","Botswana","No","Report not provided","Report not provided","WHO African Region"
"22","Brazil","No","No","No","WHO Region of the Americas"
"23","Brunei Darussalam","No","Report not provided","No","WHO Western Pacific Region"
"24","Bulgaria","Answer not provided","Answer not provided","Answer not provided","WHO European Region"
"25","Burkina Faso","No","No","Not applicable","WHO African Region"
"26","Burundi","Report not provided","No","Report not provided","WHO African Region"
"27","Cambodia","Answer not provided","Report not provided","Not applicable","WHO Western Pacific Region"
"28","Cameroon","Yes","Yes","No","WHO African Region"
"29","Canada","No","No","No","WHO Region of the Americas"
"30","Cape Verde","Not applicable","Not applicable","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","No","Report not provided","Report not provided","WHO African Region"
"33","Chile","No","No","No","WHO Region of the Americas"
"34","China","No","No","No","WHO Western Pacific Region"
"35","Colombia","No","Answer not provided","No","WHO Region of the Americas"
"36","Comoros","Not applicable","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","No","No","WHO African Region"
"38","Cook Islands","Not applicable","Not applicable","Not applicable","WHO Western Pacific Region"
"39","Costa Rica","No","No","No","WHO Region of the Americas"
"40","Côte d'Ivoire","No","No","No","WHO African Region"
"41","Croatia","No","No","No","WHO European Region"
"42","Cyprus","Report not provided","No","Not applicable","WHO European Region"
"43","Czech Republic","Not applicable","Not applicable","Not applicable","WHO European Region"
"44","Democratic People's Republic of Korea","Answer not provided","Report not provided","Answer not provided","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","No","No","Report not provided","WHO African Region"
"46","Denmark","Not applicable","Not applicable","Not applicable","WHO European Region"
"47","Djibouti","No","No","No","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","Not applicable","Report not provided","WHO Region of the Americas"
"49","Ecuador","No","Not applicable","No","WHO Region of the Americas"
"50","Egypt","No","No","No","WHO Eastern Mediterranean Region"
"51","El Salvador","No","Not applicable","Not applicable","WHO Region of the Americas"
"52","Equatorial Guinea","No","No","Report not provided","WHO African Region"
"53","Estonia","Not applicable","Not applicable","Not applicable","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","No","No","Answer not provided","WHO European Region"
"56","Fiji","Report not provided","Report not provided","No","WHO Western Pacific Region"
"57","Finland","Not applicable","Not applicable","No","WHO European Region"
"58","France","Yes","Answer not provided","Answer not provided","WHO European Region"
"59","Gabon","Not applicable","No","No","WHO African Region"
"60","Gambia","No","No","No","WHO African Region"
"61","Georgia","No","No","No","WHO European Region"
"62","Germany","No","No","No","WHO European Region"
"63","Ghana","No","No","No","WHO African Region"
"64","Greece","Report not provided","Not applicable","No","WHO European Region"
"65","Grenada","Not applicable","Not applicable","Not applicable","WHO Region of the Americas"
"66","Guatemala","No","No","No","WHO Region of the Americas"
"67","Guinea","Report not provided","No","Report not provided","WHO African Region"
"68","Guinea-Bissau","No","No","Report not provided","WHO African Region"
"69","Guyana","No","Report not provided","Report not provided","WHO Region of the Americas"
"70","Honduras","Not applicable","Not applicable","No","WHO Region of the Americas"
"71","Hungary","Report not provided","No","No","WHO European Region"
"72","Iceland","Not applicable","Not applicable","No","WHO European Region"
"73","India","Report not provided","No","No","WHO South-East Asia Region"
"74","Iran (Islamic Republic of)","No","No","No","WHO Eastern Mediterranean Region"
"75","Iraq","No","No","No","WHO Eastern Mediterranean Region"
"76","Ireland","Not applicable","Not applicable","Not applicable","WHO European Region"
"77","Israel","Report not provided","Report not provided","Report not provided","WHO European Region"
"78","Italy","Not applicable","Not applicable","Not applicable","WHO European Region"
"79","Jamaica","No","No","No","WHO Region of the Americas"
"80","Japan","No","No","No","WHO Western Pacific Region"
"81","Jordan","Not applicable","Not applicable","No","WHO Eastern Mediterranean Region"
"82","Kazakhstan","No","Report not provided","No","WHO European Region"
"83","Kenya","Answer not provided","Answer not provided","No","WHO African Region"
"84","Kiribati","Yes","Yes","Yes","WHO Western Pacific Region"
"85","Kuwait","Not applicable","Answer not provided","No","WHO Eastern Mediterranean Region"
"86","Kyrgyzstan","Report not provided","No","No","WHO European Region"
"87","Lao People's Democratic Republic","No","No","No","WHO Western Pacific Region"
"88","Latvia","Not applicable","No","Not applicable","WHO European Region"
"89","Lebanon","No","No","No","WHO Eastern Mediterranean Region"
"90","Lesotho","Report not provided","Report not provided","No","WHO African Region"
"91","Liberia","No","No","Report not provided","WHO African Region"
"92","Libya","Not applicable","Not applicable","Not applicable","WHO Eastern Mediterranean Region"
"93","Lithuania","Not applicable","Not applicable","Not applicable","WHO European Region"
"94","Luxembourg","Not applicable","Not applicable","Not applicable","WHO European Region"
"95","Madagascar","Not applicable","Not applicable","Not applicable","WHO African Region"
"96","Malaysia","Yes","Not applicable","Not applicable","WHO Western Pacific Region"
"97","Maldives","No","No","No","WHO South-East Asia Region"
"98","Mali","No","No","No","WHO African Region"
"99","Malta","No","No","No","WHO European Region"
"100","Marshall Islands","Not applicable","Not applicable","Not applicable","WHO Western Pacific Region"
"101","Mauritania","Not applicable","Not applicable","Not applicable","WHO African Region"
"102","Mauritius","Not applicable","Not applicable","No","WHO African Region"
"103","Mexico","No","No","Answer not provided","WHO Region of the Americas"
"104","Micronesia (Federated States of)","No","No","No","WHO Western Pacific Region"
"105","Mongolia","No","Report not provided","No","WHO Western Pacific Region"
"106","Montenegro","No","No","No","WHO European Region"
