"","Party","2018","2016","2014","Region"
"1","Afghanistan","Report not provided","there no penalty system for offenders in place,","Answer not provided","WHO Eastern Mediterranean Region"
"2","Albania","Report not provided","Report not provided","Answer not provided","WHO European Region"
"3","Algeria","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"4","Angola","Report not provided","Angola needs more assistance in terms of awareness and information and campaign materials on tobacco in Portuguese. Most of these materials are available in both English and French. Cooperation with other Portuguese countries like Brazil and Portugal would be very welcome.","Report not provided","WHO African Region"
"5","Antigua and Barbuda","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"6","Armenia","Report not provided","Report not provided","Answer not provided","WHO European Region"
"7","Australia","Report not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"8","Austria","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"9","Azerbaijan","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"10","Bahamas","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"11","Bahrain (Kingdom of)","Report not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"12","Bangladesh","Report not provided","Answer not provided","Answer not provided","WHO South-East Asia Region"
"13","Barbados","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"14","Belarus","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"15","Belgium","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"16","Belize","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"17","Benin","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"18","Bhutan","Report not provided","Answer not provided","Some of the main constraints and challenges are: 
The secretariat office is primarily dependent on the stakeholders on the implementation of the provisions of the ACT and most of them are primarily engaged with their main responsibilities. 
Lack of resources necessary for Supply and Demand reduction measures.
Easy and ready access to Tobacco products through open and porous borders (North & South","WHO South-East Asia Region"
"19","Bolivia (Plurinational State of)","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
"20","Bosnia and Herzegovina","Report not provided","Please note that the replies for this survey were provided from the following institutions:
- Ministry of Civil Affairs of Bosnia and Herzegovina 
-  Ministry of Health of Federation Bosnia and Herzegovina
- Indirect Taxation Authority for Bosnia and Herzegovina (Custom Office)
- Trade Chamber Bosnia and Herzegovina","Answer not provided","WHO European Region"
"21","Botswana","Report not provided","Report not provided","Report not provided","WHO African Region"
"22","Brazil","Report not provided","xxx","Answer not provided","WHO Region of the Americas"
"23","Brunei Darussalam","Report not provided","Report not provided","Brunei Darussalam is a very small country of 5765 sq km with a population of about 393 372. Brunei Darussalam is not a tobacco grower or manufacturer and all tobacco products sold in the country are imported.","WHO Western Pacific Region"
"24","Bulgaria","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"25","Burkina Faso","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"26","Burundi","Report not provided","Answer not provided","Report not provided","WHO African Region"
"27","Cambodia","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"28","Cameroon","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"29","Canada","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"30","Cape Verde","Report not provided","Answer not provided","Report not provided","WHO African Region"
"31","Central African Republic","Report not provided","Report not provided","Report not provided","WHO African Region"
"32","Chad","Report not provided","Report not provided","Report not provided","WHO African Region"
"33","Chile","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"34","China","Report not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"35","Colombia","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"36","Comoros","Report not provided","Report not provided","Report not provided","WHO African Region"
"37","Congo","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"38","Cook Islands","Report not provided","Answer not provided","Answer not provided","WHO Western Pacific Region"
"39","Costa Rica","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"40","Côte d'Ivoire","Report not provided","le projet de loi antitabac concerne toutes les formes de produits du tabac sans exception","Answer not provided","WHO African Region"
"41","Croatia","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"42","Cyprus","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"43","Czech Republic","Report not provided","This report was completed by the Ministry of Health in close cooperation with other relevant ministries and the Office of the Government of the Czech Republic (coordinated within the Inter-ministerial Working Group for the Comprehensive Protection against Harm Caused by Tobacco) and with other stakeholders including the National Public Health Institute and nongovernmental organizations (e.g. The Society for Treatment of Tobacco Dependence, The Department of Addictology of Charles University in Prague - 1st Faculty of Medicine and General Teaching Hospital in Prague etc.)","This report was completed by the Ministry of Health in close cooperation with other relevant ministries and the Office of the Government of the Czech Republic (coordinated within the newly established inter-ministerial working group on problems of complex protection against damages caused by tobacco) and with other stakeholders including the National Public Health Institute and nongovernmental organizations (e.g. The Society for Treatment of Tobacco Dependence the Czech Coalition against Tobacco the Association for Addiction Medicine of the Czech Medical Association of J. E. Purkyne The Clinic of Addictology of 1st Faculty of Medicine and General Teaching Hospital Charles University Prague)","WHO European Region"
"44","Democratic People's Republic of Korea","Report not provided","Report not provided","Answer not provided","WHO South-East Asia Region"
"45","Democratic Republic of the Congo","Report not provided","Answer not provided","Report not provided","WHO African Region"
"46","Denmark","Report not provided","Answer not provided","More detailed information on the smoking prevalence in Denmark is available (in Danish) at:http://sundhedsstyrelsen.dk/da/sundhed/planlaegning-og-beredskab/kommuner/~/media/8538E83A23B64880B3960909F85FED4D.ashx","WHO European Region"
"47","Djibouti","Report not provided","Answer not provided","Answer not provided","WHO Eastern Mediterranean Region"
"48","Dominica","Report not provided","ENDS are available in the informal market","Report not provided","WHO Region of the Americas"
"49","Ecuador","Report not provided","Answer not provided","Fortalecer la coordinación y apoyo técnico por parte de la Secretaría del CMCT y OMS. en especial con los países de ingresos medianos y bajos.","WHO Region of the Americas"
"50","Egypt","Report not provided","تم تغيير لفظ سجائر الي لفظ تبغ بجميع قوانين مكافحة التبغ لتشمل تبغ الشيشة و كذلك الصور التحيريه تم وضعها عليها","Answer not provided","WHO Eastern Mediterranean Region"
"51","El Salvador","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"52","Equatorial Guinea","Report not provided","NO HAY","Report not provided","WHO African Region"
"53","Estonia","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"54","Ethiopia","Report not provided","Report not provided","Report not provided","WHO African Region"
"55","European Union","Report not provided","The European Union (EU), is a Party to the FCTC since 30 June 2005. Due to its nature as a regional economic integration organisation, the EU only reports on matters which are regulated at EU level, on non-binding EU recommendations, on activities carried out at EU level or on data which have been collected at EU level. EU legislation exists for example on tobacco product regulation, tobacco advertising and tobacco excise duties. Other areas, for example smoke free environments, cessation aids, education, fall mainly into the responsibility of the individual EU Member States, which are Parties to the FCTC, and are reported by them.","The European Union (EU) is a Party to the FCTC since 30 June 2005. Due to its nature as a regional economic integration organisation the EU only reports on matters which are regulated at EU level on non-binding EU recommendations on activities carried out at EU level or on data which have been collected at EU level. EU legislation exists for example on tobacco product regulation tobacco advertising and tobacco excise duties. Other areas for example smoke free environments cessation aids education fall mainly into the responsibility of the individual EU Member States which are Parties to the FCTC and are reported by them.","WHO European Region"
"56","Fiji","Report not provided","Report not provided","Answer not provided","WHO Western Pacific Region"
"57","Finland","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"58","France","Report not provided","Answer not provided","La France prépare dans le cadre du troisième plan cancer un programme national de réduction du tabagisme qui devrait être finalisé en 2014","WHO European Region"
"59","Gabon","Report not provided","aucune","Answer not provided","WHO African Region"
"60","Gambia","Report not provided","Answer not provided","Answer not provided","WHO African Region"
"61","Georgia","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"62","Germany","Report not provided","Smokeless tobacco products:
Health Warnings (Tabakprodukt-Verordnung, §7 par. 3)
Water pipe tobacco:
Health Warnings (Tabakprodukt-Verordnung, §7 par. 1)

ENDS:
Draft law for implementation of EU Directive 2014/40/EU no later than May 20, 2016:
-	 notification requirement for all available ENDS, and in the future, 6 month before the intended placing on the market (including a list of ingredients and emissions)
-	 Nicotine-containing liquid: dedicated refill containers with a maximum volume of 10 ml
-	 Disposable ENDS or single use cartridges: maximum of 2 ml liquid
-	 Maximum content of nicotine in liquids: 20 mg/ml
-	 Prohibition of vitamins/other additives that suggest a health benefit, caffeine/taurine and other stimulant compounds, additives having coloring properties for emissions, additives that facilitate inhalation or nicotine uptake, and additives that have CMR properties in unburnt form
-	 Child- and tamper-safety as well as  Protection against breakage and leakage of ENDS and refill containers are mandatory
-	 Leaflet on harmful effects required
-	 unit packets and any outside packaging: List of all ingredients, indication of nicotine content and a health warning required
-	 Prohibition of (audiovisual) commercial communication in the press and other printed publication, on the radio and TV
-	 Prohibition of sponsoring

Proposed for ENDS/ENNDS:
-	 Same regulation for ENNDS than for ENDS
-	 Prohibition of outdoor advertising
-	 Ban on sales to under-18-year-old","Answer not provided","WHO European Region"
"63","Ghana","Report not provided","Answer not provided","It will be very useful if a simple tool with set of indicators can be made available to parties to track and measures economic and social impact of Tobacco use.","WHO African Region"
"64","Greece","Report not provided","Answer not provided","Answer not provided","WHO European Region"
"65","Grenada","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"66","Guatemala","Report not provided","Answer not provided","Answer not provided","WHO Region of the Americas"
"67","Guinea","Report not provided","Answer not provided","Report not provided","WHO African Region"
"68","Guinea-Bissau","Report not provided","Answer not provided","Report not provided","WHO African Region"
"69","Guyana","Report not provided","Report not provided","Report not provided","WHO Region of the Americas"
