"id","title","art","description","url"
"4.1.1","D1_1 - On transfer of skills and technology","22-26a","D1_1 - On transfer of skills and technology","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.1.1"
"4.2.1","D2_1 - Expertise for tobacco control programmes","22-26a","D2_1 - Expertise for tobacco control programmes","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.2.1"
"4.3.1","D31 - Training and sensitisation of personnel","22-26a","D31 - Training and sensitisation of personnel","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.3.1"
"4.4.1","D41 - Equipment, supplies, logistics","22-26a","D41 - Equipment, supplies, logistics","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.4.1"
"4.5.1","D51 - Methods for tobacco control, e.g. treatment of nicotine addiction","22-26a","D51 - Methods for tobacco control, e.g. treatment of nicotine addiction","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.5.1"
"4.6.1","D61 - Research on affordability","22-26a","D61 - Research on affordability","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.6.1"
"4.1.2","D1_2 - On transfer of skills and technology","22-26b","D1_2 - On transfer of skills and technology","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.1.2"
"4.2.2","D2_2 - Expertise for tobacco control programmes","22-26b","D2_2 - Expertise for tobacco control programmes","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.2.2"
"4.3.2","D32 - Training and sensitisation of personnel","22-26b","D32 - Training and sensitisation of personnel","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.3.2"
"4.4.2","D42 - Equipment, supplies, logistics","22-26b","D42 - Equipment, supplies, logistics","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.4.2"
"4.5.2","D52 - Methods for tobacco control, e.g. treatment of nicotine addiction","22-26b","D52 - Methods for tobacco control, e.g. treatment of nicotine addiction","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.5.2"
"4.6.2","D62 - Research on affordability","22-26b","D62 - Research on affordability","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=4.6.2"
"5.1","E1 - Priorities for implementation","22-26d","E1 - Priorities for implementation","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=5.1"
"5.2","E2 - Specific gaps","22-26d","E2 - Specific gaps","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=5.2"
"5.3","E3 - Details on specific gaps","22-26d","E3 - Details on specific gaps","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=5.3"
"5.4","E4 - Constraints or barriers","22-26d","E4 - Constraints or barriers","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=5.4"
"5.7","E7 - Details on new and amerging products","22-26d","E7 - Details on new and amerging products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=5.7"
"5.8","E8 - Any other relevant information","22-26d","E8 - Any other relevant information","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=5.8"
"5.9","E9 - Suggestions on the reporting instrument","22-26d","E9 - Suggestions on the reporting instrument","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=5.9"
"3.1.1.1","C111 - Comprehensive multisectoral national tobacco control strategy","5","C111 - Comprehensive multisectoral national tobacco control strategy","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.1.1"
"3.1.1.2","C112 - Tobacco control included in national health strategies","5","C112 - Tobacco control included in national health strategies","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.1.2"
"3.1.1.3","C113 - Any aspect of tobacco referred in any national strategy","5","C113 - Any aspect of tobacco referred in any national strategy","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.1.3"
"3.1.1.4.a","C114a - Focal point for tobacco control","5","C114a - Focal point for tobacco control","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.1.4.a"
"3.1.1.4.b","C114b - Tobacco control unit","5","C114b - Tobacco control unit","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.1.4.b"
"3.1.1.4.c","C114c - National coordinating mechanism for tobacco control","5","C114c - National coordinating mechanism for tobacco control","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.1.4.c"
