"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"7","Austria","The last remaining tobacco manufacturing site within Austrian territory (Austria Tabak in Hainburg) closed down in December 2011.","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"14","Belgium","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"19","Bosnia and Herzegovina","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"20","Botswana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"21","Brazil","Answer/report not provided","These measures are part of the Brazilian National Program to Support Diversification in Tobacco Cultivated Areas. There is a pilot project in the municipality of Don Feliciano through which different areas of Health (INCA occupational health health surveillance) Labor Agriculture and Agricultural Development Ministries are working to get data on the farmers economic work and health situation and sensitize them about the oportunities in the diversification program and all environmental damage.","These measures are part of the Brazilian National Program to Support Diversification in Tobacco Cultivated Areas. There is a pilot project in the municipality of Don Feliciano through which different areas of Health (INCA occupational health health surveillance) Labor Agriculture and Agricultural Development Ministries are working to get data on the farmers economic work and health situation and sensitize them about the oportunities in the diversification program and all environmental damage."
"22","Brunei Darussalam","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"23","Bulgaria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"24","Burkina Faso","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"25","Burundi","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"26","Cambodia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"27","Cameroon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"28","Canada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"31","Chile","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"32","China","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"33","Colombia","En las zonas productoras. se realizan actividades de reforestación. manejo de aguas y suelos y conservación del medio ambiente entre otras.","En las zonas productoras se realizan actividades de reforestación manejo de aguas y suelos y conservación del medio ambiente entre otras.","Answer/report not provided"
"34","Comoros","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"35","Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"36","Cook Islands","Answer/report not provided","There is no tobacco industry in Cook Islands.","Answer/report not provided"
"37","Costa Rica","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"38","Côte d'Ivoire","Answer/report not provided","Cet aspect de la problématique du tabagisme sera pris en compte par une prochaine loi nationale antitabac qui sera proposée aux députés dans les prochaines semaines.","Answer/report not provided"
"39","Croatia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"41","Czech Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"45","Djibouti","Answer/report not provided","suivre levolution du projet de mise en place dune usine de cigarettes en free zone","Answer/report not provided"
"46","Ecuador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"47","Egypt","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"48","El Salvador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"49","Estonia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"50","European Union","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"51","Fiji","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"52","Finland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"53","France","Answer/report not provided","Les mesures dans le domaine environnemental existent mais elles concernent le tabac comme les autres cultures car elles ont une portée transversale. Elles ne sont donc pas propres au secteur du tabac
La culture de tabac bénéficie de lexpertise technique dun institut technique dédié qui promeut une culture de tabac respectueuse de lenvironnement mais aussi de la santé des producteurs. Des efforts importants ont été faits pour améliorer la qualité du tabac par la réduction du taux dalcanoïdes.","La culture du tabac bénéficie de lexpertise technique dun institut dédié qui promeut une culture du tabac respectueuse de lenvironnement mais aussi de la santé des producteurs. Des efforts importants ont été réalisés pour améliorer la qualité du tabac par la réduction dalcanoïdes."
"54","Gabon","Answer/report not provided","Au Gabon on na plus de culture du tabac commercialisée. La production est quasi inexistante et ne participa pas à la fabrication des cigarettes. La matière première utilisée dans la fabrication est importée.
Lusine de fabrication SOCIGA se trouve en plein quartier incommode la population qui craint pour sa santé mais lentreprise argue quelle ne brûle pas sa matière première pas de combustion donc pas de pollution…","Answer/report not provided"
"55","Gambia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"56","Georgia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"57","Germany","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"58","Ghana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"59","Greece","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"60","Grenada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"62","Guyana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"63","Honduras","Se contempla en la Ley Especial para el Control del Tabaco y su reglamentación que cuando procediere la destrucción de los productos derivados de tabaco. se adoptarán medidas adecuadas. utilizando métodos apropiados a la protección del medio ambiente","Answer/report not provided","Answer/report not provided"
"64","Hungary","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"65","Iceland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"66","India","Answer/report not provided","3.4.1.2: In order to protect the environment from the environmental hazards of the plastic pouches used for packaging the smokeless tobacco/chewing tobacco (Gutkha) upon the directions of the Honble Supreme Court the Ministry of Environment through its notification dated 5th February 2011 has banned the use of plastic for packaging of smokeless/chewing tobacco.","Answer/report not provided"
"67","Iran (Islamic Republic of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"68","Iraq","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"69","Ireland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"70","Israel","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"71","Italy","A basic and compulsory set of environmental cross-compliance rules and specific agro-environmental measures are foreseen in the EU Common Agricultural Policy (CAP) in the Direct Payments and Rural development regulations since many years and helped to improve the environmental impact of agricultural activities with regard to all produces.
Information on good agricultural practices and on the use of correct work clothes gloves etc. and washing rules have been widely spread among the growers and the workers also through programs supported by the Ministry of agriculture food and forestry policies.","Answer/report not provided","Answer/report not provided"
"72","Jamaica","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"73","Japan","Answer/report not provided","·According to the Article 1 of the Ordinance of the Standard Measures for Users of Agricultural Chemicals the users of agricultural chemicals have responsibilities not to have adverse effects on the human health and the environment.","According to the Article 1 of the Ordinance of the Standard Measures for Users of Agricultural Chemicals the users of agricultural chemicals have responsibilities not to have adverse effects on the human health and the environment."
"74","Jordan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"75","Kazakhstan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"76","Kenya","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"77","Kiribati","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"78","Kuwait","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"79","Kyrgyzstan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"80","Lao People's Democratic Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"81","Latvia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"82","Lebanon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"83","Lesotho","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"84","Libyan Arab Jamahiriya","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"85","Lithuania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"86","Luxembourg","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"87","Madagascar","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"88","Malaysia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"89","Maldives","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"90","Mali","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"91","Malta","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"92","Marshall Islands","Answer/report not provided","Answer/report not provided","No further comments"
"93","Mauritania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"94","Mauritius","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"95","Mexico","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"96","Micronesia (Federated States of)","Answer/report not provided",NA,"Answer/report not provided"
"97","Mongolia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"98","Montenegro","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"99","Myanmar","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"100","Namibia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"101","Nauru","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"102","Nepal","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"103","Netherlands","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"104","New Zealand","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"105","Niger","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"106","Nigeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"107","Niue","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"108","Norway","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"109","Oman","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"110","Pakistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"111","Palau","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"112","Panama","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"113","Papua New Guinea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"114","Paraguay","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"115","Peru","El Ministerio del Ambiente viene implementando Planes de Mejora de la Calidad del Aire en ciudades priorizadas (31) del país. que incluye la promoción de la ampliación de cobertura de áreas verdes en ambientes urbanos y el control de cultivos que tienen un impacto sobre la calidad de del aire siendo entre ellos el tabaco
Además viene implementando los Estándares de Calidad Ambiental en zonas urbanas. lo cual contribuirá a reducir la exposición a agentes contaminantes atmosféricos de los cuales muchos están asociados a tabaco.","Answer/report not provided","Answer/report not provided"
"116","Philippines","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"117","Poland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"118","Portugal","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"119","Qatar","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"120","Republic of Korea","Answer/report not provided","Anyone who throws away cigarette butts in any place other than a trashbin or uses any tobacco product in designated smoke-free areas shall be fined a maximum of KRW 30 000 by the Minor Offenses Act (Article 1).","Anyone who throws away cigarette butts in any place other than a trashbin or uses any tobacco product in designated smoke-free areas shall be fined a maximum of KRW 30 000 by the Minor Offenses Act (Article 1)."
