"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","17","17"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"7","Austria","77.15","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","30.5","30.5","30.5"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","51","Answer/report not provided"
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","Answer/report not provided","Answer/report not provided","no figure provided"
"14","Belgium","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"15","Belize","21.2","Answer/report not provided","Answer/report not provided"
"16","Benin","45","76.5","Answer/report not provided"
"17","Bhutan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"19","Bosnia and Herzegovina","73","Answer/report not provided","Answer/report not provided"
"20","Botswana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"21","Brazil","Answer/report not provided","60","60"
"22","Brunei Darussalam","Answer/report not provided","67.57","Answer/report not provided"
"23","Bulgaria","80","86.64","86.64"
"24","Burkina Faso","55","38","Answer/report not provided"
"25","Burundi","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"26","Cambodia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"27","Cameroon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"28","Canada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","33","Answer/report not provided"
"31","Chile","83","75","Answer/report not provided"
"32","China","Answer/report not provided","60","60"
"33","Colombia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"34","Comoros","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"35","Congo","32","32","Answer/report not provided"
"36","Cook Islands","38.1","Answer/report not provided","Answer/report not provided"
"37","Costa Rica","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"38","Côte d'Ivoire","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"39","Croatia","79.68","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"41","Czech Republic","77.87","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Answer/report not provided","Answer/report not provided","74.84"
"45","Djibouti","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"46","Ecuador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"47","Egypt","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"48","El Salvador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"49","Estonia","Answer/report not provided","84.38","Answer/report not provided"
"50","European Union","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"51","Fiji","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"52","Finland","80","80","77"
"53","France","80","80.64","80.39"
"54","Gabon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"55","Gambia","Answer/report not provided","66","Answer/report not provided"
"56","Georgia","Answer/report not provided","68","Answer/report not provided"
"57","Germany","Answer/report not provided","Answer/report not provided","76"
"58","Ghana","88","Answer/report not provided","Answer/report not provided"
"59","Greece","Answer/report not provided","83.7","Answer/report not provided"
"60","Grenada","73","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Answer/report not provided","57","Answer/report not provided"
"62","Guyana","Answer/report not provided","27","27"
"63","Honduras","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"64","Hungary","Answer/report not provided","86.26","78.9"
"65","Iceland","Answer/report not provided","60","Answer/report not provided"
"66","India","Answer/report not provided","55","55"
"67","Iran (Islamic Republic of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"68","Iraq","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"69","Ireland","78.3","78.51","78.51"
"70","Israel","Answer/report not provided","75.7","Answer/report not provided"
"71","Italy","76.53","Answer/report not provided","Answer/report not provided"
"72","Jamaica","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"73","Japan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"74","Jordan","Answer/report not provided","53","Answer/report not provided"
"75","Kazakhstan","24","12","Answer/report not provided"
"76","Kenya","52","Answer/report not provided","44"
"77","Kiribati","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"78","Kuwait","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"79","Kyrgyzstan","Answer/report not provided","26","Answer/report not provided"
"80","Lao People's Democratic Republic","19.7","Answer/report not provided","Answer/report not provided"
"81","Latvia","Answer/report not provided","Answer/report not provided","99.67"
"82","Lebanon","Answer/report not provided","57","57"
"83","Lesotho","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"84","Libyan Arab Jamahiriya","Answer/report not provided","40","Answer/report not provided"
"85","Lithuania","Answer/report not provided","Answer/report not provided","no figure provided"
"86","Luxembourg","70","70.626","70.5"
"87","Madagascar","73.50","80.34","Answer/report not provided"
"88","Malaysia","53","Answer/report not provided","48.8"
"89","Maldives","48.6","Answer/report not provided","Answer/report not provided"
"90","Mali","79.73","Answer/report not provided","Answer/report not provided"
"91","Malta","75.26","76.25","76.25"
"92","Marshall Islands","28.6","Answer/report not provided","Answer/report not provided"
"93","Mauritania","14","Answer/report not provided","Answer/report not provided"
"94","Mauritius","65","65","Answer/report not provided"
"95","Mexico","Answer/report not provided","69.2","Answer/report not provided"
"96","Micronesia (Federated States of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"97","Mongolia","Answer/report not provided","25","30"
"98","Montenegro","57","57","57"
"99","Myanmar","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"100","Namibia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"101","Nauru","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"102","Nepal","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"103","Netherlands","Answer/report not provided","78.45","57.7"
"104","New Zealand","76","Answer/report not provided","Answer/report not provided"
"105","Niger","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"106","Nigeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"107","Niue","12.5","Answer/report not provided","12.5"
"108","Norway","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"109","Oman","25","Answer/report not provided","Answer/report not provided"
"110","Pakistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"111","Palau","70","Answer/report not provided","Answer/report not provided"
"112","Panama","59.2","Answer/report not provided","Answer/report not provided"
"113","Papua New Guinea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"114","Paraguay","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"115","Peru","38.6","Answer/report not provided","Answer/report not provided"
"116","Philippines","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"117","Poland","Answer/report not provided","81.76","Answer/report not provided"
"118","Portugal","83","77.44","77.44"
"119","Qatar","Answer/report not provided","Answer/report not provided","no figure provided"
"120","Republic of Korea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"121","Republic of Moldova","Answer/report not provided","27.7","Answer/report not provided"
"122","Romania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"123","Russian Federation","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"124","Rwanda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"125","Saint Kitts and Nevis","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"126","Saint Lucia","Answer/report not provided","18.5","Answer/report not provided"
"127","Saint Vincent and the Grenadines","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"128","Samoa","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"129","San Marino","74.2","Answer/report not provided","Answer/report not provided"
"130","Sao Tome and Principe","12.4","Answer/report not provided","Answer/report not provided"
"131","Saudi Arabia","100","100","Answer/report not provided"
"132","Senegal","70.9","Answer/report not provided","Answer/report not provided"
"133","Serbia","Answer/report not provided","79.13","Answer/report not provided"
"134","Seychelles","66.7","Answer/report not provided","75"
"135","Sierra Leone","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"136","Singapore","68","Answer/report not provided","Answer/report not provided"
"137","Slovakia","90","90","90"
"138","Slovenia","79.81","77.88","Answer/report not provided"
"139","Solomon Islands","30","75","75"
"140","South Africa","Answer/report not provided","52","52"
"141","Spain","79.04","Answer/report not provided","Answer/report not provided"
"142","Sri Lanka","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"143","Sudan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"144","Suriname","69","69","Answer/report not provided"
"145","Swaziland","Answer/report not provided","52","Answer/report not provided"
"146","Sweden","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"147","Syrian Arab Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"148","Tajikistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"149","Thailand","Answer/report not provided","Answer/report not provided","68"
"150","The former Yugoslav Republic of Macedonia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"151","Timor-Leste","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"152","Togo","45","40","Answer/report not provided"
"153","Tonga","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"154","Trinidad and Tobago","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"155","Tunisia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"156","Turkey","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"157","Turkmenistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"158","Tuvalu","14.8","Answer/report not provided","Answer/report not provided"
"159","Uganda","40.3","Answer/report not provided","Answer/report not provided"
"160","Ukraine","60","62","62"
"161","United Arab Emirates","Answer/report not provided","30","Answer/report not provided"
"162","United Kingdom","82.6","Answer/report not provided","76"
"163","United Republic of Tanzania","28.1","Answer/report not provided","Answer/report not provided"
"164","Uruguay","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"165","Uzbekistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"166","Vanuatu","Answer/report not provided","75","Answer/report not provided"
"167","Venezuela","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"168","Viet Nam","41.6","45","45"
"169","Yemen","90","Answer/report not provided","Answer/report not provided"
