"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","Answer/report not provided","exposure of children aged 13-15 
in their homes and workplace
in public places:","Answer/report not provided"
"2","Albania","Answer/report not provided","SHS exposure is high - half the students live in homes where others smoke (49.7%) and almost two thirds (64.5%) of the students are exposed to smoke around others outside of the home in 2009 but in 2004 was (46.3%). At the same time there was a significant increase; however this part of the law is a big problem for the implementation.
In 2009 almost 4 in 10 of the students lived at home where anybody other smoked. 
However compared with 2004 in 2009 less students were exposed to SHS in public places in Albania.","Answer/report not provided"
"3","Algeria","- Exposition par sexe : 
- 22 7 % des hommes sont exposés à la maison contre 25 9 % pour les femmes. 
 - 74 9 % des femmes déclarent être exposées dans les lieux publics au tabagisme passif (transports administrations etc) contre 77 3 % pour les hommes.
-Exposition à la maison : 24 1 % 
- Exposition dans les lieux publics : 75 9 %","-Exposition à la maison : 24 1 % ( 22 7 % pour les hommes contre 25 9 % pour les femmes)
-Exposition dans les lieux publics : 75 9 % (77 3 % pour les hommes contre 74 9 % pour femmes )","Exposition à la fumée ambiante à la maison : 20 2 % dans les lieux publics : 64 %"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Schoolchildren (13-15 years old) exposure to tobacco smoke in home 70.6% (69.2% boys and 71.6% girls). 
78.3% (80.7 % boys and 76.4 girls) are esposed to smoke in public places","Schoolchildren (13-15 years old) expousere to tobacco smoke in home 70.6% (69.2% boys and 71.6% girls). 
78.3% (80.7 % boys and 76.4 girls) are exposed to smoke in public places","Schoolchildren (13-15 years old) espousere to tobacco smoke in home 70.6% (69.2% boys and 71.6% girls). 
78.3% (80.7 % boys and 76.4 girls) are esposed to smoke in public places"
"6","Australia","As part of the National Health Survey in 2011-12. the Biomedical Results for Chronic Disease included a test for cotinine as an objective measure of smoking status. The body produces cotinine in the process of breaking down. or metabolising. nicotine from tobacco smoke. Levels of cotinine are generally proportionate to the amount of tobacco exposure a person receives through smoking. or in some cases. through exposure to second hand smoke. However. cotinine levels only remain elevated for around 20 hours after exposure to tobacco smoke; therefore it can only provide a measure of short-term exposure. Overall. 87.0% of current smokers aged 18 years and over had exposure to tobacco smoke. compared with only 5.7% of those who were ex-smokers and 0.3% of those who had never smoked.","In the State of New South Wales a 2010 report indicated that 92 per cent of adults aged 16 years and over lived in a smoke free home 2.9 per cent lived in a semi-smoking home and 4.5 per cent lived in homes where people frequently smoked. 86 per cent of adults aged 16 and over did not allow smoking in their car. In the State of South Australia a 2010 report revealed that 65.7 per cent of people reported having been exposed to second hand smoke within the past two weeks. Most people reported exposure to second hand smoke outside building entrances. In the State of Western Australia statistics from the 2011 Health and Wellness Survey revealed that smoking is not acceptable to a majority of individuals and that Western Australian residents believe that it is twice as acceptable to regularly smoke at home than to smoke in public. Please see Annex 1 for further information.","Note: Exposure to tobacco smoke is regulated by the individual State and Territory jurisdictions. See individual sub-jurisdictional responses at Attachment A."
"7","Austria","In 2006-2007 9.9% of the Austrian population aged 15+ and being non-smokers or occasional Smokers (= not smoking every day) were exposed to tobacco smoke at home and 24.3 % of the working population were exposed to tobacco smoke at their workplace (11.9 % less than 1 hour/day 7.5 % from 1 to 5 hours/day and 4.9 % more than 5 hours/day). Tobacco smoke exposure at home as well as at the workplace was highest among 15-30 year old persons (15.9 % at home and 30.8 % at the workplace). Men are more often exposed to tobacco smoke at the workplace than women (27.5 % vs. 20.3 %); at home however women are more often exposed to tobacco smoke (10.2 % vs. 9.6 %).","In 2006-2007 9.9% of the Austrian population aged 15+ and being non-smokers or occasional Smokers (= not smoking every day) were exposed to tobacco smoke at home and 24.3 % of the working population were exposed to tobacco smoke at their workplace (11.9 % less than 1 hour/day 7.5 % from 1 to 5 hours/day and 4.9 % more than 5 hours/day). Tobacco smoke exposure at home as well as at the workplace was highest among 15-30 year old persons (15.9 % at home and 30.8 % at the workplace). Men are more often exposed to tobacco smoke at the workplace than women (27.5 % vs. 20.3 %); at home however women are more often exposed to tobacco smoke (10.2 % vs. 9.6 %).","Answer/report not provided"
"8","Azerbaijan","Among 18 and older the women more likely than men to be exposed to environmental tobacco smoke (ETS) at home (40.2% vs. 30.2%). ETS exposure at work and public places are higher in men (55.0% and 76.2% respectively) which can be explained by a higher share of employed people among the male respondents and women traditionally less likely to visit public places especially in rural areas. The 59.6% exposed to ETS either at home work or public places with men being exposed more frequently than women (67.5% and 52.3% respectively). For both sexes the exposure is more likely to happen at public places than at home or work (59.2% vs. 35.6% and 34.9%). By age groups ETS exposure tended to be greater in younger ages.","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Exposure at home: Male - 8.3% (CI: 4.0-12.7); Female - 7.1% (CI:0.0-16.5); Total: 7.7% (CI: 0.8-14.6)
Exposure in the workplace: Male - 17.4 % (CI: 0.0-39.0); Female - 5.2% (CI: 0.0-11.4); Total 11.3% (CI: 0.0-26.2)
(based on exposure on one or more days in the past 7 days)","28.7% live in homes where others smoke in their presence 
51.2% are around others who smoke in places outside their home 
25.9% have one or more parents who smoke","Answer/report not provided"
"10","Bahrain (Kingdom of)","The study was conducted by using special PM2.5 monitoring instrument that measured the concentration of suspended SHS particulate matter (PM) in indoor air. Indoor Air monitoring was conducted for thirty minutes at every venue in a sample of hospitals schools public offices transportation and recreation venues. The study took place during July 2010. A total of 18 venues were monitored using PM2.5. A brief summary of the findings from this study is presented here.
In Manama the study found an average PM2.5 level of 211 µg/m3 in venues with evidence of smoking which is 15 times higher than indoor places where no smoking was observed. 

Study Findings 

Levels of PM2.5 in Indoor Places in Bahrain

PM2.5 levels were 15 times higher in venues where smoking was observed compared to venues with no smoking observed and nearly 8 times higher than outdoors.

Smoking was only observed in recreation venues. All other venues had signs prohibiting smoking and very low levels of PM2.5.

The average PM2.5 levels detected in recreation venues with smoking was 211 µg/m3. In only 30 minutes visitors to these venues would be exposed to levels 8 times higher than what is acceptable for a whole day (25 µg/m3) defined by the World Health Organization.6

There was no evidence of smoking in schools hospitals public offices or transportation venues included in this study.","exposed to smoke from others in their homes ( 33.4% of those never smoked 63.3% of the current smokers ) exposed to smoke from others in public places ( 38.8% of those never smoked and 72.0% of the current smokers)","Answer/report not provided"
