iso3c,year,fh_ipolity2
AFG,2000,0.75
AFG,2001,0.3988471031188965
AFG,2002,2.0373072624206543
AFG,2003,2.0373072624206543
AFG,2004,2.8565375804901123
AFG,2005,3.675767660140991
AFG,2006,3.675767660140991
AFG,2007,3.675767660140991
AFG,2008,2.8565375804901123
AFG,2009,2.0373072624206543
AFG,2010,2.0373072624206543
AFG,2011,2.0373072624206543
AFG,2012,2.0373072624206543
AFG,2013,2.0373072624206543
AFG,2014,3.0833332538604736
AFG,2015,3.0833332538604736
AFG,2016,3.0833332538604736
AFG,2017,2.8565375804901123
AGO,2000,2.5833332538604736
AGO,2001,2.5833332538604736
AGO,2002,3.25
AGO,2003,3.25
AGO,2004,3.25
AGO,2005,3.25
AGO,2006,3.25
AGO,2007,3.25
AGO,2008,3.25
AGO,2009,3.25
AGO,2010,3.25
AGO,2011,3.25
AGO,2012,3.25
AGO,2013,3.25
AGO,2014,3.25
AGO,2015,2.8333332538604736
AGO,2016,2.8333332538604736
AGO,2017,2.0373072624206543
ALB,2000,5.8333330154418945
ALB,2001,6.6666669845581055
ALB,2002,7.5833330154418945
ALB,2003,7.5833330154418945
ALB,2004,7.5833330154418945
ALB,2005,8.083333015441895
ALB,2006,8.083333015441895
ALB,2007,8.083333015441895
ALB,2008,8.083333015441895
ALB,2009,8.083333015441895
ALB,2010,8.083333015441895
ALB,2011,8.083333015441895
ALB,2012,8.083333015441895
ALB,2013,8.083333015441895
ALB,2014,8.083333015441895
ALB,2015,8.083333015441895
ALB,2016,8.083333015441895
ALB,2017,6.952688217163086
AND,2000,10
AND,2001,10
AND,2002,10
AND,2003,10
AND,2004,10
AND,2005,10
AND,2006,10
AND,2007,10
AND,2008,10
AND,2009,10
AND,2010,10
AND,2011,10
AND,2012,10
AND,2013,10
AND,2014,10
AND,2015,10
AND,2016,10
AND,2017,10
ARE,2000,1.75
ARE,2001,1.75
ARE,2002,1.75
ARE,2003,1.3333332538604736
ARE,2004,1.3333332538604736
ARE,2005,1.3333332538604736
ARE,2006,1.75
ARE,2007,1.75
ARE,2008,1.75
ARE,2009,1.75
ARE,2010,1.75
ARE,2011,1.3333332538604736
ARE,2012,1.3333332538604736
ARE,2013,1.3333332538604736
ARE,2014,1.3333332538604736
ARE,2015,1.3333332538604736
ARE,2016,1.3333332538604736
ARE,2017,1.2180771827697754
ARG,2000,9.083333969116211
ARG,2001,7.8333330154418945
ARG,2002,7.8333330154418945
ARG,2003,8.666666030883789
ARG,2004,8.666666030883789
ARG,2005,8.666666030883789
ARG,2006,8.666666030883789
ARG,2007,8.666666030883789
ARG,2008,8.666666030883789
ARG,2009,8.666666030883789
ARG,2010,8.666666030883789
ARG,2011,8.666666030883789
ARG,2012,8.666666030883789
ARG,2013,8.666666030883789
ARG,2014,8.666666030883789
ARG,2015,8.916666030883789
ARG,2016,8.916666030883789
ARG,2017,8.591148376464844
ARM,2000,6.25
ARM,2001,6.25
ARM,2002,6.25
ARM,2003,6.25
ARM,2004,5.8333330154418945
ARM,2005,5.8333330154418945
ARM,2006,5.8333330154418945
ARM,2007,5.8333330154418945
ARM,2008,5.416666507720947
ARM,2009,5.416666507720947
ARM,2010,5.416666507720947
ARM,2011,5.416666507720947
ARM,2012,5.8333330154418945
ARM,2013,5.8333330154418945
ARM,2014,5.8333330154418945
ARM,2015,5.8333330154418945
ARM,2016,5.8333330154418945
ARM,2017,4.494997501373291
ATG,2000,6.952688217163086
ATG,2001,6.952688217163086
ATG,2002,6.952688217163086
ATG,2003,6.952688217163086
ATG,2004,8.591148376464844
ATG,2005,8.591148376464844
ATG,2006,8.591148376464844
ATG,2007,8.591148376464844
ATG,2008,8.591148376464844
ATG,2009,7.771918296813965
ATG,2010,7.771918296813965
ATG,2011,7.771918296813965
ATG,2012,8.591148376464844
ATG,2013,8.591148376464844
ATG,2014,8.591148376464844
ATG,2015,8.591148376464844
ATG,2016,8.591148376464844
ATG,2017,8.591148376464844
AUS,2000,10
AUS,2001,10
AUS,2002,10
AUS,2003,10
AUS,2004,10
AUS,2005,10
AUS,2006,10
AUS,2007,10
AUS,2008,10
AUS,2009,10
AUS,2010,10
AUS,2011,10
AUS,2012,10
AUS,2013,10
AUS,2014,10
AUS,2015,10
AUS,2016,10
AUS,2017,10
AUT,2000,10
AUT,2001,10
AUT,2002,10
AUT,2003,10
AUT,2004,10
AUT,2005,10
AUT,2006,10
AUT,2007,10
AUT,2008,10
AUT,2009,10
AUT,2010,10
AUT,2011,10
AUT,2012,10
AUT,2013,10
AUT,2014,10
AUT,2015,10
AUT,2016,10
AUT,2017,10
AZE,2000,2
AZE,2001,2
AZE,2002,2
AZE,2003,2
AZE,2004,2
AZE,2005,2
AZE,2006,2
AZE,2007,2
AZE,2008,2
AZE,2009,2
AZE,2010,2
AZE,2011,2
AZE,2012,2
AZE,2013,1.5833332538604736
AZE,2014,1.5833332538604736
AZE,2015,1.1666666269302368
AZE,2016,1.1666666269302368
AZE,2017,1.2180771827697754
BDI,2000,3.0833332538604736
BDI,2001,3.3333332538604736
BDI,2002,4.25
BDI,2003,4.916666507720947
BDI,2004,5.416666507720947
BDI,2005,6.5
BDI,2006,6.0833330154418945
BDI,2007,6.0833330154418945
BDI,2008,6.0833330154418945
BDI,2009,6.0833330154418945
BDI,2010,5.666666507720947
BDI,2011,5.666666507720947
BDI,2012,5.666666507720947
BDI,2013,5.666666507720947
BDI,2014,5.25
BDI,2015,2.6666667461395264
BDI,2016,2.6666667461395264
BDI,2017,1.2180771827697754
BEL,2000,9.583333969116211
BEL,2001,9.583333969116211
BEL,2002,10
BEL,2003,10
BEL,2004,10
BEL,2005,10
BEL,2006,10
BEL,2007,9.5
BEL,2008,9.5
BEL,2009,9.5
BEL,2010,9.5
BEL,2011,9.5
BEL,2012,9.5
BEL,2013,9.5
BEL,2014,9.5
BEL,2015,9.5
BEL,2016,9.5
BEL,2017,10
BEN,2000,8.166666030883789
BEN,2001,7.75
BEN,2002,7.75
BEN,2003,8.166666030883789
BEN,2004,8.166666030883789
BEN,2005,8.166666030883789
BEN,2006,8.416666030883789
BEN,2007,8.416666030883789
BEN,2008,8.416666030883789
BEN,2009,8.416666030883789
BEN,2010,8.416666030883789
BEN,2011,8.416666030883789
BEN,2012,8.416666030883789
BEN,2013,8.416666030883789
BEN,2014,8.416666030883789
BEN,2015,8.416666030883789
BEN,2016,8.416666030883789
BEN,2017,8.591148376464844
BFA,2000,4.25
BFA,2001,5
BFA,2002,5
BFA,2003,5
BFA,2004,4.5833330154418945
BFA,2005,5
BFA,2006,5
BFA,2007,5
BFA,2008,5
BFA,2009,5
BFA,2010,5
BFA,2011,5
BFA,2012,5
BFA,2013,5
BFA,2014,4.5833330154418945
BFA,2015,6.9166669845581055
BFA,2016,6.9166669845581055
BFA,2017,6.133458137512207
BGD,2000,6.9166669845581055
BGD,2001,6.9166669845581055
BGD,2002,6.5
BGD,2003,6.5
BGD,2004,6.5
BGD,2005,6.5
BGD,2006,6.5
BGD,2007,3.0833332538604736
BGD,2008,3.5
BGD,2009,6.6666669845581055
BGD,2010,6.6666669845581055
BGD,2011,6.6666669845581055
BGD,2012,6.6666669845581055
BGD,2013,6.4166669845581055
BGD,2014,5.25
BGD,2015,5.25
BGD,2016,5.25
BGD,2017,5.314228057861328
BGR,2000,8.25
BGR,2001,8.916666030883789
BGR,2002,9.333333969116211
BGR,2003,9.333333969116211
BGR,2004,9.333333969116211
BGR,2005,9.333333969116211
BGR,2006,9.333333969116211
BGR,2007,9.333333969116211
BGR,2008,8.916666030883789
BGR,2009,8.916666030883789
BGR,2010,8.916666030883789
BGR,2011,8.916666030883789
BGR,2012,8.916666030883789
BGR,2013,8.916666030883789
BGR,2014,8.916666030883789
BGR,2015,8.916666030883789
BGR,2016,8.916666030883789
BGR,2017,8.591148376464844
BHR,2000,0.6666666269302368
BHR,2001,1.75
BHR,2002,2.4166665077209473
BHR,2003,2.4166665077209473
BHR,2004,2.4166665077209473
BHR,2005,2.4166665077209473
BHR,2006,2.4166665077209473
BHR,2007,2.4166665077209473
BHR,2008,2.4166665077209473
BHR,2009,2
BHR,2010,2.5
BHR,2011,1.3333332538604736
BHR,2012,0.8333333134651184
BHR,2013,0.8333333134651184
BHR,2014,0.4166666567325592
BHR,2015,0.4166666567325592
BHR,2016,0.4166666567325592
BHR,2017,1.2180771827697754
BHS,2000,10
BHS,2001,10
BHS,2002,10
BHS,2003,10
BHS,2004,10
BHS,2005,10
BHS,2006,10
BHS,2007,10
BHS,2008,10
BHS,2009,10
BHS,2010,10
BHS,2011,10
BHS,2012,10
BHS,2013,10
BHS,2014,10
BHS,2015,10
BHS,2016,10
BHS,2017,10
BIH,2000,4.494997501373291
BIH,2001,4.494997501373291
BIH,2002,5.314228057861328
BIH,2003,5.314228057861328
BIH,2004,6.133458137512207
BIH,2005,6.133458137512207
BIH,2006,6.952688217163086
BIH,2007,6.133458137512207
BIH,2008,6.133458137512207
BIH,2009,6.133458137512207
BIH,2010,6.133458137512207
BIH,2011,6.133458137512207
BIH,2012,6.952688217163086
BIH,2013,6.952688217163086
BIH,2014,6.133458137512207
BIH,2015,6.133458137512207
BIH,2016,5.314228057861328
BIH,2017,5.314228057861328
BLR,2000,1.5833332538604736
BLR,2001,1.5833332538604736
BLR,2002,1.5833332538604736
BLR,2003,1.5833332538604736
BLR,2004,1.1666666269302368
BLR,2005,1.1666666269302368
BLR,2006,1.1666666269302368
BLR,2007,1.1666666269302368
BLR,2008,1.1666666269302368
BLR,2009,1.1666666269302368
BLR,2010,1.1666666269302368
