"x"
"1" "SAR models: rho is the autocorrelation coef.
Uses dn_general_trade network"
"x"
"1","model_art05"
"Estimate","Std. Error","Pr(>|z|)"
"rho",0.629826629667195,0.0245707396261581,0
"(Intercept)",-0.00143164222987124,NA,NA
"factor(toa)3",0.0354689309038183,0.00706920575849834,5.23793824980245e-07
"factor(toa)4",0.00947192866574716,0.00654180188757938,0.147642723054601
"factor(toa)5",-0.00700814124108249,0.00859559998378865,0.414890717244888
"factor(toa)6",-0.0136925823986606,0.0126681940993479,0.279758055112951
"factor(toa)7",-0.0209635713646501,0.0124804832853822,0.0930140840772324
"factor(toa)8",-0.0120097924341229,0.0159377312794971,0.45112267971517
"factor(toa)9",-0.0189248011471127,0.0190839623666059,0.321363434660119
"factor(toa)10",-0.00443041477191253,0.00811599467539901,0.585143717775607
"factor(continent)Pacific",0.00119907147455135,0.00550107007212396,0.827452028344925
"factor(continent)Europe",0.00513784406258173,0.00842888820121542,0.542158742104673
"factor(continent)Africa",-0.00417079298453669,0.0077902882838327,0.59238459288869
"factor(continent)America",-0.00498556784450929,0.00877267987979324,0.569827110197622
"GDP",4.13362738642001e-07,2.29042484214082e-07,0.0711149633261337
"I(tobac_prod/population)",-0.251161282263021,0.695643578513629,0.718062963631667
"democracy",-0.000116528058855371,0.000473620246454876,0.805653665521334
"I(GDP/population)",-0.0229745287002549,0.00966394562550963,0.0174377900896505
"x"
"1","model_art05_sartobit"
"Estimate","Std. Dev","Pr(>|z|)"
"(Intercept)",-1.24706404038183,0.409078753273463,0.00233166131690909
"factor(toa)3",0.521330784071834,0.352736389066488,0.139582972929309
"factor(toa)4",0.223698542721188,0.350353361849471,0.523228664362519
"factor(toa)5",-0.4036416739029,0.431546621672122,0.349732709910773
"factor(toa)6",-1.7731388593067,0.697711393534738,0.0111205523081495
"factor(toa)7",-4.18635007199617,3.01597637455405,0.165281272937965
"factor(toa)8",-1.17170020895561,0.687035057918211,0.0882741379476049
"factor(toa)9",-4.47736207250049,2.00028317135011,0.0253121295557517
"factor(toa)10",-0.427359451946637,0.427820692741774,0.317959067688649
"factor(continent)Pacific",-0.700346118499815,0.233693875879667,0.00276297648590362
"factor(continent)Europe",0.167693124100263,0.201516685965213,0.405425471919402
"factor(continent)Africa",-0.159882725316587,0.154987264005548,0.302396604531628
"factor(continent)America",-0.0702257528221478,0.206627859113611,0.733994924883464
"GDP",1.0604335148261e-05,4.05796874466343e-06,0.00903994661681717
"I(tobac_prod/population)",14.6033849162913,23.7494622865935,0.538698442765497
"democracy",0.0593695327035363,0.0235324718835443,0.0117205166957723
"I(GDP/population)",-1.46584480128353,0.355841926653849,3.96126540058717e-05
"sige",0.784928476447159,0.194648769866496,5.73474834286714e-05
"rho",0.620101,0.0534947519621083,0
"x"
"1","model_art06"
"Estimate","Std. Error","Pr(>|z|)"
"rho",0.565551085291595,0.0237666795985957,0
"(Intercept)",-0.00169396734596584,NA,NA
"factor(toa)3",0.0167429302545704,0.00207130922311444,6.66133814775094e-16
"factor(toa)4",0.000157589107580657,0.000278903192468966,0.572052293994106
"factor(toa)5",-0.00939321924162146,0.00443479746862501,0.0341689914909387
"factor(toa)6",-0.0130871943802195,0.00557480363368385,0.0188967532758377
"factor(toa)7",-0.0175209421401023,0.00749990825417505,0.0194832065333923
"factor(toa)8",-0.0148254911880931,0.0102743981165409,0.149033228882569
