entry,year,art05exp_centroid_dist,art06exp_centroid_dist,art08exp_centroid_dist,art11exp_centroid_dist,art13exp_centroid_dist,art14exp_centroid_dist,art05exp_mindist,art06exp_mindist,art08exp_mindist,art11exp_mindist,art13exp_mindist,art14exp_mindist,art05exp_referrals,art06exp_referrals,art08exp_referrals,art11exp_referrals,art13exp_referrals,art14exp_referrals,art05exp_interest_group_comembership_twomode,art06exp_interest_group_comembership_twomode,art08exp_interest_group_comembership_twomode,art11exp_interest_group_comembership_twomode,art13exp_interest_group_comembership_twomode,art14exp_interest_group_comembership_twomode,art05exp_general_trade,art06exp_general_trade,art08exp_general_trade,art11exp_general_trade,art13exp_general_trade,art14exp_general_trade,art05exp_tobacco_trade,art06exp_tobacco_trade,art08exp_tobacco_trade,art11exp_tobacco_trade,art13exp_tobacco_trade,art14exp_tobacco_trade
AE,2012,2.0365725696608026,1.598833278202964,1.0182407990866489,3.2055837658343074,5.009553966932019,7.362334836355183,2.4431484956457084,1.0621225228315074,1.0003403523723906,1.7190002717920676,3.929859008718484,2.685937193936543,0,0,0,0,0,0,5.9999999997,5.499999999725,1.9999999999,8.499999999575,9.499999999525,26.99999999865,4.017012386789963,3.979503001219208,1.5837418145675304,6.2106557883211,9.066348671078321,17.483171966784962,4.601417950885355,4.432813134831756,2.0156991549657866,5.731935286194635,8.536131114622728,18.255663338694067
AF,2012,1.7607275032312226,1.5154072809873143,0.868655015806826,2.893590694535287,3.7794628600520523,6.802423024941047,1.0267145438985845,0.8583879207832341,0.35027238809622757,1.2237157344315515,1.9016062571797383,1.6910517140559478,0,0,0,0,0,0,0,0,0,0,0,0,1.689239521014795,1.6246993096203626,0.6663597700111521,2.7412942840709937,3.678747559751191,7.270280232109113,4.3584741020091124,4.712823538819075,1.6736174439259004,6.546093803293064,9.607992448132478,23.51125956567371
AG,2012,1.0625486001911069,0.9263192192535183,0.5089973350576527,2.002197153451467,2.1000670266590897,4.130084624960935,1.0962307040303283,0.9177474937854995,0.5339623555628566,2.0412035722511046,2.0378111951366904,4.291723142352955,0,0,0,0,0,0,0,0,0,0,0,0,0.5141268910985953,0.5234979646107542,0.20529157540534756,0.8916808337652782,1.0776443440531835,1.8000310146129432,0.15948881445272922,0.15316534002412951,0.06377059517340317,0.3407101596061472,0.3454579507142439,0.5384579560051688
AL,2012,2.1570083149725483,1.9122170563165628,1.0597485444754973,3.5156080766496856,4.421110302755718,8.594893820369746,1.7391826193333157,1.1655594597074748,0.7516337765039139,3.035393870689185,2.859165005952944,5.778372553919876,0,0,0,0,0,0,0,0,0,0,0,0,2.0356752588244085,1.9547005645351,0.9208039455947957,3.1383941295442566,4.498170991884501,8.07750627232375,1.1386488020694823,1.3657419199240033,0.5573607269887804,1.678210279605057,2.49067255371415,4.922978178013861
AM,2012,1.8502576272112543,1.6581868097221792,0.9654383329616363,3.2117316060663557,4.169218833895531,7.03562181797923,1.7491242911273086,1.4916116927897205,0.7570767649401815,3.6990416367473355,5.168333023653369,6.953736343800984,3.9999999999333333,3.499999999941666,2.99999999995,6.333333333227777,4.999999999916666,14.166666666430554,4.27272727268843,4.727272727229752,1.909090909073554,7.454545454477684,7.54545454538595,24.454545454323146,2.706811999963735,2.614954869314951,1.3257397342396704,4.156913722997313,5.595466083675141,10.347512920902036,2.3330905184297244,2.3103873247061233,2.13326157518609,4.138768935072209,3.778812133225697,7.587476626179341
AT,2012,2.398729859688361,2.298254937064088,1.1350520680985765,3.884678182499674,5.105284290424021,10.614101619526528,2.559876475375743,3.1923545314484576,1.267238090027674,4.252950096414014,6.614075515340766,12.466442467192525,4.399999999912,4.799999999904,1.9999999999599998,7.199999999855999,9.399999999812,22.399999999551998,3.9999999999333333,4.4999999999249995,1.499999999975,6.999999999883332,8.333333333194444,22.333333332961107,3.2894969465362305,3.793887241579006,1.558667349565807,5.207606973554774,7.516287222403156,14.349649241030018,3.5716807433721702,4.299368865062898,1.566860801462695,5.999825763135612,7.604423965262106,18.460458451311396
AU,2012,1.9176560326966587,1.6436353510689774,0.9663799012214784,3.246330607243193,3.7470026277786035,7.406735097767402,1.5207552494537728,1.3041167188208687,0.7736667600942866,2.574712357391932,2.8346559251189603,5.8780515651154905,5.1818181817710744,5.363636363587603,1.9999999999818185,8.54545454537686,8.818181818101653,26.45454545430496,2.5111111111083213,2.3111111111085436,1.155555555554271,4.366666666661815,5.1444444444387285,10.622222222210418,4.722268254223302,4.629825694292243,1.7956223072086457,6.848673232961316,9.565060259551341,17.60019579112412,4.192754068001913,4.21161945035769,2.044886628801749,7.237921163089645,5.2323834584241276,21.029296269124227
AZ,2012,2.17401270035422,1.7650900293138596,1.0498177270293523,3.3756215656456514,4.402848985469742,8.143982484402306,2.1837927918536577,1.3982779253726825,0.8041837871320923,3.37614205583344,4.757782570700917,8.12268737764558,4.4999999997749995,4.4999999997749995,3.9999999998,6.99999999965,7.499999999625,14.499999999275001,5.9999999994,4.9999999995,1.9999999998,7.9999999992,7.9999999992,26.9999999973,2.1681227181797427,2.1510004491262933,1.122365390564273,3.827413222486411,4.899300276141514,9.677271823244451,1.9657812450363572,2.2086845399856183,1.290961098134225,3.1268080081388634,3.8395745263612664,7.278418233445147
BA,2012,2.3023871835374545,2.13691204177761,1.1472880352699675,3.705516014186176,4.713851590626037,9.430587510265417,3.187462918197016,2.919088151705172,1.8830502649120335,4.827552798631667,4.741716573252176,10.903383012040802,2.24999999994375,1.4999999999625,0.999999999975,3.74999999990625,3.4999999999125,10.4999999997375,4.124999999948438,4.874999999939063,1.6249999999796874,7.499999999906249,7.749999999903125,24.749999999690626,2.533670448827628,2.7739949498875323,1.3603668504347148,3.798776521329334,5.081686363737231,10.508386980826584,1.4607807578292904,1.4728009529518413,0.9766787568535799,2.2228306867379812,2.4002895238205184,6.174110118634417
BB,2012,1.1310165301056165,0.960239356979176,0.5235750961756819,2.2185387660627254,2.2020283624641586,4.015194308024657,1.2537649322510995,0.980059353640615,0.5926397223760406,2.4168491351762498,2.1964576028702845,4.42167527841541,5.9999999994,0.9999999999,1.9999999998,8.9999999991,0,18.9999999981,0,0,0,0,0,0,1.4069610317490189,1.253404527687625,0.6366797364486172,2.6054964583948634,2.5660558415009733,5.107436885289108,3.8596858676122405,3.6773851108077147,1.4045854569433085,8.359250735468043,7.952018373986774,11.355964820377487
