"entry","year","no_report","sum_art05","sum_art06","sum_art08","sum_art11","sum_art13","sum_art14"
"AF","2014",0,4,0,2,0,<NA>,<NA>
"AF","2016",0,4,4,5,12,5,3
"AF","2018",0,5,3,5,11,4,13
"AL","2014",0,6,4,3,12,6,14
"AL","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AL","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"DZ","2014",0,4,4,4,7,10,11
"DZ","2016",0,5,6,4,7,9,13
"DZ","2018",0,5,6,4,8,9,15
"AO","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AO","2016",0,4,2,3,7,8,22
"AO","2018",0,4,3,3,7,8,22
"AG","2014",0,3,0,1,0,0,5
"AG","2016",0,3,0,0,0,0,5
"AG","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AM","2014",0,5,4,4,10,6,16
"AM","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AM","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AU","2014",0,5,5,6,14,11,37
"AU","2016",0,5,6,6,15,9,41
"AU","2018",0,5,6,6,15,9,41
"AT","2014",0,3,6,7,10,11,27
"AT","2016",0,4,5,7,10,11,30
"AT","2018",0,4,6,7,12,12,30
"AZ","2014",0,2,3,5,6,4,5
"AZ","2016",0,2,3,5,8,4,3
"AZ","2018",0,3,4,5,8,5,7
"BS","2014",0,2,4,3,0,4,21
"BS","2016",0,0,3,1,4,2,13
"BS","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BH","2014",0,5,3,6,15,12,32
"BH","2016",0,4,5,6,14,8,32
"BH","2018",0,6,6,6,14,10,33
"BD","2014",0,5,4,6,12,11,9
"BD","2016",0,5,4,6,12,11,9
"BD","2018",0,5,4,6,12,11,9
"BB","2014",0,2,4,3,1,0,25
"BB","2016",0,3,6,4,0,4,14
"BB","2018",0,3,6,3,6,0,14
"BY","2014",0,6,4,4,11,7,32
"BY","2016",0,6,5,4,13,7,32
"BY","2018",0,6,6,6,13,8,29
"BE","2014",0,4,3,4,12,8,24
"BE","2016",0,4,4,4,13,8,23
"BE","2018",0,4,5,4,14,8,39
"BZ","2014",0,4,1,2,3,0,10
"BZ","2016",0,3,4,2,10,0,19
"BZ","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BJ","2014",0,3,3,5,10,9,8
"BJ","2016",0,3,5,6,9,10,4
"BJ","2018",0,2,3,6,9,10,4
"BT","2014",0,6,4,5,8,7,14
"BT","2016",0,4,1,4,<NA>,2,14
"BT","2018",0,6,4,7,10,13,18
"BO","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BO","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BO","2018",0,2,3,4,12,4,1
"BA","2014",0,6,5,5,11,8,30
"BA","2016",0,4,5,5,12,4,30
"BA","2018",0,3,4,5,11,11,26
"BW","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BW","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BW","2018",0,3,4,4,11,12,26
"BR","2014",0,5,4,6,10,8,27
"BR","2016",0,6,5,6,13,7,19
"BR","2018",0,6,5,6,11,5,22
"BN","2014",0,3,4,4,10,9,21
"BN","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BN","2018",0,4,4,4,11,9,22
"BG","2014",0,7,5,5,9,10,34
"BG","2016",0,4,5,4,10,14,32
"BG","2018",0,4,5,4,10,15,35
"BF","2014",0,6,4,5,15,9,12
"BF","2016",0,6,4,6,13,13,3
"BF","2018",0,6,5,6,13,13,3
"BI","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BI","2016",0,2,3,1,0,6,2
