"entry","year","no_report","sum_art05","sum_art06","sum_art08","sum_art11","sum_art13","sum_art14"
"AF","2010",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AF","2012",0,5,0,3,0,5,1
"AF","2014",0,4,0,2,0,<NA>,<NA>
"AL","2010",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AL","2012",0,6,4,4,8,6,14
"AL","2014",0,6,4,3,10,6,14
"DZ","2010",0,5,5,2,7,6,25
"DZ","2012",0,4,4,5,7,7,12
"DZ","2014",0,4,4,4,7,10,11
"AG","2010",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AG","2012",0,3,0,1,0,0,5
"AG","2014",0,3,0,1,0,0,5
"AM","2010",0,5,4,2,6,7,16
"AM","2012",0,5,4,3,6,5,15
"AM","2014",0,5,4,4,8,6,16
"AU","2010",0,4,6,2,10,6,25
"AU","2012",0,5,6,6,11,10,37
"AU","2014",0,5,5,6,12,11,37
"AT","2010",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AT","2012",0,2,6,7,6,9,26
"AT","2014",0,3,6,7,8,11,27
"AZ","2010",0,1,3,1,4,4,3
"AZ","2012",0,1,3,3,5,4,2
"AZ","2014",0,2,3,5,5,4,5
"BS","2010",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BS","2012",0,1,1,4,0,0,16
"BS","2014",0,2,4,3,0,4,21
"BH","2010",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BH","2012",0,3,4,5,3,7,28
"BH","2014",0,5,3,6,13,12,32
"BD","2010",0,5,3,2,6,4,4
"BD","2012",0,4,5,5,7,11,9
"BD","2014",0,5,4,6,11,11,9
"BB","2010",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BB","2012",0,2,1,3,1,0,23
"BB","2014",0,2,4,3,1,0,25
"BY","2010",0,6,4,1,7,5,29
"BY","2012",0,6,4,5,7,7,32
"BY","2014",0,6,4,4,9,7,32
"BE","2010",0,4,2,2,8,7,19
"BE","2012",0,4,2,4,8,7,22
"BE","2014",0,4,3,4,10,8,24
