entry,year,tobacco_prod
AL,2016,1980
AL,2015,2200
AL,2014,3e3
AL,2013,2900
AL,2012,2e3
AL,2011,1900
AL,2010,1700
AL,2009,1600
AL,2008,1300
AL,2007,900
AL,2006,2e3
AL,2005,1900
AL,2004,2100
AL,2003,1416
AL,2002,2600
AL,2001,3600
AL,2000,6200
AL,1999,7300
AL,1998,7399
AL,1997,7854
AL,1996,6339
AL,1995,5741
AL,1994,3855
AL,1993,13488
AL,1992,12495
AL,1991,7e3
AL,1990,14100
AL,1989,19e3
AL,1988,14e3
AL,1987,25e3
AL,1986,24e3
AL,1985,2e4
AL,1984,19e3
AL,1983,17500
AL,1982,17500
AL,1981,17700
AL,1980,18e3
AL,1979,19e3
AL,1978,14e3
AL,1977,13e3
AL,1976,13e3
AL,1975,14e3
AL,1974,13800
AL,1973,15e3
AL,1972,14e3
AL,1971,12669
AL,1970,12160
AL,1969,10474
AL,1968,1e4
AL,1967,13e3
AL,1966,13662
AL,1965,13175
AL,1964,13544
AL,1963,15981
AL,1962,10351
AL,1961,3152
DZ,2016,9840
DZ,2015,8800
DZ,2014,8707
DZ,2013,7918
DZ,2012,7630
DZ,2011,8281
DZ,2010,7604
DZ,2009,7668
DZ,2008,6374
DZ,2007,6043
DZ,2006,6889
DZ,2005,6500
DZ,2004,7600
DZ,2003,5674
DZ,2002,5847
DZ,2001,7776
DZ,2000,7153
DZ,1999,5597
DZ,1998,6650
DZ,1997,8153
DZ,1996,4045
DZ,1995,2790
DZ,1994,3720
DZ,1993,6877
DZ,1992,6181
DZ,1991,3358
DZ,1990,3578
DZ,1989,3527
DZ,1988,3507
DZ,1987,4620
DZ,1986,3947
DZ,1985,4034
DZ,1984,6339
DZ,1983,3300
DZ,1982,4470
DZ,1981,4798
DZ,1980,3282
DZ,1979,2826
DZ,1978,3254
DZ,1977,2441
DZ,1976,1933
DZ,1975,3358
DZ,1974,2343
DZ,1973,2564
DZ,1972,3366
DZ,1971,4307
DZ,1970,3862
DZ,1969,5880
DZ,1968,6135
DZ,1967,6094
DZ,1966,4743
DZ,1965,3354
DZ,1964,9e3
DZ,1963,7300
DZ,1962,5500
DZ,1961,3e3
AO,2016,2900
AO,2015,2934
AO,2014,2969
AO,2013,3003
AO,2012,3037
AO,2011,3071
AO,2010,3105
AO,2009,3140
AO,2008,3174
AO,2007,3208
AO,2006,3242
AO,2005,3276
AO,2004,3290
AO,2003,3285
AO,2002,3300
AO,2001,3300
AO,2000,3300
AO,1999,3300
AO,1998,3300
AO,1997,3900
AO,1996,3900
AO,1995,3900
AO,1994,3752
AO,1993,4e3
AO,1992,3e3
AO,1991,4e3
AO,1990,4e3
AO,1989,4e3
AO,1988,5e3
AO,1987,4e3
AO,1986,3e3
