Art. 5
General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
rho,0.14 (0.12) ,0.03 (0.09) ,0.03 (0.08) ,0.15 (0.21) ,0.09 (0.07) ,-0.01 (0.12) ,0.03 (0.08) ,-0.22 (0.16) ,-0.38 (0.14) ***,0.02 (0.08) 
Gov. Ownership,1.36 (0.64) **,1.32 (0.65) **,1.36 (0.65) **,1.35 (0.66) **,1.24 (0.64) *,1.35 (0.66) **,1.33 (0.66) **,1.43 (0.68) **,1.40 (0.70) **,1.33 (0.66) **
Tobacco Prod. PP,-0.06 (0.21) ,-0.08 (0.21) ,-0.07 (0.21) ,-0.09 (0.22) ,-0.08 (0.22) ,-0.07 (0.21) ,-0.07 (0.21) ,-0.10 (0.23) ,-0.09 (0.24) ,-0.06 (0.21) 
Years since Sign.,0.43 (0.19) **,0.43 (0.19) **,0.43 (0.19) **,0.45 (0.20) **,0.41 (0.19) **,0.43 (0.19) **,0.44 (0.19) **,0.47 (0.20) **,0.51 (0.21) **,0.43 (0.19) **
Years since Ratif.,0.73 (0.13) ***,0.72 (0.14) ***,0.72 (0.14) ***,0.73 (0.14) ***,0.71 (0.13) ***,0.72 (0.14) ***,0.71 (0.13) ***,0.76 (0.15) ***,0.87 (0.16) ***,0.71 (0.14) ***
GDP pp,0.20 (0.23) ,0.24 (0.22) ,0.24 (0.22) ,0.23 (0.23) ,0.24 (0.22) ,0.26 (0.22) ,0.24 (0.23) ,0.17 (0.24) ,0.17 (0.24) ,0.26 (0.22) 
Democracy,0.42 (0.26) ,0.41 (0.26) ,0.43 (0.26) ,0.46 (0.27) *,0.42 (0.26) ,0.41 (0.26) ,0.41 (0.26) ,0.37 (0.27) ,0.24 (0.28) ,0.43 (0.27) 
Bloomberg Amount,0.33 (0.30) ,0.35 (0.30) ,0.36 (0.30) ,0.37 (0.31) ,0.38 (0.31) ,0.36 (0.30) ,0.35 (0.30) ,0.34 (0.31) ,0.29 (0.33) ,0.36 (0.30) 
Art. 6
rho,0.15 (0.11) ,0.06 (0.09) ,0.05 (0.09) ,0.21 (0.23) ,0.00 (0.08) ,0.07 (0.11) ,0.13 (0.07) *,-0.18 (0.15) ,-0.15 (0.14) ,0.08 (0.08) 
Gov. Ownership,1.28 (0.60) **,1.24 (0.60) **,1.25 (0.62) **,1.24 (0.63) **,1.28 (0.60) **,1.25 (0.61) **,1.05 (0.61) *,1.33 (0.63) **,1.28 (0.61) **,1.18 (0.62) *
Tobacco Prod. PP,-0.15 (0.21) ,-0.18 (0.21) ,-0.17 (0.21) ,-0.19 (0.22) ,-0.16 (0.21) ,-0.18 (0.22) ,-0.18 (0.22) ,-0.19 (0.22) ,-0.18 (0.22) ,-0.16 (0.21) 
Years since Sign.,0.46 (0.19) **,0.48 (0.18) ***,0.48 (0.18) ***,0.50 (0.20) **,0.49 (0.18) ***,0.48 (0.18) ***,0.44 (0.18) **,0.52 (0.19) ***,0.51 (0.19) ***,0.47 (0.18) **
Years since Ratif.,0.66 (0.13) ***,0.65 (0.13) ***,0.66 (0.13) ***,0.67 (0.13) ***,0.65 (0.13) ***,0.65 (0.13) ***,0.64 (0.13) ***,0.69 (0.13) ***,0.70 (0.14) ***,0.63 (0.13) ***
GDP pp,0.45 (0.21) **,0.48 (0.21) **,0.49 (0.21) **,0.47 (0.22) **,0.51 (0.21) **,0.50 (0.21) **,0.46 (0.21) **,0.43 (0.22) **,0.47 (0.21) **,0.53 (0.21) **
Democracy,0.42 (0.25) *,0.42 (0.24) *,0.41 (0.25) *,0.45 (0.25) *,0.42 (0.24) *,0.40 (0.25) ,0.42 (0.24) *,0.39 (0.25) ,0.35 (0.26) ,0.46 (0.25) *
Bloomberg Amount,0.17 (0.27) ,0.16 (0.28) ,0.17 (0.28) ,0.19 (0.29) ,0.17 (0.28) ,0.16 (0.28) ,0.16 (0.27) ,0.15 (0.29) ,0.15 (0.28) ,0.17 (0.28) 
Art. 8
rho,0.02 (0.12) ,0.11 (0.08) ,0.03 (0.08) ,0.15 (0.17) ,0.08 (0.07) ,0.02 (0.09) ,0.09 (0.07) ,-0.01 (0.16) ,-0.00 (0.13) ,0.12 (0.08) 
Gov. Ownership,0.82 (0.50) ,0.75 (0.48) ,0.79 (0.50) ,0.82 (0.49) *,0.76 (0.48) ,0.83 (0.49) *,0.65 (0.50) ,0.82 (0.50) ,0.84 (0.49) *,0.74 (0.50) 
Tobacco Prod. PP,-0.23 (0.18) ,-0.25 (0.18) ,-0.23 (0.17) ,-0.24 (0.18) ,-0.23 (0.17) ,-0.23 (0.17) ,-0.22 (0.18) ,-0.25 (0.19) ,-0.24 (0.18) ,-0.24 (0.18) 
Years since Sign.,0.29 (0.15) **,0.28 (0.14) **,0.29 (0.14) **,0.30 (0.15) **,0.27 (0.14) *,0.30 (0.15) **,0.28 (0.15) *,0.31 (0.15) **,0.31 (0.15) **,0.28 (0.14) *
Years since Ratif.,0.51 (0.10) ***,0.50 (0.10) ***,0.51 (0.10) ***,0.51 (0.11) ***,0.51 (0.10) ***,0.51 (0.10) ***,0.49 (0.10) ***,0.51 (0.11) ***,0.51 (0.11) ***,0.49 (0.10) ***
GDP pp,0.08 (0.17) ,0.07 (0.17) ,0.08 (0.17) ,0.07 (0.17) ,0.08 (0.17) ,0.08 (0.17) ,0.07 (0.17) ,0.08 (0.18) ,0.08 (0.17) ,0.10 (0.17) 
Democracy,0.42 (0.20) **,0.43 (0.20) **,0.43 (0.20) **,0.46 (0.20) **,0.44 (0.20) **,0.43 (0.20) **,0.44 (0.20) **,0.43 (0.20) **,0.43 (0.21) **,0.47 (0.20) **
Bloomberg Amount,0.26 (0.23) ,0.25 (0.22) ,0.26 (0.23) ,0.27 (0.23) ,0.28 (0.23) ,0.25 (0.23) ,0.26 (0.23) ,0.26 (0.23) ,0.25 (0.24) ,0.26 (0.23) 
Art. 11
rho,0.26 (0.13) **,0.12 (0.10) ,0.14 (0.09) ,0.35 (0.22) ,0.14 (0.08) *,0.16 (0.12) ,0.21 (0.09) **,0.01 (0.19) ,0.15 (0.19) ,0.20 (0.10) *
Gov. Ownership,2.79 (1.28) **,2.61 (1.26) **,2.62 (1.23) **,2.76 (1.31) **,2.56 (1.29) **,2.65 (1.26) **,2.13 (1.28) *,2.84 (1.31) **,2.86 (1.28) **,2.45 (1.26) *
Tobacco Prod. PP,-0.17 (0.42) ,-0.23 (0.42) ,-0.22 (0.42) ,-0.28 (0.45) ,-0.24 (0.42) ,-0.22 (0.43) ,-0.23 (0.44) ,-0.25 (0.44) ,-0.25 (0.44) ,-0.20 (0.43) 
Years since Sign.,0.53 (0.40) ,0.55 (0.40) ,0.56 (0.40) ,0.67 (0.43) ,0.59 (0.41) ,0.60 (0.40) ,0.52 (0.39) ,0.65 (0.41) ,0.65 (0.42) ,0.51 (0.40) 
Years since Ratif.,2.05 (0.30) ***,1.99 (0.30) ***,1.98 (0.30) ***,2.09 (0.32) ***,1.98 (0.29) ***,1.95 (0.30) ***,1.95 (0.30) ***,2.04 (0.32) ***,2.00 (0.31) ***,1.91 (0.30) ***
GDP pp,0.47 (0.45) ,0.54 (0.44) ,0.53 (0.44) ,0.50 (0.45) ,0.53 (0.42) ,0.58 (0.44) ,0.51 (0.43) ,0.61 (0.46) ,0.67 (0.44) ,0.69 (0.44) 
Democracy,0.32 (0.52) ,0.34 (0.52) ,0.37 (0.51) ,0.43 (0.54) ,0.34 (0.52) ,0.24 (0.51) ,0.35 (0.52) ,0.32 (0.54) ,0.44 (0.53) ,0.47 (0.51) 
Bloomberg Amount,0.74 (0.59) ,0.69 (0.59) ,0.78 (0.58) ,0.83 (0.61) ,0.80 (0.59) ,0.69 (0.58) ,0.74 (0.56) ,0.75 (0.60) ,0.83 (0.59) ,0.74 (0.58) 
Art. 13
