"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.08 ","0.23 *","0.49 ","0.36 **","0.12 "
"","(0.13)","(0.13)","(0.31)","(0.18)","(0.16)"
"Gov. Ownership","0.46 ","0.68 ","0.68 ","1.37 ","1.16 "
"","(0.63)","(0.61)","(0.61)","(1.30)","(1.55)"
"Tobacco Prod. PP","-0.12 ","-0.18 ","-0.37 *","-0.20 ","-0.20 "
"","(0.20)","(0.21)","(0.21)","(0.43)","(0.52)"
"Years since Sign.","0.48 ***","0.47 ***","0.32 **","0.62 *","0.87 **"
"","(0.16)","(0.16)","(0.16)","(0.37)","(0.44)"
"Years since Ratif.","0.29 **","0.27 **","0.29 **","1.18 ***","0.97 ***"
"","(0.12)","(0.12)","(0.12)","(0.27)","(0.32)"
"GDP pp","-0.02 ","0.39 *","-0.07 ","0.12 ","0.30 "
"","(0.23)","(0.22)","(0.22)","(0.48)","(0.57)"
"Democracy","0.09 ","0.05 ","0.23 ","-0.66 ","-0.13 "
"","(0.25)","(0.24)","(0.24)","(0.53)","(0.63)"
"% Female Smoke","-0.20 ","0.12 ","0.11 ","-0.01 ","0.48 "
"","(0.24)","(0.23)","(0.24)","(0.51)","(0.60)"
"% Male Smoke","0.28 ","0.24 ","0.13 ","0.26 ","0.13 "
"","(0.26)","(0.25)","(0.25)","(0.56)","(0.66)"
"Labor","0.03 ","0.15 ","0.16 ","-0.29 ","-0.60 "
"","(0.29)","(0.28)","(0.28)","(0.60)","(0.71)"
"Women's rights","0.43 ","1.13 *","0.79 ","0.29 ","3.19 **"
"","(0.65)","(0.63)","(0.63)","(1.34)","(1.60)"
"Population","0.23 ","0.37 **","0.10 ","0.35 ","0.51 "
"","(0.18)","(0.17)","(0.17)","(0.37)","(0.44)"
"Eastern Mediterranean","1.23 ","0.10 ","2.00 *","-1.49 ","3.41 "
"","(1.07)","(1.03)","(1.04)","(2.24)","(2.66)"
"European","0.75 ","0.50 ","0.40 ","1.08 ","2.89 *"
"","(0.67)","(0.64)","(0.64)","(1.39)","(1.66)"
"African","-0.10 ","-0.69 ","-0.59 ","-2.73 **","0.21 "
"","(0.61)","(0.58)","(0.59)","(1.29)","(1.56)"
"Western Pacific","0.22 ","-0.45 ","0.00 ","-2.06 ","2.47 "
"","(0.76)","(0.73)","(0.74)","(1.60)","(1.89)"
"South-East Asia","-0.91 ","-0.96 ","-1.04 ","-4.51 **","-1.20 "
"","(0.93)","(0.90)","(0.89)","(1.92)","(2.31)"
"(Intercept)","-3.00 ","-5.35 ***","-3.38 *","-3.89 ","-8.53 *"
"","(1.84)","(1.83)","(1.78)","(3.90)","(4.65)"
"N","176","176","176","176","176"
"Pseudo R2","0.06","0.11","0.08","0.07","0.06"
"Tobacco Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.09 ","0.27 **","0.68 ***","0.30 **","0.10 "
"","(0.11)","(0.11)","(0.21)","(0.14)","(0.13)"
"Gov. Ownership","0.44 ","0.51 ","0.62 ","1.20 ","1.13 "
"","(0.63)","(0.60)","(0.60)","(1.31)","(1.55)"
"Tobacco Prod. PP","-0.15 ","-0.26 ","-0.43 **","-0.36 ","-0.26 "
"","(0.21)","(0.21)","(0.21)","(0.44)","(0.53)"
"Years since Sign.","0.48 ***","0.48 ***","0.36 **","0.63 *","0.90 **"
"","(0.16)","(0.16)","(0.16)","(0.37)","(0.44)"
"Years since Ratif.","0.28 **","0.23 **","0.28 **","1.15 ***","0.96 ***"
"","(0.12)","(0.12)","(0.12)","(0.27)","(0.32)"
"GDP pp","-0.02 ","0.39 *","-0.11 ","0.15 ","0.31 "
"","(0.23)","(0.22)","(0.22)","(0.47)","(0.56)"
"Democracy","0.08 ","0.03 ","0.25 ","-0.65 ","-0.14 "
"","(0.25)","(0.24)","(0.24)","(0.53)","(0.63)"
"% Female Smoke","-0.17 ","0.19 ","0.18 ","0.18 ","0.56 "
"","(0.24)","(0.23)","(0.23)","(0.51)","(0.60)"
"% Male Smoke","0.27 ","0.23 ","0.11 ","0.27 ","0.08 "
"","(0.26)","(0.25)","(0.25)","(0.56)","(0.66)"
"Labor","0.02 ","0.10 ","0.15 ","-0.41 ","-0.65 "
"","(0.28)","(0.27)","(0.27)","(0.60)","(0.71)"
"Women's rights","0.39 ","0.88 ","0.56 ","-0.07 ","3.03 *"
"","(0.65)","(0.62)","(0.62)","(1.34)","(1.60)"
"Population","0.22 ","0.34 **","0.05 ","0.29 ","0.49 "
"","(0.18)","(0.17)","(0.17)","(0.37)","(0.44)"
"Eastern Mediterranean","1.25 ","0.07 ","2.02 **","-1.55 ","3.46 "
"","(1.07)","(1.02)","(1.02)","(2.24)","(2.66)"
"European","0.64 ","0.27 ","0.12 ","0.43 ","2.71 "
"","(0.66)","(0.63)","(0.63)","(1.38)","(1.67)"
"African","-0.14 ","-0.74 ","-0.59 ","-2.74 **","0.18 "
"","(0.60)","(0.58)","(0.57)","(1.30)","(1.56)"
"Western Pacific","0.25 ","-0.33 ","0.01 ","-1.83 ","2.64 "
"","(0.76)","(0.73)","(0.72)","(1.60)","(1.91)"
"South-East Asia","-0.86 ","-0.69 ","-0.87 ","-4.13 **","-0.94 "
"","(0.93)","(0.88)","(0.88)","(1.91)","(2.30)"
"(Intercept)","-2.79 ","-4.49 **","-3.11 *","-2.13 ","-7.69 *"
"","(1.82)","(1.77)","(1.73)","(3.82)","(4.59)"
"N","176","176","176","176","176"
