Art. 5
General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
rho,0.02 (0.17) ,0.03 (0.12) ,0.14 (0.16) ,0.54 (0.92) ,0.15 (0.12) ,0.12 (0.12) ,0.07 (0.09) ,-0.05 (0.19) ,-0.11 (0.17) ,0.18 (0.09) *
Gov. Ownership,0.45 (0.65) ,0.44 (0.65) ,0.41 (0.65) ,0.35 (0.67) ,0.34 (0.65) ,0.43 (0.65) ,0.36 (0.66) ,0.45 (0.65) ,0.42 (0.65) ,0.31 (0.65) 
Tobacco Prod. PP,-0.17 (0.21) ,-0.17 (0.21) ,-0.18 (0.21) ,-0.18 (0.21) ,-0.19 (0.21) ,-0.18 (0.21) ,-0.16 (0.21) ,-0.17 (0.21) ,-0.17 (0.21) ,-0.17 (0.21) 
Years since Sign.,0.44 (0.17) ***,0.44 (0.17) ***,0.42 (0.17) **,0.43 (0.17) **,0.41 (0.17) **,0.44 (0.17) ***,0.43 (0.17) ***,0.45 (0.17) ***,0.45 (0.17) ***,0.41 (0.16) **
Years since Ratif.,0.33 (0.14) **,0.32 (0.14) **,0.34 (0.14) **,0.33 (0.14) **,0.34 (0.14) **,0.32 (0.14) **,0.32 (0.14) **,0.33 (0.14) **,0.34 (0.14) **,0.28 (0.14) **
GDP pp,-0.09 (0.24) ,-0.09 (0.24) ,-0.11 (0.24) ,-0.13 (0.24) ,-0.10 (0.24) ,-0.11 (0.24) ,-0.10 (0.24) ,-0.11 (0.25) ,-0.13 (0.24) ,-0.05 (0.23) 
Democracy,0.14 (0.28) ,0.14 (0.28) ,0.14 (0.27) ,0.15 (0.27) ,0.16 (0.27) ,0.09 (0.28) ,0.15 (0.27) ,0.13 (0.28) ,0.09 (0.29) ,0.23 (0.28) 
% Female Smoke,-0.13 (0.27) ,-0.12 (0.27) ,-0.14 (0.27) ,-0.15 (0.27) ,-0.14 (0.26) ,-0.13 (0.26) ,-0.12 (0.27) ,-0.12 (0.27) ,-0.13 (0.26) ,-0.10 (0.26) 
% Male Smoke,0.26 (0.28) ,0.26 (0.28) ,0.27 (0.28) ,0.26 (0.28) ,0.26 (0.28) ,0.29 (0.28) ,0.27 (0.28) ,0.26 (0.28) ,0.25 (0.28) ,0.26 (0.28) 
Labor,0.08 (0.29) ,0.07 (0.29) ,0.06 (0.29) ,0.08 (0.29) ,0.04 (0.29) ,0.08 (0.29) ,0.07 (0.29) ,0.07 (0.29) ,0.06 (0.29) ,0.14 (0.29) 
Women's rights,0.39 (0.72) ,0.38 (0.72) ,0.37 (0.71) ,0.39 (0.72) ,0.34 (0.71) ,0.33 (0.72) ,0.34 (0.72) ,0.36 (0.72) ,0.40 (0.72) ,0.41 (0.71) 
Population,0.22 (0.18) ,0.22 (0.18) ,0.24 (0.18) ,0.23 (0.18) ,0.22 (0.18) ,0.21 (0.18) ,0.21 (0.18) ,0.21 (0.18) ,0.20 (0.18) ,0.25 (0.17) 
Eastern Mediterranean,1.34 (1.10) ,1.35 (1.10) ,1.34 (1.09) ,1.15 (1.15) ,1.35 (1.09) ,1.22 (1.10) ,1.21 (1.11) ,1.33 (1.10) ,1.34 (1.09) ,1.65 (1.10) 
European,0.66 (0.69) ,0.64 (0.69) ,0.59 (0.69) ,0.30 (0.91) ,0.61 (0.68) ,0.62 (0.68) ,0.54 (0.70) ,0.68 (0.69) ,0.77 (0.70) ,0.62 (0.68) 
African,0.16 (0.64) ,0.16 (0.63) ,0.26 (0.64) ,0.11 (0.64) ,0.30 (0.64) ,0.19 (0.63) ,0.14 (0.64) ,0.16 (0.63) ,0.24 (0.64) ,0.32 (0.63) 
Western Pacific,0.60 (0.87) ,0.61 (0.85) ,0.52 (0.86) ,0.33 (0.98) ,0.72 (0.85) ,0.57 (0.85) ,0.52 (0.86) ,0.61 (0.85) ,0.72 (0.86) ,0.74 (0.84) 
(Intercept),-3.16 (1.90) *,-3.11 (1.86) *,-3.17 (1.86) *,-3.73 (2.13) *,-2.94 (1.85) ,-3.07 (1.85) *,-3.03 (1.86) ,-2.88 (2.04) ,-2.70 (1.95) ,-3.96 (1.90) **
PolShift,0.35 (0.47) ,0.34 (0.46) ,0.36 (0.46) ,0.36 (0.47) ,0.36 (0.46) ,0.35 (0.46) ,0.31 (0.47) ,0.35 (0.46) ,0.36 (0.46) ,0.26 (0.46) 
N,154,154,154,154,154,154,154,154,154,154
pseudo-R^2,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Art. 6
rho,0.12 (0.17) ,0.14 (0.11) ,0.15 (0.17) ,0.31 (0.82) ,0.06 (0.12) ,0.15 (0.11) ,0.19 (0.09) **,-0.18 (0.18) ,0.07 (0.18) ,0.18 (0.09) **
Gov. Ownership,0.36 (0.61) ,0.29 (0.61) ,0.33 (0.61) ,0.29 (0.63) ,0.34 (0.61) ,0.36 (0.61) ,0.07 (0.62) ,0.37 (0.61) ,0.36 (0.61) ,0.18 (0.61) 
Tobacco Prod. PP,-0.33 (0.22) ,-0.36 (0.22) ,-0.35 (0.22) ,-0.36 (0.23) ,-0.35 (0.23) ,-0.37 (0.23) ,-0.35 (0.23) ,-0.35 (0.22) ,-0.35 (0.22) ,-0.35 (0.23) 
