"Article 6","Centroid Distance","Minimal distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.70 ","0.20 ","0.22 *","0.27 **","0.22 ***","0.23 ***"
"","(0.78)","(0.17)","(0.13)","(0.11)","(0.08)","(0.08)"
"Eastern Mediterranean","-0.14 ","0.01 ","0.18 ","0.16 ","-0.22 ","0.28 "
"","(1.05)","(1.03)","(1.03)","(1.01)","(1.01)","(1.02)"
"European","-0.08 ","0.15 ","0.48 ","0.26 ","-0.02 ","0.19 "
"","(0.82)","(0.66)","(0.63)","(0.62)","(0.64)","(0.63)"
"African","-0.67 ","-0.55 ","-0.57 ","-0.62 ","-0.71 ","-0.44 "
"","(0.59)","(0.58)","(0.58)","(0.57)","(0.57)","(0.57)"
"Western Pacific","-0.75 ","-0.66 ","-0.49 ","-0.37 ","-0.80 ","-0.36 "
"","(0.80)","(0.75)","(0.73)","(0.72)","(0.73)","(0.72)"
"South-East Asia","-1.21 ","-1.28 ","-0.98 ","-0.71 ","-1.18 ","-0.51 "
"","(1.01)","(0.99)","(0.89)","(0.87)","(0.88)","(0.88)"
"Democracy","0.10 ","0.08 ","0.09 ","0.06 ","0.10 ","0.21 "
"","(0.24)","(0.24)","(0.24)","(0.24)","(0.23)","(0.24)"
"GDP pp","0.40 *","0.40 *","0.39 *","0.38 *","0.40 *","0.51 **"
"","(0.22)","(0.22)","(0.22)","(0.21)","(0.21)","(0.21)"
"Years since Sign.","0.47 ***","0.47 ***","0.45 ***","0.46 ***","0.40 **","0.44 ***"
"","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)"
"Years since Ratif.","0.29 **","0.30 **","0.29 **","0.26 **","0.27 **","0.22 *"
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"Tobacco Prod. PP","-0.21 ","-0.20 ","-0.18 ","-0.25 ","-0.22 ","-0.21 "
"","(0.21)","(0.21)","(0.21)","(0.21)","(0.21)","(0.22)"
"% Female Smoke","0.11 ","0.13 ","0.09 ","0.16 ","0.15 ","0.13 "
"","(0.24)","(0.23)","(0.23)","(0.23)","(0.23)","(0.23)"
"% Male Smoke","0.26 ","0.27 ","0.25 ","0.25 ","0.27 ","0.29 "
"","(0.25)","(0.25)","(0.25)","(0.25)","(0.25)","(0.25)"
"Labor","0.12 ","0.11 ","0.17 ","0.12 ","0.10 ","0.20 "
"","(0.28)","(0.28)","(0.28)","(0.27)","(0.27)","(0.27)"
"Women's rights","1.04 *","1.00 ","1.12 *","0.87 ","0.88 ","1.01 "
"","(0.62)","(0.62)","(0.62)","(0.62)","(0.61)","(0.61)"
"Population","0.39 **","0.41 **","0.37 **","0.34 **","0.35 **","0.40 **"
"","(0.17)","(0.17)","(0.17)","(0.17)","(0.17)","(0.17)"
"Gov. Ownership","0.53 ","0.62 ","0.67 ","0.50 ","0.29 ","0.42 "
"","(0.62)","(0.61)","(0.60)","(0.60)","(0.61)","(0.61)"
"N","176","176","176","176","176","176"
"Pseudo R2","0.11","0.11","0.11","0.11","0.11","0.11"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This is the baseline specification. "
