"Article 11","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.78 ***","0.14 ","0.06 ","0.08 ","0.12 **"
"","(0.37)","(0.15)","(0.09)","(0.05)","(0.06)"
"Americas","2.30 *","1.09 ","1.14 ","1.03 ","0.76 "
"","(1.29)","(1.30)","(1.30)","(1.30)","(1.30)"
"African","0.34 ","-0.59 ","-0.57 ","-0.65 ","-0.85 "
"","(1.24)","(1.26)","(1.26)","(1.25)","(1.25)"
"European","0.67 ","1.31 ","1.36 ","1.09 ","0.75 "
"","(1.29)","(1.32)","(1.32)","(1.32)","(1.33)"
"South-East Asia","0.40 ","0.89 ","1.04 ","0.76 ","0.77 "
"","(1.25)","(1.28)","(1.28)","(1.28)","(1.27)"
"Western Pacific","0.75 ","0.97 ","1.06 ","0.95 ","0.80 "
"","(1.21)","(1.25)","(1.24)","(1.24)","(1.24)"
"Democracy (POLITY)","-0.13 ","-0.16 ","-0.16 ","-0.15 ","-0.13 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"GDP per capita (ppp)","0.12 ","0.26 ","0.29 ","0.26 ","0.25 "
"","(0.74)","(0.77)","(0.77)","(0.76)","(0.76)"
"Tobacco Prod. per capita","-0.28 ***","-0.34 ***","-0.34 ***","-0.31 ***","-0.31 ***"
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"% Female Smoke","-0.72 ","-0.19 ","0.03 ","-0.11 ","-0.10 "
"","(3.71)","(3.69)","(3.66)","(3.68)","(3.68)"
"% Male Smoke","-2.71 ","-3.05 ","-3.20 ","-2.84 ","-2.66 "
"","(2.22)","(2.25)","(2.25)","(2.24)","(2.23)"
"Women's Labor","-0.02 ","-0.02 ","-0.02 ","-0.02 ","-0.01 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Women's rights","0.01 ","0.01 ","0.01 ","0.01 ","0.01 "
"","(0.02)","(0.02)","(0.02)","(0.02)","(0.02)"
"Government Ownership","1.47 **","1.82 **","1.84 **","1.58 **","1.60 **"
"","(0.72)","(0.73)","(0.73)","(0.74)","(0.73)"
"Control of Corruption","-2.20 ***","-2.08 ***","-2.12 ***","-1.88 ***","-1.74 **"
"","(0.69)","(0.71)","(0.71)","(0.72)","(0.72)"
"Rule of Law","1.63 *","1.51 *","1.53 *","1.26 ","1.12 "
"","(0.83)","(0.86)","(0.85)","(0.87)","(0.87)"
"Health Exp. per capita (ppp)","0.64 ","0.68 ","0.65 ","0.68 ","0.71 "
"","(0.58)","(0.61)","(0.61)","(0.59)","(0.60)"
"Years since Sign.","-0.01 ","0.02 ","0.02 ","-0.01 ","-0.02 "
"","(0.18)","(0.18)","(0.18)","(0.18)","(0.18)"
"Years since Ratif.","0.55 ***","0.56 ***","0.56 ***","0.54 ***","0.50 ***"
"","(0.13)","(0.13)","(0.14)","(0.14)","(0.14)"
"Year 2014","-0.73 ","4.17 ***","3.73 ***","3.32 ***","3.34 ***"
"","(0.98)","(0.98)","(0.71)","(0.50)","(0.50)"
"Year 2016","-3.74 **","3.80 ***","4.12 ***","4.12 ***","4.08 ***"
"","(1.74)","(0.81)","(0.62)","(0.53)","(0.52)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This is the baseline specification. "
