"Centroid Distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.53 ","0.70 ","2.47 *","1.90 **","0.38 "
"","(0.79)","(0.78)","(1.46)","(0.92)","(0.82)"
"Eastern Mediterranean","1.19 ","-0.14 ","1.51 ","-2.20 ","4.39 "
"","(1.07)","(1.05)","(1.03)","(2.20)","(2.86)"
"European","0.31 ","-0.08 ","-0.54 ","-0.89 ","2.34 "
"","(0.83)","(0.82)","(0.78)","(1.52)","(2.10)"
"African","-0.02 ","-0.67 ","-0.71 ","-2.48 **","0.48 "
"","(0.59)","(0.59)","(0.57)","(1.26)","(1.58)"
"Western Pacific","-0.15 ","-0.75 ","-0.76 ","-3.34 **","1.12 "
"","(0.86)","(0.80)","(0.80)","(1.64)","(2.01)"
"South-East Asia","-1.37 ","-1.21 ","-1.78 *","-5.82 ***","-1.94 "
"","(1.05)","(1.01)","(0.96)","(2.00)","(2.51)"
"Democracy","0.09 ","0.10 ","0.26 ","-0.51 ","0.08 "
"","(0.24)","(0.24)","(0.23)","(0.51)","(0.62)"
"GDP pp","-0.08 ","0.40 *","-0.10 ","-0.03 ","0.09 "
"","(0.22)","(0.22)","(0.21)","(0.47)","(0.56)"
"Years since Sign.","0.47 ***","0.47 ***","0.33 **","0.61 *","0.96 **"
"","(0.16)","(0.16)","(0.15)","(0.36)","(0.43)"
"Years since Ratif.","0.36 ***","0.29 **","0.31 ***","1.28 ***","1.18 ***"
"","(0.12)","(0.12)","(0.11)","(0.27)","(0.31)"
"Tobacco Prod. PP","-0.13 ","-0.21 ","-0.39 *","-0.27 ","-0.29 "
"","(0.20)","(0.21)","(0.21)","(0.43)","(0.52)"
"% Female Smoke","-0.21 ","0.11 ","0.10 ","-0.05 ","0.24 "
"","(0.24)","(0.24)","(0.23)","(0.49)","(0.59)"
"% Male Smoke","0.30 ","0.26 ","0.14 ","0.34 ","0.23 "
"","(0.25)","(0.25)","(0.24)","(0.54)","(0.64)"
"Labor","-0.03 ","0.12 ","0.13 ","-0.48 ","-0.46 "
"","(0.27)","(0.28)","(0.27)","(0.58)","(0.69)"
"Women's rights","0.69 ","1.04 *","0.94 ","0.43 ","2.12 "
"","(0.62)","(0.62)","(0.60)","(1.30)","(1.56)"
"Population","0.21 ","0.39 **","0.12 ","0.40 ","0.56 "
"","(0.17)","(0.17)","(0.17)","(0.36)","(0.43)"
"Gov. Ownership","0.60 ","0.53 ","0.63 ","1.06 ","2.47 "
"","(0.62)","(0.62)","(0.60)","(1.30)","(1.53)"
"N","176","176","176","176","176"
"Pseudo R2","0.07","0.11","0.08","0.08","0.08"
"Minimal distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.14 ","0.20 ","0.17 ","0.37 *","0.15 "
"","(0.15)","(0.17)","(0.25)","(0.19)","(0.21)"
"Eastern Mediterranean","1.40 ","0.01 ","2.02 **","-1.21 ","4.64 *"
"","(1.02)","(1.03)","(1.01)","(2.18)","(2.63)"
"European","0.60 ","0.15 ","0.27 ","0.41 ","2.57 "
"","(0.63)","(0.66)","(0.62)","(1.35)","(1.71)"
"African","0.14 ","-0.55 ","-0.46 ","-1.88 ","0.68 "
"","(0.58)","(0.58)","(0.58)","(1.28)","(1.52)"
"Western Pacific","0.06 ","-0.66 ","-0.13 ","-2.48 ","1.22 "
"","(0.74)","(0.75)","(0.71)","(1.56)","(1.88)"
"South-East Asia","-1.23 ","-1.28 ","-1.13 ","-5.11 ***","-2.09 "
"","(0.93)","(0.99)","(0.87)","(1.91)","(2.43)"
"Democracy","0.08 ","0.08 ","0.24 ","-0.57 ","0.06 "
"","(0.24)","(0.24)","(0.23)","(0.51)","(0.61)"
"GDP pp","-0.06 ","0.40 *","-0.06 ","0.07 ","0.08 "
"","(0.22)","(0.22)","(0.21)","(0.46)","(0.55)"
"Years since Sign.","0.46 ***","0.47 ***","0.35 **","0.57 ","0.93 **"
"","(0.16)","(0.16)","(0.16)","(0.36)","(0.43)"
"Years since Ratif.","0.37 ***","0.30 **","0.33 ***","1.34 ***","1.20 ***"
"","(0.12)","(0.12)","(0.11)","(0.27)","(0.31)"
"Tobacco Prod. PP","-0.12 ","-0.20 ","-0.36 *","-0.24 ","-0.29 "
"","(0.20)","(0.21)","(0.21)","(0.43)","(0.52)"
"% Female Smoke","-0.20 ","0.13 ","0.14 ","0.04 ","0.26 "
"","(0.23)","(0.23)","(0.23)","(0.49)","(0.59)"
"% Male Smoke","0.30 ","0.27 ","0.16 ","0.35 ","0.24 "
"","(0.25)","(0.25)","(0.25)","(0.54)","(0.64)"
"Labor","-0.04 ","0.11 ","0.10 ","-0.48 ","-0.50 "
"","(0.27)","(0.28)","(0.27)","(0.58)","(0.69)"
"Women's rights","0.68 ","1.00 ","0.89 ","0.33 ","2.11 "
"","(0.62)","(0.62)","(0.61)","(1.30)","(1.56)"
"Population","0.22 ","0.41 **","0.11 ","0.45 ","0.59 "
"","(0.17)","(0.17)","(0.17)","(0.36)","(0.43)"
"Gov. Ownership","0.66 ","0.62 ","0.79 ","1.54 ","2.55 *"
"","(0.60)","(0.61)","(0.59)","(1.27)","(1.51)"
"N","176","176","176","176","176"
"Pseudo R2","0.07","0.11","0.08","0.08","0.08"
"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.02 ","0.22 *","0.42 ","0.30 *","0.04 "
"","(0.13)","(0.13)","(0.30)","(0.17)","(0.16)"
"Eastern Mediterranean","1.42 ","0.18 ","2.06 **","-1.15 ","4.93 *"
"","(1.03)","(1.03)","(1.00)","(2.18)","(2.60)"
"European","0.69 ","0.48 ","0.38 ","0.98 ","2.98 *"
"","(0.64)","(0.63)","(0.62)","(1.36)","(1.62)"
"African","0.06 ","-0.57 ","-0.51 ","-2.30 *","0.65 "
"","(0.58)","(0.58)","(0.57)","(1.26)","(1.52)"
"Western Pacific","0.16 ","-0.49 ","-0.04 ","-2.18 ","1.49 "
"","(0.73)","(0.73)","(0.72)","(1.55)","(1.85)"
"South-East Asia","-0.99 ","-0.98 ","-1.08 ","-4.62 **","-1.48 "
"","(0.89)","(0.89)","(0.86)","(1.87)","(2.25)"
"Democracy","0.08 ","0.09 ","0.23 ","-0.62 ","0.07 "
"","(0.24)","(0.24)","(0.23)","(0.51)","(0.61)"
"GDP pp","-0.05 ","0.39 *","-0.09 ","0.08 ","0.12 "
"","(0.22)","(0.22)","(0.21)","(0.46)","(0.55)"
"Years since Sign.","0.48 ***","0.45 ***","0.32 **","0.58 ","0.94 **"
"","(0.16)","(0.16)","(0.16)","(0.36)","(0.44)"
"Years since Ratif.","0.36 ***","0.29 **","0.32 ***","1.31 ***","1.19 ***"
"","(0.12)","(0.12)","(0.11)","(0.27)","(0.31)"
"Tobacco Prod. PP","-0.11 ","-0.18 ","-0.36 *","-0.19 ","-0.27 "
"","(0.20)","(0.21)","(0.20)","(0.42)","(0.52)"
"% Female Smoke","-0.19 ","0.09 ","0.12 ","-0.03 ","0.27 "
"","(0.23)","(0.23)","(0.23)","(0.49)","(0.59)"
"% Male Smoke","0.30 ","0.25 ","0.15 ","0.33 ","0.24 "
"","(0.25)","(0.25)","(0.24)","(0.54)","(0.64)"
"Labor","-0.03 ","0.17 ","0.14 ","-0.32 ","-0.45 "
"","(0.27)","(0.28)","(0.27)","(0.58)","(0.69)"
"Women's rights","0.70 ","1.12 *","0.89 ","0.58 ","2.22 "
