"Article 11","Centroid Distance","Minimal distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.89 **","0.36 *","0.24 ","0.30 **","0.21 **","0.31 ***"
"","(0.91)","(0.19)","(0.19)","(0.13)","(0.10)","(0.11)"
"Bloomberg $$$ PP","-0.40 ","-0.38 ","-0.23 ","-0.33 ","-0.33 ","-0.29 "
"","(0.29)","(0.29)","(0.32)","(0.29)","(0.30)","(0.29)"
"Eastern Mediterranean","-1.94 ","-0.98 ","-1.07 ","-0.96 ","-1.66 ","-0.81 "
"","(2.19)","(2.17)","(2.18)","(2.16)","(2.18)","(2.15)"
"European","-0.79 ","0.50 ","0.96 ","0.47 ","0.06 ","0.29 "
"","(1.51)","(1.34)","(1.35)","(1.34)","(1.37)","(1.33)"
"African","-2.40 *","-1.82 ","-2.26 *","-2.24 *","-2.34 *","-1.96 "
"","(1.25)","(1.27)","(1.25)","(1.25)","(1.25)","(1.24)"
"Western Pacific","-2.79 *","-1.96 ","-1.88 ","-1.51 ","-2.22 ","-1.59 "
"","(1.67)","(1.60)","(1.60)","(1.59)","(1.61)","(1.57)"
"South-East Asia","-5.69 ***","-4.97 ***","-4.49 **","-4.19 **","-4.69 **","-3.64 **"
"","(1.98)","(1.90)","(1.87)","(1.84)","(1.87)","(1.84)"
"Democracy","-0.37 ","-0.43 ","-0.53 ","-0.49 ","-0.44 ","-0.24 "
"","(0.52)","(0.52)","(0.53)","(0.52)","(0.52)","(0.52)"
"GDP pp","-0.11 ","-0.00 ","0.06 ","0.02 ","0.12 ","0.26 "
"","(0.47)","(0.46)","(0.46)","(0.46)","(0.46)","(0.45)"
"Years since Sign.","0.56 ","0.53 ","0.57 ","0.54 ","0.50 ","0.55 "
"","(0.36)","(0.36)","(0.36)","(0.36)","(0.36)","(0.35)"
"Years since Ratif.","1.28 ***","1.34 ***","1.30 ***","1.27 ***","1.27 ***","1.14 ***"
"","(0.26)","(0.27)","(0.27)","(0.27)","(0.27)","(0.27)"
"Tobacco Prod. PP","-0.30 ","-0.27 ","-0.22 ","-0.37 ","-0.27 ","-0.27 "
"","(0.43)","(0.43)","(0.42)","(0.42)","(0.43)","(0.43)"
"% Female Smoke","-0.08 ","0.01 ","-0.03 ","0.12 ","0.06 ","-0.00 "
"","(0.49)","(0.49)","(0.49)","(0.49)","(0.49)","(0.48)"
"% Male Smoke","0.34 ","0.34 ","0.34 ","0.33 ","0.42 ","0.42 "
"","(0.54)","(0.54)","(0.54)","(0.53)","(0.54)","(0.53)"
"Labor","-0.45 ","-0.44 ","-0.32 ","-0.40 ","-0.46 ","-0.28 "
"","(0.58)","(0.58)","(0.58)","(0.58)","(0.58)","(0.57)"
"Women's rights","0.03 ","-0.05 ","0.32 ","-0.09 ","-0.12 ","0.07 "
"","(1.32)","(1.33)","(1.35)","(1.32)","(1.33)","(1.31)"
"Population","0.39 ","0.43 ","0.33 ","0.26 ","0.29 ","0.36 "
"","(0.35)","(0.36)","(0.36)","(0.35)","(0.35)","(0.35)"
"Gov. Ownership","0.89 ","1.38 ","1.51 ","1.28 ","0.96 ","1.00 "
"","(1.29)","(1.27)","(1.27)","(1.26)","(1.29)","(1.27)"
"N","176","176","176","176","176","176"
"Pseudo R2","0.08","0.08","0.08","0.08","0.08","0.08"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of Bloomberg funds'. "
