"Article 13","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.76 ***","-0.32 ","-0.32 ","0.04 ","0.40 *"
"","(0.24)","(0.21)","(0.21)","(0.24)","(0.24)"
"Bloomberg $$$ PP","0.24 ","0.20 ","0.18 ","0.17 ","0.15 "
"","(0.19)","(0.19)","(0.19)","(0.19)","(0.19)"
"Americas","-3.64 ***","-4.47 ***","-4.53 ***","-4.39 ***","-4.61 ***"
"","(1.21)","(1.19)","(1.20)","(1.20)","(1.20)"
"African","-2.79 **","-3.28 ***","-3.38 ***","-3.20 **","-3.38 ***"
"","(1.25)","(1.26)","(1.26)","(1.26)","(1.26)"
"European","-2.37 *","-2.27 *","-2.33 *","-2.24 *","-2.55 **"
"","(1.23)","(1.24)","(1.24)","(1.24)","(1.25)"
"Western Pacific","-1.26 ","-1.29 ","-1.39 ","-1.34 ","-1.56 "
"","(1.23)","(1.23)","(1.24)","(1.24)","(1.24)"
"South-East Asia","-3.04 **","-2.86 **","-2.99 **","-2.91 **","-2.99 **"
"","(1.29)","(1.30)","(1.30)","(1.31)","(1.30)"
"Control of Corruption","-0.03 ","-0.16 ","-0.15 ","-0.13 ","0.06 "
"","(0.71)","(0.71)","(0.71)","(0.73)","(0.72)"
"Rule of Law","-0.04 ","-0.00 ","0.03 ","-0.00 ","-0.20 "
"","(0.72)","(0.72)","(0.72)","(0.75)","(0.74)"
"GDP pp","0.08 ","0.12 ","0.10 ","0.08 ","0.05 "
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.42)"
"Years since Ratif.","0.45 ***","0.45 ***","0.45 ***","0.45 ***","0.41 ***"
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.13)"
"Tobacco Prod. PP","-1.10 *","-1.01 *","-1.01 *","-0.96 *","-0.88 "
"","(0.57)","(0.57)","(0.57)","(0.57)","(0.57)"
"% Female Smoke","0.40 ","0.43 ","0.43 ","0.42 ","0.42 "
"","(0.32)","(0.32)","(0.32)","(0.32)","(0.32)"
"% Male Smoke","-0.41 ","-0.47 ","-0.45 ","-0.44 ","-0.40 "
"","(0.29)","(0.29)","(0.29)","(0.30)","(0.29)"
"Women's Labor","0.22 ","0.23 ","0.22 ","0.22 ","0.31 "
"","(0.36)","(0.36)","(0.36)","(0.36)","(0.36)"
"Women's rights","0.26 ","0.31 ","0.32 ","0.30 ","0.28 "
"","(0.27)","(0.27)","(0.27)","(0.27)","(0.27)"
"Population","0.99 ***","1.05 ***","1.05 ***","1.03 ***","0.95 ***"
"","(0.26)","(0.26)","(0.26)","(0.27)","(0.27)"
"Government Ownership","0.86 ","0.98 ","1.00 ","0.96 ","0.86 "
"","(0.74)","(0.74)","(0.74)","(0.75)","(0.75)"
"Health Exp.","0.20 ","0.29 ","0.29 ","0.32 ","0.36 "
"","(0.44)","(0.44)","(0.44)","(0.44)","(0.44)"
"N","480","480","480","480","480"
"AIC","2551.63","2559.35","2559.40","2561.78","2559.10"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of Bloomberg funds'. "
