"Article 11","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.23 ","0.04 ","-0.03 ","-0.06 ","-0.05 "
"","(0.34)","(0.08)","(0.06)","(0.05)","(0.07)"
"Bloomberg FCTC $$$ PP","-0.68 *","-0.68 *","-0.67 *","-0.64 *","-0.68 *"
"","(0.38)","(0.38)","(0.38)","(0.35)","(0.37)"
"Americas","0.38 ","0.38 ","0.38 ","0.45 ","0.43 "
"","(0.46)","(0.46)","(0.46)","(0.46)","(0.46)"
"African","-1.10 *","-1.10 *","-1.10 *","-1.05 *","-1.04 *"
"","(0.57)","(0.57)","(0.57)","(0.57)","(0.57)"
"European","0.45 ","0.44 ","0.44 ","0.52 ","0.49 "
"","(0.59)","(0.59)","(0.59)","(0.59)","(0.59)"
"Western Pacific","0.09 ","0.09 ","0.09 ","0.12 ","0.12 "
"","(0.43)","(0.43)","(0.43)","(0.43)","(0.44)"
"South-East Asia","-0.16 ","-0.16 ","-0.15 ","-0.13 ","-0.12 "
"","(0.32)","(0.32)","(0.32)","(0.32)","(0.33)"
"Control of Corruption","-2.46 ***","-2.48 ***","-2.50 ***","-2.46 ***","-2.49 ***"
"","(0.71)","(0.71)","(0.71)","(0.71)","(0.71)"
"Rule of Law","2.51 ***","2.53 ***","2.55 ***","2.49 ***","2.54 ***"
"","(0.76)","(0.76)","(0.76)","(0.76)","(0.76)"
"GDP pp","0.39 ","0.40 ","0.39 ","0.41 ","0.41 "
"","(0.33)","(0.33)","(0.33)","(0.33)","(0.33)"
"Years since Ratif.","0.72 ***","0.73 ***","0.72 ***","0.73 ***","0.72 ***"
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"Tobacco Prod. PP","-1.04 ***","-1.05 ***","-1.06 ***","-1.06 ***","-1.06 ***"
"","(0.24)","(0.24)","(0.24)","(0.24)","(0.24)"
"% Female Smoke","-0.02 ","-0.00 ","0.00 ","-0.01 ","0.02 "
"","(0.32)","(0.32)","(0.32)","(0.32)","(0.32)"
"% Male Smoke","0.11 ","0.10 ","0.09 ","0.10 ","0.10 "
"","(0.29)","(0.29)","(0.29)","(0.29)","(0.29)"
"Women's Labor","-0.40 ","-0.41 ","-0.41 ","-0.42 ","-0.41 "
"","(0.37)","(0.37)","(0.37)","(0.37)","(0.37)"
"Women's rights","0.03 ","0.02 ","0.02 ","0.01 ","0.02 "
"","(0.26)","(0.26)","(0.26)","(0.26)","(0.26)"
"Government Ownership","1.63 **","1.60 **","1.61 **","1.63 **","1.70 **"
"","(0.76)","(0.76)","(0.76)","(0.76)","(0.77)"
"N","519","519","519","519","519"
"AIC","2714.56","2714.77","2714.82","2713.49","2714.51"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of FCTC Bloomberg funds'. "
