"Centroid Distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.63 ","0.73 ","2.51 *","1.89 **","0.39 "
"","(0.78)","(0.76)","(1.46)","(0.91)","(0.83)"
"Bloomberg FCTC $$$ PP","-0.25 *","-0.57 **","-0.05 ","-0.40 ","-0.09 "
"","(0.14)","(0.29)","(0.13)","(0.29)","(0.34)"
"Eastern Mediterranean","1.31 ","0.13 ","1.54 ","-1.94 ","4.42 "
"","(1.06)","(1.03)","(1.03)","(2.19)","(2.86)"
"European","0.32 ","0.02 ","-0.54 ","-0.79 ","2.34 "
"","(0.82)","(0.80)","(0.78)","(1.51)","(2.10)"
"African","0.01 ","-0.61 ","-0.70 ","-2.40 *","0.48 "
"","(0.58)","(0.58)","(0.57)","(1.25)","(1.58)"
"Western Pacific","0.15 ","-0.13 ","-0.70 ","-2.78 *","1.23 "
"","(0.86)","(0.82)","(0.81)","(1.67)","(2.05)"
"South-East Asia","-1.36 ","-1.10 ","-1.78 *","-5.69 ***","-1.93 "
"","(1.04)","(0.99)","(0.96)","(1.98)","(2.51)"
"Democracy","0.18 ","0.24 ","0.28 ","-0.36 ","0.12 "
"","(0.24)","(0.24)","(0.24)","(0.52)","(0.63)"
"GDP pp","-0.13 ","0.31 ","-0.11 ","-0.11 ","0.07 "
"","(0.22)","(0.22)","(0.21)","(0.47)","(0.56)"
"Years since Sign.","0.44 ***","0.44 ***","0.33 **","0.56 ","0.95 **"
"","(0.16)","(0.16)","(0.15)","(0.36)","(0.43)"
"Years since Ratif.","0.36 ***","0.29 **","0.31 ***","1.28 ***","1.18 ***"
"","(0.12)","(0.12)","(0.11)","(0.26)","(0.31)"
"Tobacco Prod. PP","-0.15 ","-0.24 ","-0.40 *","-0.30 ","-0.30 "
"","(0.20)","(0.21)","(0.21)","(0.43)","(0.52)"
"% Female Smoke","-0.23 ","0.08 ","0.10 ","-0.08 ","0.23 "
"","(0.23)","(0.23)","(0.23)","(0.49)","(0.59)"
"% Male Smoke","0.29 ","0.24 ","0.14 ","0.34 ","0.23 "
"","(0.25)","(0.25)","(0.24)","(0.54)","(0.64)"
"Labor","-0.01 ","0.14 ","0.13 ","-0.45 ","-0.46 "
"","(0.27)","(0.27)","(0.27)","(0.58)","(0.69)"
"Women's rights","0.45 ","0.77 ","0.90 ","0.03 ","2.04 "
"","(0.63)","(0.62)","(0.62)","(1.32)","(1.60)"
"Population","0.21 ","0.37 **","0.12 ","0.39 ","0.56 "
"","(0.17)","(0.17)","(0.17)","(0.35)","(0.43)"
"Gov. Ownership","0.48 ","0.35 ","0.60 ","0.89 ","2.43 "
"","(0.62)","(0.62)","(0.60)","(1.29)","(1.54)"
"N","176","176","176","176","176"
"Pseudo R2","0.08","0.12","0.08","0.08","0.08"
"Minimal distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.13 ","0.18 ","0.17 ","0.36 *","0.15 "
"","(0.15)","(0.17)","(0.25)","(0.19)","(0.21)"
"Bloomberg FCTC $$$ PP","-0.24 *","-0.55 *","-0.03 ","-0.39 ","-0.08 "
"","(0.14)","(0.28)","(0.13)","(0.29)","(0.34)"
"Eastern Mediterranean","1.54 ","0.28 ","2.04 **","-0.98 ","4.68 *"
"","(1.02)","(1.01)","(1.01)","(2.17)","(2.64)"
"European","0.67 ","0.30 ","0.28 ","0.50 ","2.58 "
"","(0.63)","(0.65)","(0.62)","(1.34)","(1.71)"
"African","0.18 ","-0.48 ","-0.45 ","-1.82 ","0.69 "
"","(0.58)","(0.57)","(0.58)","(1.27)","(1.52)"
"Western Pacific","0.41 ","-0.02 ","-0.10 ","-1.96 ","1.32 "
"","(0.75)","(0.78)","(0.74)","(1.60)","(1.94)"
"South-East Asia","-1.14 ","-1.09 ","-1.12 ","-4.97 ***","-2.07 "
"","(0.92)","(0.97)","(0.87)","(1.90)","(2.44)"
"Democracy","0.17 ","0.22 ","0.25 ","-0.43 ","0.09 "
"","(0.24)","(0.24)","(0.24)","(0.52)","(0.63)"
"GDP pp","-0.11 ","0.32 ","-0.06 ","-0.00 ","0.06 "
"","(0.22)","(0.22)","(0.21)","(0.46)","(0.56)"
"Years since Sign.","0.44 ***","0.44 ***","0.35 **","0.53 ","0.92 **"
"","(0.16)","(0.16)","(0.16)","(0.36)","(0.43)"
