"","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Article 5","0.63 ","-0.07 ","0.08 ","0.03 ","0.13 *"
"","(0.78)","(0.14)","(0.11)","(0.08)","(0.08)"
"Article 6","0.73 ","0.09 ","0.24 **","0.20 **","0.21 **"
"","(0.76)","(0.14)","(0.11)","(0.08)","(0.08)"
"Article 8","2.51 *","0.45 ","0.68 ***","0.32 **","0.51 **"
"","(1.46)","(0.32)","(0.21)","(0.16)","(0.22)"
"Article 11","1.89 **","0.24 ","0.30 **","0.21 **","0.31 ***"
"","(0.91)","(0.19)","(0.13)","(0.10)","(0.11)"
"Article 13","0.39 ","0.03 ","0.09 ","0.08 ","0.38 ***"
"","(0.83)","(0.17)","(0.13)","(0.10)","(0.13)"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of FCTC Bloomberg funds'. "
