"Article 13","Centroid Distance","Minimal distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.31 ","0.13 ","0.03 ","0.08 ","0.08 ","0.37 ***"
"","(0.82)","(0.21)","(0.16)","(0.12)","(0.10)","(0.13)"
"Bloomberg #","0.58 ","0.57 ","0.59 ","0.58 ","0.60 ","0.50 "
"","(0.48)","(0.48)","(0.48)","(0.48)","(0.48)","(0.47)"
"Eastern Mediterranean","4.22 ","4.39 *","4.66 *","4.67 *","4.44 *","5.28 **"
"","(2.85)","(2.62)","(2.59)","(2.59)","(2.60)","(2.54)"
"European","2.50 ","2.64 ","3.01 *","2.88 *","2.83 *","2.37 "
"","(2.09)","(1.70)","(1.61)","(1.62)","(1.62)","(1.59)"
"African","0.53 ","0.70 ","0.67 ","0.62 ","0.59 ","0.97 "
"","(1.57)","(1.51)","(1.52)","(1.52)","(1.52)","(1.49)"
"Western Pacific","0.84 ","0.89 ","1.13 ","1.29 ","1.09 ","1.30 "
"","(2.01)","(1.89)","(1.86)","(1.88)","(1.86)","(1.82)"
"South-East Asia","-1.77 ","-1.97 ","-1.40 ","-1.30 ","-1.50 ","-0.74 "
"","(2.50)","(2.42)","(2.24)","(2.23)","(2.23)","(2.18)"
"Democracy","0.09 ","0.07 ","0.08 ","0.06 ","0.11 ","0.34 "
"","(0.61)","(0.61)","(0.61)","(0.61)","(0.61)","(0.60)"
"GDP pp","0.18 ","0.16 ","0.21 ","0.18 ","0.17 ","0.31 "
"","(0.56)","(0.56)","(0.55)","(0.55)","(0.55)","(0.53)"
"Years since Sign.","0.95 **","0.93 **","0.94 **","0.93 **","0.90 **","0.80 *"
"","(0.43)","(0.43)","(0.43)","(0.43)","(0.43)","(0.42)"
"Years since Ratif.","1.15 ***","1.16 ***","1.15 ***","1.14 ***","1.13 ***","0.98 ***"
"","(0.31)","(0.31)","(0.31)","(0.31)","(0.31)","(0.31)"
"Tobacco Prod. PP","-0.27 ","-0.28 ","-0.26 ","-0.30 ","-0.26 ","-0.27 "
"","(0.52)","(0.52)","(0.52)","(0.52)","(0.52)","(0.51)"
"% Female Smoke","0.30 ","0.31 ","0.33 ","0.37 ","0.31 ","0.28 "
"","(0.59)","(0.59)","(0.59)","(0.59)","(0.58)","(0.57)"
"% Male Smoke","0.11 ","0.12 ","0.11 ","0.07 ","0.12 ","0.22 "
"","(0.65)","(0.65)","(0.65)","(0.65)","(0.64)","(0.63)"
"Labor","-0.60 ","-0.63 ","-0.59 ","-0.60 ","-0.58 ","-0.40 "
"","(0.70)","(0.70)","(0.70)","(0.70)","(0.70)","(0.68)"
"Women's rights","2.13 ","2.11 ","2.20 ","2.11 ","2.11 ","1.91 "
"","(1.55)","(1.55)","(1.55)","(1.55)","(1.55)","(1.51)"
"Population","-0.15 ","-0.12 ","-0.17 ","-0.19 ","-0.20 ","-0.05 "
"","(0.73)","(0.74)","(0.73)","(0.73)","(0.73)","(0.72)"
"Gov. Ownership","2.64 *","2.69 *","2.72 *","2.66 *","2.54 *","2.01 "
"","(1.52)","(1.50)","(1.50)","(1.51)","(1.52)","(1.49)"
"N","176","176","176","176","176","176"
"Pseudo R2","0.08","0.08","0.08","0.08","0.08","0.09"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of Bloomberg project'. "
