"Article 14","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","-0.08 ","-2.33 **","0.40 ","0.13 ","0.51 "
"","(1.41)","(1.18)","(0.82)","(0.54)","(0.51)"
"Bloomberg #","-0.60 ","-0.62 ","-0.59 ","-0.59 ","-0.57 "
"","(0.38)","(0.38)","(0.38)","(0.38)","(0.38)"
"Americas","5.70 **","5.74 **","5.85 **","5.69 **","5.46 **"
"","(2.63)","(2.62)","(2.64)","(2.63)","(2.63)"
"African","-0.20 ","-0.51 ","0.07 ","-0.21 ","-0.37 "
"","(2.80)","(2.77)","(2.82)","(2.78)","(2.78)"
"European","5.99 **","5.88 **","6.07 **","5.90 **","5.55 **"
"","(2.80)","(2.74)","(2.75)","(2.75)","(2.77)"
"Western Pacific","4.32 ","5.03 *","4.18 ","4.23 ","4.04 "
"","(2.73)","(2.74)","(2.74)","(2.75)","(2.73)"
"South-East Asia","1.65 ","2.37 ","1.63 ","1.54 ","1.54 "
"","(2.89)","(2.89)","(2.87)","(2.90)","(2.87)"
"Control of Corruption","0.44 ","0.23 ","0.45 ","0.51 ","0.75 "
"","(1.56)","(1.56)","(1.56)","(1.58)","(1.59)"
"Rule of Law","3.78 **","3.91 **","3.78 **","3.68 **","3.47 **"
"","(1.58)","(1.57)","(1.58)","(1.64)","(1.61)"
"GDP pp","2.61 ***","2.70 ***","2.61 ***","2.62 ***","2.57 ***"
"","(0.90)","(0.90)","(0.89)","(0.90)","(0.89)"
"Years since Ratif.","0.44 *","0.45 *","0.44 *","0.43 ","0.38 "
"","(0.26)","(0.26)","(0.26)","(0.26)","(0.27)"
"Tobacco Prod. PP","0.16 ","0.16 ","0.16 ","0.16 ","0.19 "
"","(0.90)","(0.91)","(0.89)","(0.90)","(0.89)"
"% Female Smoke","-0.53 ","-0.46 ","-0.57 ","-0.55 ","-0.52 "
"","(0.89)","(0.87)","(0.86)","(0.87)","(0.86)"
"% Male Smoke","0.55 ","0.46 ","0.56 ","0.55 ","0.59 "
"","(0.74)","(0.74)","(0.74)","(0.74)","(0.74)"
"Women's Labor","-0.55 ","-0.64 ","-0.53 ","-0.54 ","-0.45 "
"","(0.80)","(0.80)","(0.80)","(0.80)","(0.80)"
"Women's rights","0.41 ","0.48 ","0.38 ","0.40 ","0.39 "
"","(0.61)","(0.61)","(0.61)","(0.61)","(0.61)"
"Population","2.48 ***","2.47 ***","2.47 ***","2.44 ***","2.36 ***"
"","(0.63)","(0.62)","(0.62)","(0.64)","(0.63)"
"Government Ownership","3.07 *","3.02 *","3.09 *","3.00 *","2.88 *"
"","(1.64)","(1.62)","(1.63)","(1.64)","(1.64)"
"Year 2014","3.15 ","-0.30 ","3.52 **","2.99 ***","2.85 ***"
"","(2.47)","(2.00)","(1.48)","(1.09)","(1.09)"
"Year 2016","3.45 ","5.11 ***","3.03 **","3.27 ***","3.28 ***"
"","(2.85)","(1.44)","(1.23)","(1.11)","(1.10)"
"Health Exp.","-0.79 ","-0.90 ","-0.80 ","-0.81 ","-0.75 "
"","(1.01)","(1.02)","(1.00)","(1.00)","(1.00)"
"N","480","480","480","480","480"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of Bloomberg project'. "
