"Centroid Distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.51 ","0.69 ","2.41 *","1.83 **","0.31 "
"","(0.79)","(0.78)","(1.46)","(0.91)","(0.82)"
"Bloomberg #","0.10 ","0.12 ","0.19 ","0.55 ","0.58 "
"","(0.19)","(0.19)","(0.19)","(0.40)","(0.48)"
"Eastern Mediterranean","1.16 ","-0.19 ","1.44 ","-2.45 ","4.22 "
"","(1.08)","(1.05)","(1.03)","(2.20)","(2.85)"
"European","0.33 ","-0.07 ","-0.51 ","-0.80 ","2.50 "
"","(0.83)","(0.82)","(0.78)","(1.52)","(2.09)"
"African","-0.01 ","-0.67 ","-0.69 ","-2.46 **","0.53 "
"","(0.59)","(0.59)","(0.57)","(1.25)","(1.57)"
"Western Pacific","-0.20 ","-0.82 ","-0.86 ","-3.63 **","0.84 "
"","(0.86)","(0.81)","(0.80)","(1.64)","(2.01)"
"South-East Asia","-1.34 ","-1.19 ","-1.74 *","-5.69 ***","-1.77 "
"","(1.06)","(1.01)","(0.96)","(1.99)","(2.50)"
"Democracy","0.09 ","0.10 ","0.26 ","-0.51 ","0.09 "
"","(0.24)","(0.24)","(0.23)","(0.51)","(0.61)"
"GDP pp","-0.06 ","0.42 *","-0.07 ","0.05 ","0.18 "
"","(0.22)","(0.23)","(0.21)","(0.47)","(0.56)"
"Years since Sign.","0.47 ***","0.47 ***","0.33 **","0.61 *","0.95 **"
"","(0.16)","(0.16)","(0.15)","(0.36)","(0.43)"
"Years since Ratif.","0.36 ***","0.28 **","0.30 ***","1.25 ***","1.15 ***"
"","(0.12)","(0.12)","(0.11)","(0.27)","(0.31)"
"Tobacco Prod. PP","-0.13 ","-0.21 ","-0.39 *","-0.25 ","-0.27 "
"","(0.20)","(0.21)","(0.21)","(0.43)","(0.52)"
"% Female Smoke","-0.20 ","0.12 ","0.12 ","0.00 ","0.30 "
"","(0.24)","(0.24)","(0.23)","(0.49)","(0.59)"
"% Male Smoke","0.28 ","0.23 ","0.11 ","0.23 ","0.11 "
"","(0.25)","(0.25)","(0.25)","(0.54)","(0.65)"
"Labor","-0.05 ","0.09 ","0.09 ","-0.61 ","-0.60 "
"","(0.28)","(0.28)","(0.27)","(0.59)","(0.70)"
"Women's rights","0.69 ","1.04 *","0.93 ","0.41 ","2.13 "
"","(0.62)","(0.62)","(0.60)","(1.29)","(1.55)"
"Population","0.09 ","0.24 ","-0.12 ","-0.28 ","-0.15 "
"","(0.29)","(0.29)","(0.28)","(0.61)","(0.73)"
"Gov. Ownership","0.63 ","0.56 ","0.68 ","1.22 ","2.64 *"
"","(0.62)","(0.63)","(0.60)","(1.29)","(1.52)"
"N","176","176","176","176","176"
"Pseudo R2","0.07","0.11","0.08","0.08","0.08"
"Minimal distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.13 ","0.20 ","0.16 ","0.36 *","0.13 "
"","(0.15)","(0.17)","(0.25)","(0.19)","(0.21)"
"Bloomberg #","0.10 ","0.13 ","0.20 ","0.56 ","0.57 "
"","(0.19)","(0.19)","(0.19)","(0.40)","(0.48)"
"Eastern Mediterranean","1.35 ","-0.05 ","1.92 *","-1.50 ","4.39 *"
"","(1.03)","(1.03)","(1.01)","(2.18)","(2.62)"
"European","0.60 ","0.16 ","0.28 ","0.45 ","2.64 "
