"Article 13","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.71 ***","-0.31 ","-0.33 ","0.00 ","0.40 *"
"","(0.24)","(0.21)","(0.21)","(0.24)","(0.24)"
"Bloomberg FCTC #","-0.22 ","-0.48 ","-0.51 ","-0.44 ","-0.41 "
"","(0.54)","(0.54)","(0.54)","(0.54)","(0.54)"
"Americas","-3.67 ***","-4.40 ***","-4.46 ***","-4.33 ***","-4.56 ***"
"","(1.21)","(1.20)","(1.20)","(1.20)","(1.20)"
"African","-2.81 **","-3.26 ***","-3.36 ***","-3.17 **","-3.36 ***"
"","(1.25)","(1.26)","(1.26)","(1.26)","(1.26)"
"European","-2.32 *","-2.19 *","-2.26 *","-2.16 *","-2.49 **"
"","(1.24)","(1.24)","(1.24)","(1.25)","(1.26)"
"Western Pacific","-1.03 ","-0.96 ","-1.06 ","-1.03 ","-1.29 "
"","(1.25)","(1.25)","(1.25)","(1.26)","(1.26)"
"South-East Asia","-2.98 **","-2.79 **","-2.93 **","-2.83 **","-2.93 **"
"","(1.30)","(1.30)","(1.30)","(1.31)","(1.30)"
"Control of Corruption","-0.22 ","-0.31 ","-0.28 ","-0.28 ","-0.06 "
"","(0.69)","(0.70)","(0.70)","(0.71)","(0.71)"
"Rule of Law","0.15 ","0.17 ","0.18 ","0.18 ","-0.07 "
"","(0.71)","(0.71)","(0.71)","(0.74)","(0.72)"
"GDP pp","0.03 ","0.06 ","0.04 ","0.03 ","0.00 "
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.42)"
"Years since Ratif.","0.46 ***","0.46 ***","0.46 ***","0.46 ***","0.42 ***"
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.13)"
"Tobacco Prod. PP","-0.95 *","-0.88 ","-0.89 ","-0.85 ","-0.77 "
"","(0.56)","(0.56)","(0.56)","(0.56)","(0.56)"
"% Female Smoke","0.40 ","0.42 ","0.42 ","0.42 ","0.41 "
"","(0.32)","(0.32)","(0.32)","(0.32)","(0.32)"
"% Male Smoke","-0.42 ","-0.46 ","-0.44 ","-0.43 ","-0.39 "
"","(0.29)","(0.29)","(0.29)","(0.30)","(0.30)"
"Women's Labor","0.18 ","0.19 ","0.18 ","0.18 ","0.28 "
"","(0.36)","(0.36)","(0.36)","(0.36)","(0.36)"
"Women's rights","0.28 ","0.32 ","0.33 ","0.31 ","0.29 "
"","(0.27)","(0.27)","(0.27)","(0.27)","(0.27)"
"Population","0.98 ***","1.08 ***","1.08 ***","1.07 ***","0.97 ***"
"","(0.27)","(0.27)","(0.27)","(0.28)","(0.28)"
"Government Ownership","0.83 ","0.91 ","0.93 ","0.91 ","0.80 "
"","(0.74)","(0.75)","(0.75)","(0.75)","(0.75)"
"Health Exp.","0.21 ","0.28 ","0.28 ","0.32 ","0.35 "
"","(0.44)","(0.44)","(0.44)","(0.44)","(0.44)"
"N","480","480","480","480","480"
"AIC","2553.07","2559.61","2559.38","2561.92","2559.17"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of FCTC Bloomberg project'. "
