"","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Article 5","0.82 ","0.07 ","0.12 ","0.08 ","0.17 **"
"","(0.80)","(0.13)","(0.11)","(0.09)","(0.08)"
"Article 6","0.96 ","0.27 **","0.29 ***","0.26 ***","0.25 ***"
"","(0.79)","(0.13)","(0.11)","(0.08)","(0.08)"
"Article 8","2.73 *","0.51 *","0.68 ***","0.38 **","0.53 **"
"","(1.46)","(0.30)","(0.21)","(0.15)","(0.22)"
"Article 11","1.97 **","0.33 *","0.33 **","0.25 **","0.33 ***"
"","(0.91)","(0.17)","(0.13)","(0.10)","(0.11)"
"Article 13","0.35 ","0.08 ","0.11 ","0.11 ","0.40 ***"
"","(0.83)","(0.15)","(0.12)","(0.10)","(0.12)"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of Bloomberg project'. "
