"Article 13","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.73 **","0.01 ","-0.02 ","0.04 ","0.11 **"
"","(0.31)","(0.11)","(0.07)","(0.04)","(0.05)"
"Lagged Y (Number of Items)","0.57 ***","0.57 ***","0.57 ***","0.57 ***","0.56 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","-2.33 **","-3.35 ***","-3.38 ***","-3.39 ***","-3.72 ***"
"","(1.15)","(1.08)","(1.08)","(1.08)","(1.09)"
"African","-1.88 *","-2.37 **","-2.41 **","-2.40 **","-2.58 **"
"","(1.05)","(1.04)","(1.05)","(1.03)","(1.03)"
"European","-1.97 *","-1.83 *","-1.86 *","-1.93 *","-2.33 **"
"","(1.05)","(1.06)","(1.06)","(1.06)","(1.07)"
"South-East Asia","-1.30 ","-1.11 ","-1.12 ","-1.22 ","-1.30 "
"","(1.04)","(1.04)","(1.04)","(1.05)","(1.04)"
"Western Pacific","-0.49 ","-0.67 ","-0.68 ","-0.74 ","-0.97 "
"","(1.01)","(1.02)","(1.02)","(1.02)","(1.02)"
"Democracy (POLITY)","-0.10 ","-0.11 ","-0.11 ","-0.10 ","-0.08 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"GDP per capita (ppp)","0.12 ","0.15 ","0.16 ","0.14 ","0.12 "
"","(0.56)","(0.56)","(0.56)","(0.56)","(0.55)"
"Tobacco Prod. per capita","-0.10 ","-0.12 ","-0.12 ","-0.10 ","-0.09 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"% Female Smoke","3.82 ","4.51 ","4.52 ","4.36 ","4.44 "
"","(2.91)","(2.93)","(2.93)","(2.92)","(2.89)"
"% Male Smoke","-3.25 *","-3.55 *","-3.57 *","-3.42 *","-3.16 *"
"","(1.89)","(1.88)","(1.87)","(1.89)","(1.89)"
"Women's Labor","0.04 ","0.04 ","0.04 ","0.04 ","0.05 *"
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Women's rights","0.03 *","0.03 *","0.03 *","0.03 *","0.03 "
"","(0.02)","(0.02)","(0.02)","(0.02)","(0.02)"
"Government Ownership","-0.07 ","0.17 ","0.17 ","0.07 ","-0.02 "
"","(0.60)","(0.60)","(0.60)","(0.61)","(0.60)"
"Control of Corruption","-0.37 ","-0.36 ","-0.38 ","-0.26 ","-0.08 "
"","(0.56)","(0.57)","(0.57)","(0.58)","(0.57)"
"Rule of Law","-0.58 ","-0.58 ","-0.57 ","-0.72 ","-0.91 "
"","(0.68)","(0.69)","(0.69)","(0.70)","(0.70)"
"Health Exp. per capita (ppp)","0.27 ","0.30 ","0.29 ","0.31 ","0.35 "
"","(0.43)","(0.43)","(0.43)","(0.43)","(0.42)"
"Years since Sign.","0.17 ","0.19 ","0.20 ","0.18 ","0.15 "
"","(0.15)","(0.15)","(0.15)","(0.15)","(0.15)"
"Years since Ratif.","0.05 ","0.06 ","0.05 ","0.05 ","0.02 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Year 2014","-1.63 **","-0.01 ","-0.21 ","-0.15 ","-0.23 "
"","(0.77)","(0.90)","(0.61)","(0.42)","(0.42)"
"Year 2016","-2.74 ***","-1.02 **","-0.97 **","-1.04 **","-1.01 **"
"","(0.87)","(0.47)","(0.46)","(0.44)","(0.43)"
"N","501","501","501","501","501"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. "
