"Centroid Distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","1.13 ","1.09 ","3.33 **","2.33 ***","0.94 "
"","(0.74)","(0.69)","(1.43)","(0.84)","(0.77)"
"Implemented 2010","0.40 ***","0.54 ***","0.52 ***","0.51 ***","0.45 ***"
"","(0.08)","(0.09)","(0.15)","(0.10)","(0.09)"
"Eastern Mediterranean","1.02 ","-0.24 ","1.24 ","-1.97 ","3.18 "
"","(1.00)","(0.93)","(0.99)","(2.00)","(2.64)"
"European","-0.37 ","-0.84 ","-1.02 ","-1.56 ","0.49 "
"","(0.78)","(0.73)","(0.77)","(1.39)","(1.95)"
"African","-0.12 ","-0.89 *","-0.83 ","-2.64 **","-0.41 "
"","(0.55)","(0.52)","(0.55)","(1.15)","(1.46)"
"Western Pacific","-0.67 ","-1.11 ","-1.04 ","-3.43 **","0.76 "
"","(0.80)","(0.71)","(0.78)","(1.49)","(1.85)"
"South-East Asia","-1.71 *","-1.53 *","-1.87 **","-5.38 ***","-2.19 "
"","(0.98)","(0.90)","(0.93)","(1.82)","(2.31)"
"Democracy","-0.03 ","-0.11 ","0.16 ","-0.86 *","-0.34 "
"","(0.22)","(0.21)","(0.23)","(0.47)","(0.57)"
"GDP pp","-0.26 ","0.16 ","-0.15 ","-0.40 ","-0.46 "
"","(0.21)","(0.20)","(0.21)","(0.43)","(0.53)"
"Years since Sign.","0.42 ***","0.39 ***","0.31 **","0.57 *","0.87 **"
"","(0.15)","(0.14)","(0.15)","(0.32)","(0.39)"
"Years since Ratif.","0.13 ","0.02 ","0.17 ","0.63 **","0.51 *"
"","(0.12)","(0.11)","(0.12)","(0.26)","(0.31)"
"Tobacco Prod. PP","-0.16 ","-0.20 ","-0.43 **","-0.23 ","-0.30 "
"","(0.19)","(0.19)","(0.21)","(0.39)","(0.49)"
"% Female Smoke","-0.16 ","0.13 ","0.12 ","0.13 ","0.41 "
"","(0.22)","(0.21)","(0.22)","(0.45)","(0.55)"
"% Male Smoke","0.25 ","0.24 ","0.09 ","0.19 ","0.02 "
"","(0.23)","(0.22)","(0.24)","(0.49)","(0.59)"
"Labor","0.07 ","0.12 ","0.16 ","-0.37 ","-0.20 "
