"","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Article 5","-0.15 **","-0.06 ","-0.06 ","-0.13 **","0.03 "
"","(0.06)","(0.05)","(0.05)","(0.06)","(0.06)"
"Article 6","0.16 **","0.17 ***","0.23 ***","0.14 *","0.11 "
"","(0.08)","(0.07)","(0.07)","(0.08)","(0.08)"
"Article 8","-0.29 ***","-0.11 *","-0.11 *","0.01 ","-0.08 "
"","(0.08)","(0.06)","(0.06)","(0.07)","(0.07)"
"Article 11","0.42 **","-0.45 ***","-0.44 ***","0.06 ","0.25 "
"","(0.20)","(0.16)","(0.16)","(0.18)","(0.19)"
"Article 13","-0.33 *","-0.18 ","-0.25 ","-0.14 ","0.32 *"
"","(0.20)","(0.17)","(0.17)","(0.20)","(0.19)"
"Article 14","-1.51 ***","-0.37 ","-0.01 ","-0.41 ","0.37 "
"","(0.40)","(0.33)","(0.34)","(0.40)","(0.38)"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes a dummy equal to 1 when the member did not provided a report on 2012. "
