"Article 8","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","-0.30 ***","-0.11 *","-0.11 *","0.01 ","-0.07 "
"","(0.08)","(0.06)","(0.06)","(0.07)","(0.07)"
"Lagged Y (Number of Items)","0.37 ***","0.28 ***","0.28 ***","0.27 ***","0.28 ***"
"","(0.04)","(0.03)","(0.03)","(0.03)","(0.03)"
"Americas","-0.71 **","-0.68 *","-0.68 *","-0.67 *","-0.64 *"
"","(0.35)","(0.35)","(0.35)","(0.35)","(0.35)"
"African","-0.99 ***","-1.04 ***","-1.06 ***","-1.02 ***","-0.99 ***"
"","(0.36)","(0.37)","(0.37)","(0.37)","(0.37)"
"European","-0.66 *","-0.77 **","-0.76 **","-0.77 **","-0.72 *"
"","(0.36)","(0.37)","(0.37)","(0.37)","(0.37)"
"Western Pacific","0.08 ","0.01 ","0.03 ","-0.00 ","0.04 "
"","(0.36)","(0.36)","(0.36)","(0.36)","(0.36)"
"South-East Asia","-0.30 ","-0.43 ","-0.45 ","-0.45 ","-0.41 "
"","(0.40)","(0.40)","(0.40)","(0.40)","(0.40)"
"Control of Corruption","-0.27 ","-0.29 ","-0.28 ","-0.29 ","-0.32 "
"","(0.21)","(0.21)","(0.21)","(0.21)","(0.21)"
"Rule of Law","0.38 *","0.44 **","0.44 **","0.46 **","0.49 **"
"","(0.21)","(0.22)","(0.22)","(0.22)","(0.22)"
"GDP pp","-0.07 ","-0.07 ","-0.07 ","-0.07 ","-0.07 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"Years since Ratif.","-0.05 ","-0.03 ","-0.03 ","-0.03 ","-0.02 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. PP","-0.01 ","0.01 ","0.01 ","0.01 ","0.00 "
"","(0.07)","(0.07)","(0.07)","(0.07)","(0.07)"
"% Female Smoke","0.24 **","0.25 **","0.24 **","0.25 **","0.25 **"
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"% Male Smoke","0.01 ","0.01 ","0.02 ","0.02 ","0.01 "
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"Women's Labor","-0.05 ","-0.04 ","-0.05 ","-0.05 ","-0.06 "
"","(0.10)","(0.11)","(0.11)","(0.11)","(0.11)"
"Women's rights","0.05 ","0.06 ","0.06 ","0.06 ","0.06 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"Population","0.24 ***","0.27 ***","0.28 ***","0.27 ***","0.29 ***"
"","(0.07)","(0.07)","(0.07)","(0.08)","(0.08)"
"Government Ownership","-0.21 ","-0.21 ","-0.21 ","-0.21 ","-0.19 "
"","(0.22)","(0.22)","(0.22)","(0.22)","(0.22)"
"Health Exp.","-0.04 ","-0.08 ","-0.08 ","-0.09 ","-0.08 "
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"N","459","459","459","459","459"
"AIC","1565.03","1574.36","1574.73","1577.50","1576.66"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. Also, it only includes members that provided a reported on 2012. "
