"Centroid Distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.48 ","1.11 *","3.36 ***","2.05 ***","0.57 "
"","(0.53)","(0.59)","(1.01)","(0.70)","(0.69)"
"Implemented 2010","0.23 ***","0.41 ***","0.18 *","0.35 ***","0.35 ***"
"","(0.06)","(0.07)","(0.10)","(0.08)","(0.08)"
"Eastern Mediterranean","0.32 ","-1.13 ","0.17 ","-3.72 **","2.06 "
"","(0.69)","(0.78)","(0.68)","(1.65)","(2.31)"
"European","-0.11 ","-1.15 *","-1.42 ***","-2.05 *","0.42 "
"","(0.57)","(0.64)","(0.55)","(1.21)","(1.79)"
"African","0.29 ","-0.87 *","-0.77 *","-2.44 **","0.42 "
"","(0.41)","(0.47)","(0.40)","(1.00)","(1.36)"
"Western Pacific","0.10 ","-0.98 ","-0.77 ","-3.10 **","1.54 "
"","(0.58)","(0.62)","(0.54)","(1.26)","(1.67)"
"South-East Asia","-0.15 ","-0.81 ","-1.02 ","-3.67 **","0.07 "
"","(0.74)","(0.81)","(0.69)","(1.61)","(2.18)"
"Democracy","-0.02 ","-0.14 ","0.15 ","-0.78 *","-0.25 "
"","(0.16)","(0.19)","(0.16)","(0.41)","(0.53)"
"GDP pp","-0.25 *","0.11 ","-0.29 **","-0.41 ","-0.44 "
"","(0.15)","(0.17)","(0.14)","(0.36)","(0.46)"
"Years since Sign.","0.13 ","0.29 **","0.11 ","0.04 ","0.25 "
"","(0.12)","(0.14)","(0.12)","(0.31)","(0.40)"
"Years since Ratif.","0.04 ","-0.11 ","0.03 ","0.46 **","0.26 "
"","(0.09)","(0.10)","(0.09)","(0.23)","(0.29)"
"Tobacco Prod. PP","0.10 ","-0.28 ","-0.57 ***","0.01 ","-0.02 "
"","(0.21)","(0.24)","(0.20)","(0.50)","(0.64)"
"% Female Smoke","0.01 ","0.34 *","0.38 **","0.27 ","0.71 "
"","(0.16)","(0.18)","(0.16)","(0.39)","(0.50)"
"% Male Smoke","0.18 ","0.27 ","0.10 ","0.17 ","-0.01 "
"","(0.17)","(0.20)","(0.17)","(0.43)","(0.55)"
"Labor","-0.05 ","0.02 ","0.07 ","-0.50 ","-0.37 "
"","(0.18)","(0.21)","(0.18)","(0.45)","(0.58)"
"Women's rights","-0.17 ","0.33 ","0.31 ","-1.24 ","0.64 "
"","(0.42)","(0.49)","(0.41)","(1.02)","(1.31)"
"Population","0.04 ","0.17 ","0.03 ","0.07 ","0.13 "
"","(0.11)","(0.13)","(0.11)","(0.27)","(0.34)"
"Gov. Ownership","-0.28 ","-0.48 ","-0.06 ","-0.72 ","0.50 "
"","(0.41)","(0.48)","(0.40)","(0.99)","(1.25)"
"N","145","145","145","145","145"
"Pseudo R2","0.07","0.14","0.08","0.08","0.07"
"Minimal distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.07 ","0.15 ","0.16 ","0.31 **","0.13 "
"","(0.10)","(0.13)","(0.18)","(0.15)","(0.17)"
"Implemented 2010","0.22 ***","0.40 ***","0.13 ","0.33 ***","0.35 ***"
"","(0.06)","(0.07)","(0.11)","(0.08)","(0.08)"
"Eastern Mediterranean","0.51 ","-0.86 ","0.86 ","-2.68 ","2.63 "
"","(0.66)","(0.77)","(0.69)","(1.65)","(2.11)"
"European","0.18 ","-0.59 ","-0.30 ","-0.58 ","1.00 "
"","(0.43)","(0.53)","(0.44)","(1.07)","(1.46)"
"African","0.40 ","-0.69 ","-0.41 ","-1.82 *","0.74 "
"","(0.40)","(0.46)","(0.42)","(1.01)","(1.29)"
"Western Pacific","0.32 ","-0.66 ","0.10 ","-2.10 *","1.86 "
"","(0.49)","(0.58)","(0.49)","(1.21)","(1.55)"
"South-East Asia","0.07 ","-0.52 ","-0.08 ","-2.79 *","0.22 "
"","(0.65)","(0.82)","(0.64)","(1.58)","(2.14)"
"Democracy","-0.03 ","-0.17 ","0.12 ","-0.84 **","-0.28 "
"","(0.16)","(0.19)","(0.17)","(0.42)","(0.52)"
"GDP pp","-0.22 ","0.16 ","-0.22 ","-0.25 ","-0.40 "
"","(0.14)","(0.17)","(0.14)","(0.35)","(0.45)"
"Years since Sign.","0.12 ","0.30 **","0.10 ","-0.01 ","0.22 "
"","(0.12)","(0.14)","(0.13)","(0.31)","(0.39)"
"Years since Ratif.","0.05 ","-0.08 ","0.08 ","0.57 **","0.29 "
"","(0.09)","(0.10)","(0.09)","(0.23)","(0.29)"
"Tobacco Prod. PP","0.12 ","-0.25 ","-0.51 **","0.07 ","-0.01 "
"","(0.21)","(0.24)","(0.21)","(0.50)","(0.64)"
"% Female Smoke","0.02 ","0.39 **","0.44 ***","0.37 ","0.75 "
"","(0.16)","(0.18)","(0.16)","(0.39)","(0.49)"
"% Male Smoke","0.19 ","0.29 ","0.12 ","0.18 ","0.02 "
"","(0.17)","(0.20)","(0.18)","(0.43)","(0.55)"
"Labor","-0.06 ","0.03 ","0.03 ","-0.47 ","-0.40 "
"","(0.18)","(0.21)","(0.19)","(0.46)","(0.58)"
"Women's rights","-0.17 ","0.32 ","0.25 ","-1.33 ","0.68 "
"","(0.42)","(0.49)","(0.43)","(1.04)","(1.31)"
"Population","0.05 ","0.18 ","0.02 ","0.11 ","0.15 "
"","(0.11)","(0.13)","(0.11)","(0.27)","(0.34)"
"Gov. Ownership","-0.20 ","-0.28 ","0.21 ","-0.12 ","0.64 "
"","(0.40)","(0.46)","(0.41)","(0.98)","(1.23)"
"N","145","145","145","145","145"
"Pseudo R2","0.07","0.14","0.06","0.07","0.07"
"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","-0.02 ","0.32 ***","0.23 ","0.41 ***","0.02 "
"","(0.09)","(0.11)","(0.23)","(0.15)","(0.14)"
"Implemented 2010","0.22 ***","0.38 ***","0.11 ","0.30 ***","0.34 ***"
"","(0.06)","(0.07)","(0.10)","(0.08)","(0.08)"
"Eastern Mediterranean","0.50 ","-0.65 ","0.86 ","-2.47 ","2.90 "
"","(0.66)","(0.76)","(0.68)","(1.64)","(2.09)"
"European","0.22 ","-0.28 ","-0.22 ","0.04 ","1.40 "
"","(0.43)","(0.49)","(0.44)","(1.06)","(1.36)"
"African","0.36 ","-0.60 ","-0.44 ","-1.90 *","0.77 "
"","(0.40)","(0.45)","(0.41)","(1.00)","(1.29)"
"Western Pacific","0.38 ","-0.52 ","0.16 ","-1.74 ","2.12 "
"","(0.48)","(0.55)","(0.50)","(1.19)","(1.52)"
"South-East Asia","0.22 ","-0.31 ","0.01 ","-2.29 ","0.87 "
"","(0.62)","(0.71)","(0.63)","(1.52)","(1.95)"
"Democracy","-0.03 ","-0.10 ","0.14 ","-0.76 *","-0.26 "
"","(0.17)","(0.19)","(0.17)","(0.41)","(0.53)"
"GDP pp","-0.21 ","0.12 ","-0.23 ","-0.24 ","-0.34 "
"","(0.14)","(0.16)","(0.14)","(0.35)","(0.45)"
"Years since Sign.","0.13 ","0.23 *","0.07 ","-0.16 ","0.21 "
"","(0.12)","(0.14)","(0.13)","(0.32)","(0.40)"
"Years since Ratif.","0.05 ","-0.07 ","0.09 ","0.61 ***","0.30 "
"","(0.09)","(0.10)","(0.09)","(0.23)","(0.29)"
"Tobacco Prod. PP","0.12 ","-0.06 ","-0.45 **","0.44 ","0.04 "
"","(0.21)","(0.24)","(0.22)","(0.52)","(0.66)"
"% Female Smoke","0.03 ","0.31 *","0.42 **","0.25 ","0.76 "
"","(0.16)","(0.18)","(0.16)","(0.39)","(0.50)"
"% Male Smoke","0.19 ","0.31 ","0.12 ","0.26 ","0.01 "
"","(0.17)","(0.20)","(0.18)","(0.43)","(0.55)"
"Labor","-0.07 ","0.05 ","0.03 ","-0.40 ","-0.38 "
"","(0.18)","(0.21)","(0.19)","(0.45)","(0.58)"
"Women's rights","-0.14 ","0.48 ","0.26 ","-0.99 ","0.79 "
"","(0.42)","(0.48)","(0.43)","(1.03)","(1.30)"
"Population","0.04 ","0.14 ","-0.01 ","-0.03 ","0.12 "
"","(0.11)","(0.13)","(0.11)","(0.27)","(0.34)"
"Gov. Ownership","-0.17 ","-0.31 ","0.21 ","-0.23 ","0.68 "
"","(0.40)","(0.45)","(0.41)","(0.97)","(1.24)"
"N","145","145","145","145","145"
"Pseudo R2","0.07","0.15","0.06","0.08","0.06"
"Tobacco Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.01 ","0.18 **","0.28 *","0.20 *","0.06 "
"","(0.07)","(0.09)","(0.15)","(0.11)","(0.11)"
"Implemented 2010","0.22 ***","0.39 ***","0.13 ","0.31 ***","0.34 ***"
"","(0.06)","(0.07)","(0.10)","(0.08)","(0.08)"
"Eastern Mediterranean","0.52 ","-0.72 ","0.88 ","-2.65 ","2.92 "
"","(0.67)","(0.77)","(0.68)","(1.67)","(2.09)"
"European","0.23 ","-0.44 ","-0.34 ","-0.45 ","1.32 "
"","(0.43)","(0.50)","(0.44)","(1.07)","(1.37)"
"African","0.37 ","-0.66 ","-0.46 ","-2.05 **","0.75 "
"","(0.40)","(0.46)","(0.41)","(1.01)","(1.29)"
"Western Pacific","0.39 ","-0.41 ","0.12 ","-1.69 ","2.23 "
"","(0.48)","(0.56)","(0.49)","(1.21)","(1.53)"
"South-East Asia","0.22 ","-0.04 ","0.04 ","-1.91 ","0.96 "
"","(0.62)","(0.72)","(0.63)","(1.54)","(1.94)"
"Democracy","-0.03 ","-0.16 ","0.13 ","-0.86 **","-0.27 "
"","(0.17)","(0.19)","(0.17)","(0.42)","(0.53)"
"GDP pp","-0.21 ","0.16 ","-0.24 *","-0.18 ","-0.36 "
"","(0.14)","(0.16)","(0.14)","(0.35)","(0.45)"
"Years since Sign.","0.12 ","0.28 **","0.11 ","-0.03 ","0.20 "
"","(0.12)","(0.14)","(0.12)","(0.31)","(0.40)"
"Years since Ratif.","0.05 ","-0.10 ","0.08 ","0.55 **","0.29 "
"","(0.09)","(0.10)","(0.09)","(0.24)","(0.29)"
"Tobacco Prod. PP","0.13 ","-0.26 ","-0.52 **","0.07 ","0.01 "
"","(0.21)","(0.23)","(0.21)","(0.51)","(0.64)"
"% Female Smoke","0.02 ","0.39 **","0.45 ***","0.40 ","0.78 "
"","(0.16)","(0.18)","(0.16)","(0.39)","(0.49)"
"% Male Smoke","0.19 ","0.27 ","0.10 ","0.17 ","-0.03 "
"","(0.17)","(0.20)","(0.18)","(0.44)","(0.55)"
"Labor","-0.06 ","0.03 ","0.04 ","-0.43 ","-0.38 "
"","(0.18)","(0.21)","(0.19)","(0.46)","(0.58)"
"Women's rights","-0.15 ","0.25 ","0.16 ","-1.39 ","0.69 "
"","(0.42)","(0.49)","(0.43)","(1.05)","(1.31)"
"Population","0.04 ","0.14 ","-0.02 ","-0.02 ","0.10 "
"","(0.11)","(0.13)","(0.11)","(0.27)","(0.34)"
"Gov. Ownership","-0.18 ","-0.34 ","0.21 ","-0.14 ","0.64 "
"","(0.40)","(0.46)","(0.40)","(0.98)","(1.24)"
"N","145","145","145","145","145"
"Pseudo R2","0.07","0.14","0.07","0.07","0.07"
"GLOBALink Referrals","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","-0.09 *","0.11 *","0.06 ","0.07 ","0.04 "
"","(0.05)","(0.06)","(0.11)","(0.08)","(0.08)"
"Implemented 2010","0.21 ***","0.39 ***","0.12 ","0.32 ***","0.34 ***"
"","(0.06)","(0.07)","(0.11)","(0.08)","(0.08)"
"Eastern Mediterranean","0.63 ","-0.96 ","0.78 ","-3.02 *","2.80 "
"","(0.66)","(0.77)","(0.68)","(1.68)","(2.09)"
"European","0.37 ","-0.60 ","-0.37 ","-0.52 ","1.32 "
"","(0.43)","(0.51)","(0.47)","(1.10)","(1.37)"
"African","0.41 ","-0.79 *","-0.47 ","-2.18 **","0.70 "
"","(0.40)","(0.46)","(0.41)","(1.02)","(1.30)"
"Western Pacific","0.48 ","-0.70 ","0.09 ","-2.00 ","2.09 "
"","(0.48)","(0.57)","(0.49)","(1.23)","(1.52)"
"South-East Asia","0.31 ","-0.26 ","-0.01 ","-2.13 ","0.87 "
"","(0.62)","(0.72)","(0.64)","(1.56)","(1.94)"
"Democracy","-0.02 ","-0.17 ","0.14 ","-0.87 **","-0.26 "
"","(0.16)","(0.19)","(0.17)","(0.42)","(0.53)"
"GDP pp","-0.19 ","0.18 ","-0.21 ","-0.12 ","-0.36 "
"","(0.14)","(0.16)","(0.14)","(0.35)","(0.45)"
"Years since Sign.","0.14 ","0.26 *","0.09 ","-0.02 ","0.20 "
"","(0.12)","(0.14)","(0.13)","(0.32)","(0.40)"
