"","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Article 5","0.07 ","-0.14 ","-0.05 ","-0.10 ","0.03 "
"","(0.20)","(0.15)","(0.11)","(0.06)","(0.06)"
"Article 6","0.36 *","0.28 ","0.36 ***","0.12 ","0.13 *"
"","(0.19)","(0.18)","(0.13)","(0.08)","(0.08)"
"Article 8","1.18 ***","0.30 ","0.13 ","0.11 ","0.08 "
"","(0.32)","(0.20)","(0.14)","(0.07)","(0.08)"
"Article 11","2.43 ***","0.55 ","0.12 ","0.09 ","0.34 *"
"","(0.57)","(0.47)","(0.32)","(0.19)","(0.19)"
"Article 13","0.62 ","0.00 ","-0.20 ","-0.06 ","0.34 *"
"","(0.43)","(0.44)","(0.30)","(0.20)","(0.20)"
"Article 14","0.51 ","-0.20 ","0.98 ","-0.19 ","0.47 "
"","(1.03)","(0.88)","(0.61)","(0.40)","(0.38)"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. Also, it only includes members that provided a reported on 2012. "
