"","Article 5","Article 6","Article 8","Article 11","Article 13"
"Centroid Distance","1.13 ","1.09 ","3.33 **","2.33 ***","0.94 "
"","(0.74)","(0.69)","(1.43)","(0.84)","(0.77)"
"General Trade","0.00 ","0.20 *","0.42 ","0.26 ","0.07 "
"","(0.12)","(0.12)","(0.29)","(0.16)","(0.14)"
"Tobacco Trade","0.10 ","0.24 **","0.71 ***","0.27 **","0.11 "
"","(0.10)","(0.10)","(0.20)","(0.12)","(0.12)"
"GLOBALink Referrals","0.05 ","0.20 ***","0.35 **","0.19 **","0.11 "
"","(0.08)","(0.07)","(0.15)","(0.09)","(0.09)"
"GLOBALink co-subscription","0.16 **","0.24 ***","0.54 **","0.28 ***","0.36 ***"
"","(0.07)","(0.07)","(0.21)","(0.11)","(0.12)"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the number of items reported on 2010. "
