"Article 6","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.45 **","0.22 ","0.31 **","0.19 **","0.14 *"
"","(0.20)","(0.19)","(0.13)","(0.08)","(0.08)"
"Lagged Y (Number of Items)","0.55 ***","0.55 ***","0.55 ***","0.55 ***","0.55 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"PolShift","0.04 ","0.04 ","0.03 ","0.04 ","0.04 "
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"Americas","0.85 **","0.78 *","0.85 **","0.74 *","0.70 *"
"","(0.41)","(0.41)","(0.41)","(0.41)","(0.41)"
"African","0.08 ","0.01 ","0.14 ","-0.06 ","-0.09 "
"","(0.44)","(0.44)","(0.44)","(0.43)","(0.44)"
"European","0.50 ","0.78 *","0.84 *","0.67 ","0.65 "
"","(0.44)","(0.43)","(0.43)","(0.43)","(0.44)"
"Western Pacific","0.79 *","0.86 **","0.84 **","0.81 *","0.84 **"
"","(0.43)","(0.43)","(0.42)","(0.43)","(0.43)"
"South-East Asia","-0.10 ","0.10 ","0.17 ","0.04 ","0.12 "
"","(0.46)","(0.45)","(0.45)","(0.45)","(0.45)"
"Control of Corruption","-0.19 ","-0.19 ","-0.20 ","-0.11 ","-0.13 "
"","(0.24)","(0.24)","(0.24)","(0.24)","(0.24)"
"Rule of Law","0.53 **","0.53 **","0.53 **","0.39 ","0.45 *"
"","(0.25)","(0.25)","(0.25)","(0.25)","(0.25)"
"GDP pp","0.02 ","0.03 ","0.05 ","0.06 ","0.03 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"Years since Ratif.","-0.03 ","-0.03 ","-0.02 ","-0.04 ","-0.04 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. PP","0.01 ","0.01 ","0.02 ","0.02 ","0.02 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"% Female Smoke","-0.03 ","-0.00 ","-0.01 ","0.01 ","0.01 "
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"% Male Smoke","-0.10 ","-0.08 ","-0.08 ","-0.09 ","-0.08 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Women's Labor","-0.04 ","-0.03 ","-0.03 ","-0.03 ","-0.01 "
"","(0.13)","(0.13)","(0.13)","(0.12)","(0.13)"
"Women's rights","0.11 ","0.12 ","0.11 ","0.12 ","0.12 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"Population","0.30 ***","0.32 ***","0.31 ***","0.27 ***","0.28 ***"
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"Government Ownership","0.06 ","0.17 ","0.19 ","0.07 ","0.13 "
"","(0.26)","(0.26)","(0.26)","(0.26)","(0.26)"
"Year 2014","-0.54 ","0.50 ","0.58 **","0.12 ","0.13 "
"","(0.36)","(0.36)","(0.25)","(0.18)","(0.18)"
"Year 2016","-0.28 ","0.47 **","0.41 **","0.54 ***","0.59 ***"
"","(0.44)","(0.21)","(0.20)","(0.19)","(0.19)"
"Health Exp.","-0.21 ","-0.17 ","-0.17 ","-0.19 ","-0.17 "
"","(0.16)","(0.15)","(0.15)","(0.15)","(0.15)"
"N","480","480","480","480","480"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes a variable capturing political shifts. "
