"Centroid Distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.70 ","0.33 ","1.70 ","1.11 ","-0.18 "
"","(0.87)","(0.81)","(1.54)","(0.93)","(0.86)"
"PolShift","0.28 ","0.39 ","0.36 ","0.06 ","-0.11 "
"","(0.44)","(0.43)","(0.42)","(0.89)","(1.12)"
"Eastern Mediterranean","1.33 ","0.43 ","1.55 ","-0.41 ","5.57 *"
"","(1.09)","(1.03)","(1.01)","(2.11)","(2.90)"
"European","0.18 ","-0.04 ","-0.56 ","-0.08 ","2.94 "
"","(0.86)","(0.83)","(0.79)","(1.50)","(2.15)"
"African","0.33 ","-0.50 ","-0.48 ","-2.32 *","0.69 "
"","(0.61)","(0.60)","(0.57)","(1.23)","(1.62)"
"Western Pacific","0.16 ","-0.05 ","-0.86 ","-0.91 ","1.90 "
"","(0.93)","(0.86)","(0.84)","(1.70)","(2.18)"
"South-East Asia","-1.45 ","-1.04 ","-1.82 *","-4.68 **","-1.13 "
"","(1.08)","(0.99)","(0.94)","(1.91)","(2.53)"
"Democracy","0.13 ","0.14 ","0.14 ","-0.05 ","0.39 "
"","(0.26)","(0.25)","(0.25)","(0.53)","(0.67)"
"GDP pp","-0.17 ","0.39 *","-0.06 ","-0.25 ","0.04 "
"","(0.23)","(0.23)","(0.21)","(0.47)","(0.58)"
"Years since Sign.","0.41 **","0.41 **","0.32 **","0.51 ","0.81 *"
"","(0.16)","(0.16)","(0.15)","(0.34)","(0.43)"
"Years since Ratif.","0.42 ***","0.33 **","0.33 ***","1.20 ***","1.22 ***"
"","(0.13)","(0.13)","(0.12)","(0.27)","(0.34)"
"Tobacco Prod. PP","-0.17 ","-0.35 ","-0.41 **","-0.49 ","-0.48 "
"","(0.20)","(0.22)","(0.20)","(0.41)","(0.53)"
"% Female Smoke","-0.13 ","0.05 ","0.18 ","-0.07 ","0.17 "
"","(0.25)","(0.25)","(0.24)","(0.50)","(0.64)"
"% Male Smoke","0.29 ","0.32 ","0.20 ","-0.04 ","-0.01 "
"","(0.27)","(0.26)","(0.25)","(0.54)","(0.68)"
"Labor","0.01 ","0.20 ","0.10 ","-0.20 ","-0.12 "
"","(0.27)","(0.27)","(0.26)","(0.55)","(0.70)"
"Women's rights","0.76 ","1.14 *","1.24 *","0.60 ","2.28 "
"","(0.68)","(0.66)","(0.64)","(1.35)","(1.72)"
"Population","0.21 ","0.36 **","0.11 ","0.32 ","0.55 "
"","(0.17)","(0.16)","(0.16)","(0.33)","(0.42)"
"Gov. Ownership","0.54 ","0.30 ","0.58 ","0.96 ","2.98 *"
"","(0.64)","(0.62)","(0.59)","(1.25)","(1.56)"
"N","154","154","154","154","154"
"Pseudo R2","0.08","0.12","0.10","0.08","0.08"
"Minimal distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.15 ","0.13 ","0.06 ","0.25 ","0.06 "
"","(0.15)","(0.17)","(0.24)","(0.18)","(0.21)"
"PolShift","0.29 ","0.39 ","0.34 ","0.08 ","-0.07 "
"","(0.44)","(0.43)","(0.42)","(0.89)","(1.13)"
"Eastern Mediterranean","1.58 ","0.48 ","1.84 *","0.13 ","5.19 *"
"","(1.04)","(1.01)","(0.99)","(2.08)","(2.67)"
"European","0.56 ","0.03 ","-0.01 ","0.68 ","2.50 "
"","(0.65)","(0.67)","(0.62)","(1.31)","(1.75)"
